,district,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation
331,Porterville Unified,1616,337,0.6113000000000001,0.3591,1711,76,0.75,0.5789,0.3234,0.5395,0.20853960396039603,0.04441846873173583,189.0,19.0,21.0,20.0,20.0,0.39,0.11695544554455446
332,Fillmore Unified,279,89,0.573,0.44939999999999997,304,2,,,0.382,,0.31899641577060933,0.006578947368421052,17.0,19.0,20.0,23.0,21.0,0.53,0.06093189964157706
333,Livermore Valley Joint Unified,1148,325,0.8862000000000001,0.7754000000000001,1116,131,0.9771,0.9389,0.7415,0.9312999999999999,0.28310104529616725,0.11738351254480286,173.0,25.0,26.0,26.0,25.0,0.85,0.15069686411149827
334,Buckeye Union Elementary,49,0,,,177,2,,,,,0.0,0.011299435028248588,0.0,,,,,,0.0
335,El Dorado Union High,1653,543,0.8692,0.7643000000000001,1703,169,0.9704,0.9704,0.7238,0.9586,0.32849364791288566,0.09923664122137404,364.0,25.0,25.0,25.0,25.0,0.77,0.22020568663036902
336,Sierra Unified,96,20,0.7,0.4,107,5,,,0.35,,0.20833333333333334,0.04672897196261682,9.0,,,,,,0.09375
337,Eureka City Schools,310,62,0.6452,0.4355,336,6,,,0.4194,,0.2,0.017857142857142856,13.0,,,,,,0.041935483870967745
338,Holtville Unified,130,44,0.5455,0.3636,144,1,,,0.34090000000000004,,0.3384615384615385,0.006944444444444444,9.0,,,,,,0.06923076923076923
339,Kern County Office of Education,389,19,0.7895,0.21050000000000002,430,0,,,0.21050000000000002,,0.04884318766066838,0.0,0.0,,,,,,0.0
340,Lakeport Unified,103,17,0.8234999999999999,0.4706,111,0,,,0.4118,,0.1650485436893204,0.0,2.0,,,,,,0.019417475728155338
341,Las Virgenes Unified,963,349,0.9168999999999999,0.7278,980,109,0.9817,0.9541,0.7192000000000001,0.9541,0.3624091381100727,0.11122448979591837,282.0,28.0,27.0,25.0,25.0,0.85,0.29283489096573206
342,San Marino Unified,264,126,0.9523999999999999,0.9444,275,106,0.9811,0.9906,0.9286,0.9811,0.4772727272727273,0.38545454545454544,63.0,29.0,29.0,30.0,29.0,0.92,0.23863636363636365
343,Hacienda la Puente Unified,1437,1150,0.46090000000000003,0.2974,1310,927,0.43579999999999997,0.3064,0.2635,0.2611,0.8002783576896312,0.7076335877862595,57.0,23.0,23.0,23.0,23.0,0.65,0.03966597077244259
344,Chawanakee Unified,142,44,0.6364,0.2955,162,5,,,0.2727,,0.30985915492957744,0.030864197530864196,20.0,22.0,24.0,21.0,21.0,0.6,0.14084507042253522
345,Ukiah Unified,494,98,0.8469,0.5816,485,34,0.9412,0.7940999999999999,0.5611999999999999,0.7940999999999999,0.19838056680161945,0.07010309278350516,24.0,25.0,26.0,25.0,23.0,0.83,0.048582995951417005
346,Willits Unified,138,32,0.7188,0.34380000000000005,157,1,,,0.2813,,0.2318840579710145,0.006369426751592357,6.0,,,,,,0.043478260869565216
347,Merced County Office of Education,439,4,,,217,9,,,,,0.009111617312072893,0.041474654377880185,0.0,,,,,,0.0
348,Delhi Unified,164,71,0.4366,0.2113,214,1,,,0.18309999999999998,,0.4329268292682927,0.004672897196261682,57.0,17.0,19.0,17.0,18.0,0.18,0.3475609756097561
349,Monterey Peninsula Unified,844,599,0.429,0.24710000000000001,827,7,,,0.2187,,0.7097156398104265,0.008464328899637243,42.0,22.0,23.0,22.0,21.0,0.62,0.04976303317535545
350,Temecula Valley Unified,2502,977,0.8475,0.6437999999999999,2380,202,0.9505,0.8911,0.6141,0.8861,0.3904876099120703,0.08487394957983194,548.0,23.0,24.0,23.0,23.0,0.71,0.2190247801758593
351,Murrieta Valley Unified,2120,849,0.7903,0.5548,2082,152,0.8946999999999999,0.8618000000000001,0.5312,0.8289,0.40047169811320754,0.07300672430355427,347.0,22.0,24.0,22.0,22.0,0.62,0.16367924528301886
352,Elk Grove Unified,5307,1744,0.7929999999999999,0.6342,5137,254,0.9645999999999999,0.9251999999999999,0.6026,0.9134,0.3286225739589222,0.04944520147946272,795.0,23.0,24.0,24.0,23.0,0.67,0.14980214810627474
353,Rim of the World Unified,251,55,0.7818,0.3818,226,5,,,0.3818,,0.21912350597609562,0.022123893805309734,18.0,23.0,24.0,21.0,23.0,0.72,0.07171314741035857
354,Yucaipa-Calimesa Joint Unified,735,203,0.7881999999999999,0.5911,756,65,0.9231,0.8308,0.5665,0.8154,0.2761904761904762,0.08597883597883597,34.0,22.0,24.0,23.0,22.0,0.62,0.04625850340136054
355,Carlsbad Unified,919,324,0.8981,0.7778,997,173,0.9769,0.9422,0.7562000000000001,0.9422,0.352557127312296,0.17352056168505517,221.0,26.0,27.0,26.0,26.0,0.86,0.24047878128400435
