,district,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation
413,Moreno Valley Unified,2333,1843,0.35810000000000003,0.1693,2415,36,0.7222,0.5556,0.15410000000000001,0.5,0.7899699957136734,0.014906832298136646,349.0,17.0,18.0,18.0,18.0,0.24,0.1495927989712816
414,Folsom-Cordova Unified,1688,406,0.9163,0.7906,1627,194,0.9845,0.9433,0.7759,0.9433,0.24052132701421802,0.11923786109403811,313.0,25.0,25.0,25.0,24.0,0.7,0.1854265402843602
415,Morongo Unified,553,104,0.7212000000000001,0.41350000000000003,594,38,0.8684000000000001,0.6842,0.3942,0.6579,0.18806509945750452,0.06397306397306397,14.0,,,,,,0.02531645569620253
416,Lucerne Valley Unified,501,44,0.6591,0.3636,955,7,,,0.3636,,0.08782435129740519,0.007329842931937173,7.0,,,,,,0.013972055888223553
417,Borrego Springs Unified,309,31,0.35479999999999995,0.1613,730,4,,,0.129,,0.10032362459546926,0.005479452054794521,0.0,,,,,,0.0
418,Manteca Unified,1929,466,0.6995999999999999,0.4077,1911,20,0.7,0.75,0.38630000000000003,0.65,0.24157594608605495,0.010465724751439037,83.0,21.0,23.0,21.0,21.0,0.57,0.04302747537584241
419,Lucia Mar Unified,838,236,0.8008,0.6186,829,42,0.9048,0.7857,0.589,0.7857,0.28162291169451076,0.05066344993968637,150.0,22.0,23.0,22.0,22.0,0.58,0.17899761336515513
420,Jefferson Elementary,137,16,0.9375,0.4375,130,2,,,0.4375,,0.11678832116788321,0.015384615384615385,13.0,,,,,,0.0948905109489051
421,South San Francisco Unified,663,211,0.763,0.5829,692,18,1.0,0.9444,0.5403,0.9444,0.31825037707390647,0.02601156069364162,19.0,20.0,22.0,21.0,21.0,0.53,0.02865761689291101
422,Los Gatos-Saratoga Union High,892,294,0.9592,0.9116,885,269,0.9851000000000001,0.9814,0.8878,0.9740000000000001,0.3295964125560538,0.303954802259887,323.0,30.0,30.0,29.0,29.0,0.94,0.36210762331838564
423,Anderson Union High,402,61,0.7376999999999999,0.5902000000000001,423,3,,,0.541,,0.1517412935323383,0.0070921985815602835,23.0,24.0,25.0,24.0,25.0,0.87,0.05721393034825871
424,Vacaville Unified,1021,355,0.8056,0.5661999999999999,1061,42,0.9048,0.7381,0.5379999999999999,0.7143,0.3476983349657199,0.03958529688972667,95.0,23.0,23.0,23.0,22.0,0.72,0.0930460333006856
425,Liberty Elementary,90,3,,,87,0,,,,,0.03333333333333333,0.0,1.0,,,,,,0.011111111111111112
426,Roseland,156,31,0.5484,0.3871,189,0,,,0.35479999999999995,,0.1987179487179487,0.0,92.0,17.0,19.0,18.0,18.0,0.27,0.5897435897435898
427,Windsor Unified,476,122,0.7623000000000001,0.6065999999999999,442,48,0.8957999999999999,0.8125,0.5738,0.7707999999999999,0.25630252100840334,0.1085972850678733,96.0,24.0,24.0,22.0,23.0,0.67,0.20168067226890757
428,Oakdale Joint Unified,426,89,0.8315,0.6629,486,12,,,0.618,,0.20892018779342722,0.024691358024691357,22.0,21.0,23.0,22.0,23.0,0.68,0.051643192488262914
429,Turlock Unified,1269,369,0.7615000000000001,0.4607,1274,40,0.95,0.8,0.4526,0.8,0.2907801418439716,0.03139717425431711,72.0,22.0,23.0,22.0,22.0,0.62,0.05673758865248227
430,Sutter County Office of Education,81,0,,,25,0,,,,,0.0,0.0,0.0,,,,,,0.0
431,Trinity Alps Unified,67,8,,,94,6,,,,,0.11940298507462686,0.06382978723404255,7.0,,,,,,0.1044776119402985
432,Tuolumne County Superintendent of Schools,25,0,,,16,0,,,,,0.0,0.0,0.0,,,,,,0.0
433,Yolo County Office of Education,54,0,,,55,0,,,,,0.0,0.0,0.0,,,,,,0.0
434,Emery Unified,57,18,0.3889,0.2778,49,0,,,0.22219999999999998,,0.3157894736842105,0.0,4.0,,,,,,0.07017543859649122
435,Williams Unified,97,29,0.4828,0.1724,102,0,,,0.1379,,0.29896907216494845,0.0,2.0,,,,,,0.020618556701030927
436,John Swett Unified,148,49,0.6939,0.449,118,47,0.8298000000000001,0.5745,0.4286,0.5745,0.3310810810810811,0.3983050847457627,12.0,,,,,,0.08108108108108109
437,Hamilton Unified,55,7,,,79,33,0.303,0.1818,,0.0909,0.12727272727272726,0.4177215189873418,4.0,,,,,,0.07272727272727272
438,Calexico Unified,816,154,0.6494,0.5584,759,5,,,0.4675,,0.18872549019607843,0.006587615283267457,29.0,21.0,22.0,23.0,21.0,0.69,0.03553921568627451
439,Kelseyville Unified,138,32,0.6875,0.2813,164,39,0.5897,0.2821,0.25,0.2821,0.2318840579710145,0.23780487804878048,2.0,,,,,,0.014492753623188406
440,Beverly Hills Unified,333,128,0.9375,0.8828,356,214,0.8879,0.715,0.8438,0.7056,0.3843843843843844,0.601123595505618,57.0,30.0,30.0,28.0,28.0,1.0,0.17117117117117117
441,Burbank Unified,1335,490,0.8837,0.7509999999999999,1360,84,0.9881,0.9286,0.7245,0.9286,0.36704119850187267,0.061764705882352944,131.0,25.0,26.0,25.0,24.0,0.82,0.09812734082397004
442,Duarte Unified,448,139,0.7698,0.3885,610,14,,,0.3741,,0.31026785714285715,0.022950819672131147,29.0,25.0,25.0,21.0,23.0,0.66,0.06473214285714286
443,Glendora Unified,612,208,0.9279000000000001,0.851,630,56,1.0,0.9643,0.8173,0.9643,0.33986928104575165,0.08888888888888889,63.0,26.0,26.0,27.0,25.0,0.87,0.10294117647058823
444,Los Angeles Unified,41110,17095,0.5578,0.34119999999999995,41476,23406,0.43189999999999995,0.2675,0.31579999999999997,0.2376,0.41583556312332765,0.564326357411515,6681.0,18.0,19.0,19.0,19.0,0.32,0.16251520311359766
445,Alhambra Unified,1805,821,0.7917000000000001,0.6979000000000001,1650,177,0.9548000000000001,0.9434999999999999,0.6431,0.9153,0.4548476454293629,0.10727272727272727,223.0,24.0,25.0,25.0,24.0,0.79,0.12354570637119114
446,Golden Valley Unified,158,59,0.6102000000000001,0.3729,138,4,,,0.35590000000000005,,0.37341772151898733,0.028985507246376812,10.0,,,,,,0.06329113924050633
447,Fort Bragg Unified,138,41,0.6829000000000001,0.3171,152,16,0.4375,0.375,0.2927,0.3125,0.2971014492753623,0.10526315789473684,34.0,19.0,21.0,20.0,20.0,0.41,0.2463768115942029
448,Soledad Unified,384,136,0.3897,0.0882,349,288,0.2882,0.09380000000000001,0.0882,0.0764,0.3541666666666667,0.8252148997134671,14.0,,,,,,0.036458333333333336
449,Huntington Beach Union High,4111,1324,0.8663,0.7545000000000001,3907,394,0.9745999999999999,0.9745999999999999,0.7281,0.9594,0.32206275845293114,0.10084463782953673,467.0,25.0,25.0,25.0,25.0,0.78,0.1135976648017514
450,Banning Unified,323,62,0.5806,0.2742,339,36,0.6944,0.3056,0.2581,0.25,0.19195046439628483,0.10619469026548672,48.0,16.0,18.0,18.0,18.0,0.25,0.14860681114551083
451,Desert Sands Unified,2328,549,0.6849,0.42619999999999997,2270,2000,0.499,0.284,0.40979999999999994,0.2645,0.23582474226804123,0.8810572687224669,127.0,21.0,23.0,21.0,21.0,0.56,0.054553264604811
452,Sacramento County Office of Education,232,0,,,328,0,,,,,0.0,0.0,0.0,,,,,,0.0
453,Fontana Unified,2962,2510,0.361,0.1805,2857,2592,0.37579999999999997,0.218,0.155,0.1929,0.8474004051316678,0.9072453622681134,307.0,19.0,19.0,19.0,19.0,0.31,0.10364618501012829
454,SBE - Olive Grove Charter - Orcutt/Santa Maria,88,1,,,66,0,,,,,0.011363636363636364,0.0,1.0,,,,,,0.011363636363636364
455,San Lorenzo Valley Unified,318,75,0.8533,0.6933,314,16,0.875,0.875,0.6533,0.8125,0.2358490566037736,0.050955414012738856,23.0,28.0,30.0,26.0,27.0,1.0,0.07232704402515723
456,Enterprise Elementary,7,0,,,24,0,,,,,0.0,0.0,,,,,,,
457,Gateway Unified,161,13,,,169,9,,,,,0.08074534161490683,0.05325443786982249,3.0,,,,,,0.018633540372670808
458,Benicia Unified,437,127,0.8268000000000001,0.7087,399,22,1.0,1.0,0.6772,1.0,0.2906178489702517,0.05513784461152882,73.0,26.0,26.0,26.0,26.0,0.84,0.16704805491990846
459,Fairfield-Suisun Unified,1512,350,0.8114,0.6029,1538,56,1.0,0.8571,0.5857,0.8571,0.23148148148148148,0.036410923276983094,80.0,23.0,24.0,22.0,22.0,0.59,0.05291005291005291
460,Modesto City High,3794,871,0.7451000000000001,0.4546,3813,68,0.9706,0.7940999999999999,0.4363,0.7940999999999999,0.22957301001581445,0.017833726724364018,390.0,20.0,22.0,21.0,21.0,0.47,0.10279388508170796
461,Marcum-Illinois Union Elementary,157,11,,,196,2,,,,,0.07006369426751592,0.01020408163265306,4.0,,,,,,0.025477707006369428
462,Los Molinos Unified,62,5,,,57,0,,,,,0.08064516129032258,0.0,54.0,16.0,18.0,17.0,17.0,0.22,0.8709677419354839
463,Farmersville Unified,179,46,0.5,0.10869999999999999,184,0,,,0.10869999999999999,,0.2569832402234637,0.0,45.0,16.0,17.0,16.0,17.0,0.09,0.25139664804469275
464,Ojai Unified,201,60,0.85,0.7667,209,18,0.9444,0.8889,0.7667,0.8889,0.29850746268656714,0.0861244019138756,21.0,25.0,27.0,24.0,25.0,0.86,0.1044776119402985
465,Moorpark Unified,538,120,0.8417,0.725,526,40,0.975,0.85,0.675,0.85,0.22304832713754646,0.07604562737642585,104.0,25.0,27.0,25.0,25.0,0.82,0.19330855018587362
466,Berkeley Unified,825,323,0.8606999999999999,0.7306999999999999,849,67,1.0,0.9851000000000001,0.7090000000000001,0.9851000000000001,0.39151515151515154,0.07891637220259129,183.0,25.0,26.0,24.0,25.0,0.72,0.22181818181818183
467,Butte County Office of Education,187,14,,,169,3,,,,,0.0748663101604278,0.01775147928994083,0.0,,,,,,0.0
468,West Contra Costa Unified,2579,1759,0.4275,0.2354,2382,32,0.875,0.7813,0.2194,0.7813,0.6820473051570376,0.01343408900083963,422.0,19.0,20.0,19.0,19.0,0.35,0.16362931368747577
469,Clovis Unified,3313,1227,0.8068000000000001,0.5925,3235,689,0.8403,0.6967,0.5664,0.672,0.3703591910654995,0.21298299845440494,417.0,24.0,26.0,25.0,25.0,0.79,0.12586779354059766
470,Firebaugh-Las Deltas Unified,162,56,0.48210000000000003,0.0536,166,1,,,0.0536,,0.345679012345679,0.006024096385542169,36.0,17.0,19.0,16.0,18.0,0.17,0.2222222222222222
471,San Pasqual Valley Unified,58,20,0.2,0.0,56,0,,,0.0,,0.3448275862068966,0.0,11.0,,,,,,0.1896551724137931
472,McFarland Unified,238,62,0.5484,0.35479999999999995,250,56,0.6071,0.25,0.3226,0.2321,0.2605042016806723,0.224,88.0,15.0,17.0,18.0,17.0,0.2,0.3697478991596639
473,Hanford Joint Union High,900,207,0.7295,0.401,930,75,0.8533,0.7333,0.3768,0.68,0.23,0.08064516129032258,35.0,21.0,22.0,23.0,21.0,0.69,0.03888888888888889
474,Covina-Valley Unified,1078,932,0.4667,0.2446,1031,17,0.8234999999999999,0.7646999999999999,0.22210000000000002,0.7059000000000001,0.8645640074211502,0.016488845780795344,26.0,21.0,23.0,21.0,21.0,0.58,0.02411873840445269
475,Wiseburn Unified,468,155,0.7613,0.4065,377,16,0.875,0.9375,0.38060000000000005,0.875,0.3311965811965812,0.042440318302387266,94.0,21.0,21.0,20.0,20.0,0.44,0.20085470085470086
476,Madera County Superintendent of Schools,140,1,,,136,0,,,,,0.007142857142857143,0.0,0.0,,,,,,0.0
477,Mariposa County Unified,135,27,0.8519,0.7406999999999999,135,16,0.9375,0.9375,0.7037,0.9375,0.2,0.11851851851851852,18.0,23.0,24.0,25.0,23.0,0.72,0.13333333333333333
478,Laytonville Unified,28,6,,,24,0,,,,,0.21428571428571427,0.0,0.0,,,,,,0.0
479,Le Grand Union High,145,36,0.4722,0.25,130,0,,,0.22219999999999998,,0.2482758620689655,0.0,8.0,,,,,,0.05517241379310345
480,Dos Palos Oro Loma Joint Unified,161,45,0.5778,0.42219999999999996,162,1,,,0.3556,,0.2795031055900621,0.006172839506172839,4.0,,,,,,0.024844720496894408
481,Mono County Office of Education,307,0,,,5,0,,,,,0.0,0.0,0.0,,,,,,0.0
482,Nevada Joint Union High,714,160,0.875,0.75,674,40,0.975,0.925,0.6938,0.925,0.22408963585434175,0.05934718100890208,50.0,26.0,27.0,26.0,26.0,0.82,0.0700280112044818
483,Anaheim Union High,5270,1438,0.7267,0.5153,5024,308,0.9708,0.9351,0.493,0.9286,0.272865275142315,0.06130573248407643,348.0,23.0,24.0,23.0,23.0,0.66,0.06603415559772297
484,Plumas Unified,154,25,0.8,0.6,161,13,,,0.6,,0.16233766233766234,0.08074534161490683,11.0,,,,,,0.07142857142857142
485,Lake Elsinore Unified,1606,462,0.7403,0.5281,1659,131,0.7709999999999999,0.6412,0.4935,0.5725,0.2876712328767123,0.07896323086196504,156.0,20.0,22.0,21.0,21.0,0.5,0.09713574097135741
486,San Benito High,765,250,0.768,0.43200000000000005,800,74,0.8108,0.7297,0.408,0.6892,0.32679738562091504,0.0925,121.0,20.0,20.0,20.0,21.0,0.45,0.15816993464052287
487,Helendale Elementary,261,40,0.825,0.35,366,8,,,0.35,,0.1532567049808429,0.02185792349726776,1.0,,,,,,0.0038314176245210726
488,Oro Grande,824,36,0.6944,0.2778,568,5,,,0.2778,,0.043689320388349516,0.008802816901408451,3.0,,,,,,0.0036407766990291263
489,San Bernardino City Unified,3590,723,0.5339,0.2503,3654,2370,0.36369999999999997,0.1869,0.22820000000000001,0.1603,0.20139275766016712,0.6486042692939245,394.0,17.0,18.0,18.0,18.0,0.25,0.10974930362116991
490,San Diego Unified,9075,3213,0.7193,0.493,8763,672,0.9717,0.9092,0.47090000000000004,0.8987999999999999,0.3540495867768595,0.0766860664156111,1733.0,22.0,23.0,22.0,22.0,0.56,0.1909641873278237
491,San Dieguito Union High,2215,675,0.9259000000000001,0.8563,2233,671,0.9925,0.9762000000000001,0.8311,0.9717,0.3047404063205418,0.30049261083743845,1001.0,28.0,28.0,27.0,27.0,0.88,0.4519187358916479
492,Warner Unified,231,13,,,163,2,,,,,0.05627705627705628,0.012269938650306749,3.0,,,,,,0.012987012987012988
493,San Luis Coastal Unified,583,190,0.8946999999999999,0.8053,613,50,0.98,0.9,0.7842,0.9,0.3259005145797599,0.08156606851549755,157.0,25.0,26.0,25.0,25.0,0.8,0.2692967409948542
494,Cabrillo Unified,290,81,0.7901,0.6049,266,13,,,0.5309,,0.2793103448275862,0.04887218045112782,63.0,25.0,26.0,24.0,24.0,0.71,0.21724137931034482
495,Gilroy Unified,922,272,0.8125,0.6029,975,44,0.9545,0.9091,0.5809000000000001,0.8864,0.2950108459869848,0.04512820512820513,91.0,22.0,24.0,23.0,22.0,0.64,0.09869848156182212
496,Fall River Joint Unified,76,8,,,86,0,,,,,0.10526315789473684,0.0,11.0,,,,,,0.14473684210526316
497,Redding Elementary,19,3,,,30,0,,,,,0.15789473684210525,0.0,0.0,,,,,,0.0
498,Dixon Unified,302,87,0.7356,0.6207,283,12,,,0.5632,,0.28807947019867547,0.04240282685512368,81.0,20.0,21.0,21.0,20.0,0.44,0.2682119205298013
499,Sonoma County Office of Education,174,0,,,60,0,,,,,0.0,0.0,0.0,,,,,,0.0
500,Santa Rosa High,2033,363,0.8733,0.6942,1852,51,0.9216,0.8626999999999999,0.6777,0.8626999999999999,0.17855386128873585,0.0275377969762419,242.0,25.0,25.0,25.0,24.0,0.79,0.11903590752582391
501,Newman-Crows Landing Unified,228,74,0.5405,0.3243,266,228,0.4474,0.2061,0.2973,0.1974,0.32456140350877194,0.8571428571428571,5.0,,,,,,0.021929824561403508
502,Tehama County Department of Education,38,0,,,30,0,,,,,0.0,0.0,0.0,,,,,,0.0
503,Trinity County Office of Education,30,0,,,26,0,,,,,0.0,0.0,0.0,,,,,,0.0
504,Cutler-Orosi Joint Unified,295,111,0.3514,0.1532,299,2,,,0.1261,,0.376271186440678,0.006688963210702341,86.0,15.0,16.0,17.0,17.0,0.1,0.29152542372881357
505,Tulare Joint Union High,1328,409,0.5819,0.3912,1388,19,0.8421,0.7895,0.33740000000000003,0.7368000000000001,0.3079819277108434,0.013688760806916427,136.0,18.0,21.0,20.0,20.0,0.42,0.10240963855421686
506,Winters Joint Unified,143,29,0.7241,0.37929999999999997,134,0,,,0.3448,,0.20279720279720279,0.0,10.0,,,,,,0.06993006993006994
507,Alameda County Office of Education,216,51,0.4118,0.25489999999999996,178,0,,,0.25489999999999996,,0.2361111111111111,0.0,0.0,,,,,,0.0
508,Selma Unified,472,137,0.5036,0.3285,521,32,0.7813,0.5938,0.2774,0.5625,0.2902542372881356,0.061420345489443376,32.0,19.0,20.0,20.0,19.0,0.44,0.06779661016949153
509,Sierra Sands Unified,360,57,0.8421,0.7193,393,40,0.9,0.725,0.6842,0.725,0.15833333333333333,0.10178117048346055,3.0,,,,,,0.008333333333333333
510,Bassett Unified,252,77,0.5195000000000001,0.31170000000000003,253,0,,,0.2987,,0.3055555555555556,0.0,7.0,,,,,,0.027777777777777776
511,Lennox,289,232,0.5517,0.3276,292,1,,,0.2888,,0.8027681660899654,0.003424657534246575,189.0,17.0,18.0,18.0,17.0,0.22,0.6539792387543253
512,Manhattan Beach Unified,691,266,0.9662000000000001,0.8759,648,96,1.0,0.9895999999999999,0.8722,0.9895999999999999,0.3849493487698987,0.14814814814814814,318.0,29.0,29.0,27.0,27.0,0.92,0.4602026049204052
513,SBE - Los Angeles College Prep Academy,41,26,0.42310000000000003,0.15380000000000002,24,0,,,0.15380000000000002,,0.6341463414634146,0.0,0.0,,,,,,0.0
514,Chowchilla Union High,267,89,0.6404000000000001,0.2921,271,49,0.7551000000000001,0.6531,0.2697,0.5918,0.3333333333333333,0.18081180811808117,2.0,,,,,,0.00749063670411985
515,Monterey County Office of Education,177,4,,,118,0,,,,,0.022598870056497175,0.0,0.0,,,,,,0.0
516,Nevada County Office of Education,628,5,,,309,2,,,,,0.007961783439490446,0.006472491909385114,0.0,,,,,,0.0
517,Elverta Joint Elementary,20,8,,,20,0,,,,,0.4,0.0,1.0,,,,,,0.05
518,Natomas Unified,1250,459,0.732,0.451,1191,809,0.5352,0.3214,0.44229999999999997,0.3016,0.3672,0.6792611251049538,126.0,22.0,23.0,21.0,22.0,0.59,0.1008
519,Needles Unified,63,12,,,71,1,,,,,0.19047619047619047,0.014084507042253521,6.0,,,,,,0.09523809523809523
520,Atascadero Unified,384,57,0.8245999999999999,0.5614,373,5,,,0.5614,,0.1484375,0.013404825737265416,34.0,23.0,24.0,23.0,23.0,0.71,0.08854166666666667
521,Templeton Unified,228,53,0.8868,0.7170000000000001,213,11,,,0.6792,,0.2324561403508772,0.051643192488262914,48.0,26.0,26.0,24.0,25.0,0.83,0.21052631578947367
522,Santa Maria Joint Union High,1993,457,0.6520999999999999,0.512,2015,23,1.0,1.0,0.43329999999999996,1.0,0.2293025589563472,0.01141439205955335,286.0,18.0,19.0,20.0,19.0,0.37,0.1435022579026593
523,Santa Barbara Unified,1631,502,0.8327,0.6853,1570,232,0.9483,0.9095,0.6594,0.8966,0.3077866339668915,0.14777070063694267,279.0,24.0,25.0,24.0,24.0,0.7,0.17106069895769466
524,SBE - Olive Grove Charter - Buellton,17,0,,,10,0,,,,,0.0,0.0,0.0,,,,,,0.0
525,SBE - Olive Grove Charter - Santa Barbara,68,2,,,37,0,,,,,0.029411764705882353,0.0,0.0,,,,,,0.0
526,Cloverdale Unified,106,18,0.8332999999999999,0.44439999999999996,111,0,,,0.44439999999999996,,0.16981132075471697,0.0,11.0,,,,,,0.10377358490566038
527,Harmony Union Elementary,55,3,,,50,0,,,,,0.05454545454545454,0.0,0.0,,,,,,0.0
528,Sonoma Valley Unified,320,112,0.7589,0.5625,333,22,0.9545,0.8636,0.4911,0.8636,0.35,0.06606606606606606,42.0,22.0,24.0,22.0,23.0,0.6,0.13125
529,Lindsay Unified,264,56,0.5714,0.2143,318,2,,,0.19640000000000002,,0.21212121212121213,0.006289308176100629,4.0,,,,,,0.015151515151515152
530,Ventura County Office of Education,334,5,,,441,0,,,,,0.014970059880239521,0.0,0.0,,,,,,0.0
531,Pleasant Valley,109,0,,,54,0,,,,,0.0,0.0,0.0,,,,,,0.0
