,district,students_in_grade_12_19,sat_19_grade_12_takers,sat_19_grade_12_at_erwb_benchmark,sat_19_grade_12_at_math_benchmark,students_in_grade_11_19,sat_19_grade_11_takers,sat_19_grade_11_at_erwb_benchmark,sat_19_grade_11_at_math_benchmark,sat_19_grade_12_at_both_benchmarks,sat_19_grade_11_at_both_benchmarks,sat_19_g12_participation,sat_19_g11_participation,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation
436,Emery Unified,40.0,13.0,,,59.0,53.0,0.4717,0.3019,,0.002642,0.325,0.8983050847457628,57,18,0.3889,0.2778,49,0,,,0.22219999999999998,,0.3157894736842105,0.0
437,Williams Unified,87.0,29.0,0.37929999999999997,0.0345,98.0,32.0,0.5938,0.375,0.0,0.003125,0.3333333333333333,0.32653061224489793,97,29,0.4828,0.1724,102,0,,,0.1379,,0.29896907216494845,0.0
438,John Swett Unified,123.0,38.0,0.6842,0.5263,143.0,60.0,0.8667,0.6333,0.47369999999999995,0.006167000000000001,0.3089430894308943,0.4195804195804196,148,49,0.6939,0.449,118,47,0.8298000000000001,0.5745,0.4286,0.5745,0.3310810810810811,0.3983050847457627
439,Hamilton Unified,90.0,25.0,0.52,0.2,51.0,24.0,0.625,0.3333,0.16,0.0029170000000000003,0.2777777777777778,0.47058823529411764,55,7,,,79,33,0.303,0.1818,,0.0909,0.12727272727272726,0.4177215189873418
440,Calexico Unified,879.0,194.0,0.7062,0.5361,781.0,168.0,0.7023999999999999,0.6369,0.46909999999999996,0.005655,0.22070534698521047,0.21510883482714468,816,154,0.6494,0.5584,759,5,,,0.4675,,0.18872549019607843,0.006587615283267457
441,Kelseyville Unified,129.0,45.0,0.6889,0.3111,134.0,36.0,0.7778,0.3611,0.3111,0.003333,0.3488372093023256,0.26865671641791045,138,32,0.6875,0.2813,164,39,0.5897,0.2821,0.25,0.2821,0.2318840579710145,0.23780487804878048
442,Beverly Hills Unified,424.0,145.0,0.9586,0.8069,334.0,222.0,0.8694,0.7476999999999999,0.8,0.0072970000000000005,0.3419811320754717,0.6646706586826348,333,128,0.9375,0.8828,356,214,0.8879,0.715,0.8438,0.7056,0.3843843843843844,0.601123595505618
443,Burbank Unified,1331.0,522.0,0.841,0.7222,1343.0,413.0,0.9516,0.9128000000000001,0.6877,0.008886,0.3921863260706236,0.3075204765450484,1335,490,0.8837,0.7509999999999999,1360,84,0.9881,0.9286,0.7245,0.9286,0.36704119850187267,0.061764705882352944
444,Duarte Unified,405.0,126.0,0.6825,0.373,457.0,127.0,0.7637999999999999,0.5196999999999999,0.35710000000000003,0.004961,0.3111111111111111,0.2778993435448578,448,139,0.7698,0.3885,610,14,,,0.3741,,0.31026785714285715,0.022950819672131147
445,Glendora Unified,639.0,248.0,0.8629000000000001,0.8184999999999999,591.0,284.0,0.9401,0.9296,0.75,0.009014,0.38810641627543035,0.4805414551607445,612,208,0.9279000000000001,0.851,630,56,1.0,0.9643,0.8173,0.9643,0.33986928104575165,0.08888888888888889
446,Los Angeles Unified,41873.0,19988.0,0.5227,0.2992,42282.0,33355.0,0.475,0.2682,0.2748,0.002482,0.477348171852984,0.788869968308027,41110,17095,0.5578,0.34119999999999995,41476,23406,0.43189999999999995,0.2675,0.31579999999999997,0.2376,0.41583556312332765,0.564326357411515
447,Alhambra Unified,1902.0,814.0,0.7912,0.6904,1709.0,828.0,0.8671,0.7886,0.6376,0.007403,0.42797055730809674,0.4844938560561732,1805,821,0.7917000000000001,0.6979000000000001,1650,177,0.9548000000000001,0.9434999999999999,0.6431,0.9153,0.4548476454293629,0.10727272727272727
448,Golden Valley Unified,172.0,47.0,0.8511,0.4894,157.0,32.0,0.9063,0.7188,0.4468,0.007188,0.27325581395348836,0.20382165605095542,158,59,0.6102000000000001,0.3729,138,4,,,0.35590000000000005,,0.37341772151898733,0.028985507246376812
449,Fort Bragg Unified,119.0,31.0,0.9031999999999999,0.5806,143.0,39.0,0.7692,0.6409999999999999,0.5806,0.005897,0.2605042016806723,0.2727272727272727,138,41,0.6829000000000001,0.3171,152,16,0.4375,0.375,0.2927,0.3125,0.2971014492753623,0.10526315789473684
450,Soledad Unified,403.0,141.0,0.4255,0.1844,380.0,81.0,0.6173,0.2346,0.1702,0.002346,0.34987593052109184,0.2131578947368421,384,136,0.3897,0.0882,349,288,0.2882,0.09380000000000001,0.0882,0.0764,0.3541666666666667,0.8252148997134671
451,Huntington Beach Union High,4150.0,1313.0,0.8713,0.7411,3936.0,1534.0,0.9042,0.8344,0.7091,0.008076999999999999,0.3163855421686747,0.38973577235772355,4111,1324,0.8663,0.7545000000000001,3907,394,0.9745999999999999,0.9745999999999999,0.7281,0.9594,0.32206275845293114,0.10084463782953673
452,Banning Unified,358.0,74.0,0.6622,0.3378,309.0,63.0,0.5556,0.4286,0.3243,0.0041270000000000005,0.20670391061452514,0.20388349514563106,323,62,0.5806,0.2742,339,36,0.6944,0.3056,0.2581,0.25,0.19195046439628483,0.10619469026548672
453,Desert Sands Unified,2493.0,755.0,0.6914,0.35100000000000003,2280.0,1997.0,0.5433,0.2699,0.33770000000000006,0.0025540000000000003,0.3028479743281187,0.8758771929824561,2328,549,0.6849,0.42619999999999997,2270,2000,0.499,0.284,0.40979999999999994,0.2645,0.23582474226804123,0.8810572687224669
454,Sacramento County Office of Education,343.0,1.0,,,86.0,0.0,,,,,0.0029154518950437317,0.0,232,0,,,328,0,,,,,0.0,0.0
455,Fontana Unified,2941.0,997.0,0.5667,0.3079,2825.0,2528.0,0.44939999999999997,0.23420000000000002,0.2768,0.002073,0.33900034002040125,0.8948672566371682,2962,2510,0.361,0.1805,2857,2592,0.37579999999999997,0.218,0.155,0.1929,0.8474004051316678,0.9072453622681134
456,SBE - Olive Grove Charter - Orcutt/Santa Maria,42.0,3.0,,,59.0,1.0,,,,,0.07142857142857142,0.01694915254237288,88,1,,,66,0,,,,,0.011363636363636364,0.0
457,San Lorenzo Valley Unified,244.0,50.0,0.84,0.6,340.0,91.0,0.9670000000000001,0.7363,0.6,0.007253000000000001,0.20491803278688525,0.2676470588235294,318,75,0.8533,0.6933,314,16,0.875,0.875,0.6533,0.8125,0.2358490566037736,0.050955414012738856
458,Enterprise Elementary,,,,,,,,,,,,,7,0,,,24,0,,,,,0.0,0.0
459,Gateway Unified,168.0,24.0,0.6667000000000001,0.4583,167.0,20.0,0.85,0.8,0.4167,0.008,0.14285714285714285,0.11976047904191617,161,13,,,169,9,,,,,0.08074534161490683,0.05325443786982249
460,Benicia Unified,406.0,132.0,0.8939,0.75,441.0,142.0,0.9366,0.8803,0.7121,0.008451,0.3251231527093596,0.3219954648526077,437,127,0.8268000000000001,0.7087,399,22,1.0,1.0,0.6772,1.0,0.2906178489702517,0.05513784461152882
461,Fairfield-Suisun Unified,1560.0,393.0,0.7608,0.5242,1508.0,324.0,0.8826999999999999,0.7437999999999999,0.4885,0.007221999999999999,0.2519230769230769,0.21485411140583555,1512,350,0.8114,0.6029,1538,56,1.0,0.8571,0.5857,0.8571,0.23148148148148148,0.036410923276983094
462,Modesto City High,3858.0,1067.0,0.7076,0.4414,3698.0,883.0,0.8301000000000001,0.6048,0.4152,0.005855,0.27656817003628825,0.23877771768523526,3794,871,0.7451000000000001,0.4546,3813,68,0.9706,0.7940999999999999,0.4363,0.7940999999999999,0.22957301001581445,0.017833726724364018
463,Marcum-Illinois Union Elementary,140.0,12.0,,,141.0,8.0,,,,,0.08571428571428572,0.05673758865248227,157,11,,,196,2,,,,,0.07006369426751592,0.01020408163265306
464,Los Molinos Unified,37.0,14.0,,,59.0,7.0,,,,,0.3783783783783784,0.11864406779661017,62,5,,,57,0,,,,,0.08064516129032258,0.0
465,Farmersville Unified,216.0,62.0,0.371,0.11289999999999999,178.0,60.0,0.4167,0.0833,0.11289999999999999,0.000833,0.28703703703703703,0.33707865168539325,179,46,0.5,0.10869999999999999,184,0,,,0.10869999999999999,,0.2569832402234637,0.0
466,Ojai Unified,192.0,49.0,0.8162999999999999,0.5714,211.0,50.0,1.0,0.84,0.5714,0.0084,0.2552083333333333,0.23696682464454977,201,60,0.85,0.7667,209,18,0.9444,0.8889,0.7667,0.8889,0.29850746268656714,0.0861244019138756
467,Moorpark Unified,505.0,125.0,0.872,0.72,535.0,143.0,0.965,0.8671,0.696,0.008531,0.24752475247524752,0.2672897196261682,538,120,0.8417,0.725,526,40,0.975,0.85,0.675,0.85,0.22304832713754646,0.07604562737642585
468,Berkeley Unified,820.0,321.0,0.8723000000000001,0.7103,871.0,383.0,0.8903,0.7755,0.6978,0.0076760000000000005,0.39146341463414636,0.4397244546498278,825,323,0.8606999999999999,0.7306999999999999,849,67,1.0,0.9851000000000001,0.7090000000000001,0.9851000000000001,0.39151515151515154,0.07891637220259129
469,Butte County Office of Education,207.0,23.0,0.8695999999999999,0.3043,157.0,14.0,,,0.3043,,0.1111111111111111,0.08917197452229299,187,14,,,169,3,,,,,0.0748663101604278,0.01775147928994083
470,West Contra Costa Unified,2520.0,1770.0,0.4395,0.24350000000000002,2364.0,680.0,0.7132,0.4941,0.2243,0.0046619999999999995,0.7023809523809523,0.2876480541455161,2579,1759,0.4275,0.2354,2382,32,0.875,0.7813,0.2194,0.7813,0.6820473051570376,0.01343408900083963
471,Clovis Unified,3305.0,1209.0,0.8354,0.6179,3266.0,1304.0,0.8734999999999999,0.7315999999999999,0.5988,0.0071010000000000005,0.36580937972768535,0.3992651561543172,3313,1227,0.8068000000000001,0.5925,3235,689,0.8403,0.6967,0.5664,0.672,0.3703591910654995,0.21298299845440494
472,Firebaugh-Las Deltas Unified,170.0,84.0,0.47619999999999996,0.07139999999999999,159.0,53.0,0.6415000000000001,0.2075,0.059500000000000004,0.001887,0.49411764705882355,0.3333333333333333,162,56,0.48210000000000003,0.0536,166,1,,,0.0536,,0.345679012345679,0.006024096385542169
473,San Pasqual Valley Unified,49.0,19.0,0.31579999999999997,0.15789999999999998,59.0,17.0,0.3529,0.0588,0.10529999999999999,0.000588,0.3877551020408163,0.288135593220339,58,20,0.2,0.0,56,0,,,0.0,,0.3448275862068966,0.0
474,McFarland Unified,209.0,66.0,0.3788,0.1061,255.0,140.0,0.3857,0.2357,0.0909,0.002071,0.3157894736842105,0.5490196078431373,238,62,0.5484,0.35479999999999995,250,56,0.6071,0.25,0.3226,0.2321,0.2605042016806723,0.224
475,Hanford Joint Union High,897.0,193.0,0.7047,0.40409999999999996,964.0,170.0,0.8118000000000001,0.5353,0.37310000000000004,0.005294,0.21516164994425863,0.17634854771784234,900,207,0.7295,0.401,930,75,0.8533,0.7333,0.3768,0.68,0.23,0.08064516129032258
476,Covina-Valley Unified,1066.0,998.0,0.4619,0.2796,1019.0,956.0,0.5167,0.3086,0.2465,0.002772,0.9362101313320825,0.9381746810598626,1078,932,0.4667,0.2446,1031,17,0.8234999999999999,0.7646999999999999,0.22210000000000002,0.7059000000000001,0.8645640074211502,0.016488845780795344
477,Wiseburn Unified,428.0,140.0,0.6857,0.3286,354.0,253.0,0.7866,0.4941,0.3143,0.004664,0.32710280373831774,0.7146892655367232,468,155,0.7613,0.4065,377,16,0.875,0.9375,0.38060000000000005,0.875,0.3311965811965812,0.042440318302387266
478,Madera County Superintendent of Schools,252.0,1.0,,,134.0,0.0,,,,,0.003968253968253968,0.0,140,1,,,136,0,,,,,0.007142857142857143,0.0
479,Mariposa County Unified,149.0,36.0,0.9167000000000001,0.75,134.0,39.0,0.8974,0.8974,0.7222,0.008718,0.24161073825503357,0.291044776119403,135,27,0.8519,0.7406999999999999,135,16,0.9375,0.9375,0.7037,0.9375,0.2,0.11851851851851852
480,Laytonville Unified,27.0,7.0,,,27.0,8.0,,,,,0.25925925925925924,0.2962962962962963,28,6,,,24,0,,,,,0.21428571428571427,0.0
481,Le Grand Union High,102.0,46.0,0.43479999999999996,0.2391,147.0,65.0,0.4462,0.3385,0.1522,0.002615,0.45098039215686275,0.4421768707482993,145,36,0.4722,0.25,130,0,,,0.22219999999999998,,0.2482758620689655,0.0
482,Dos Palos Oro Loma Joint Unified,194.0,43.0,0.5115999999999999,0.20929999999999999,161.0,30.0,0.7667,0.6667000000000001,0.1628,0.006333,0.22164948453608246,0.18633540372670807,161,45,0.5778,0.42219999999999996,162,1,,,0.3556,,0.2795031055900621,0.006172839506172839
483,Mono County Office of Education,291.0,0.0,,,4.0,1.0,,,,,0.0,0.25,307,0,,,5,0,,,,,0.0,0.0
484,Nevada Joint Union High,700.0,175.0,0.8629000000000001,0.7371,697.0,167.0,0.9581000000000001,0.8802,0.7143,0.008743,0.25,0.23959827833572453,714,160,0.875,0.75,674,40,0.975,0.925,0.6938,0.925,0.22408963585434175,0.05934718100890208
485,Anaheim Union High,5479.0,1490.0,0.743,0.5322,4917.0,1313.0,0.8264,0.6611,0.5081,0.006336999999999999,0.27194743566344226,0.26703274354281065,5270,1438,0.7267,0.5153,5024,308,0.9708,0.9351,0.493,0.9286,0.272865275142315,0.06130573248407643
486,Plumas Unified,161.0,34.0,0.8234999999999999,0.6765000000000001,150.0,66.0,0.7726999999999999,0.5758,0.6470999999999999,0.005455,0.2111801242236025,0.44,154,25,0.8,0.6,161,13,,,0.6,,0.16233766233766234,0.08074534161490683
487,Lake Elsinore Unified,1608.0,493.0,0.6876000000000001,0.4462,1574.0,387.0,0.7752,0.5943,0.4077,0.005504,0.30659203980099503,0.24587039390088947,1606,462,0.7403,0.5281,1659,131,0.7709999999999999,0.6412,0.4935,0.5725,0.2876712328767123,0.07896323086196504
488,San Benito High,807.0,205.0,0.7512000000000001,0.5024000000000001,757.0,171.0,0.8362999999999999,0.6315999999999999,0.4732,0.006023,0.2540272614622057,0.22589167767503301,765,250,0.768,0.43200000000000005,800,74,0.8108,0.7297,0.408,0.6892,0.32679738562091504,0.0925
489,Helendale Elementary,199.0,27.0,0.8519,0.2963,302.0,28.0,0.9643,0.6786,0.2963,0.0067859999999999995,0.135678391959799,0.09271523178807947,261,40,0.825,0.35,366,8,,,0.35,,0.1532567049808429,0.02185792349726776
490,Oro Grande,647.0,48.0,0.6457999999999999,0.3333,619.0,43.0,0.7442,0.2791,0.2917,0.0025579999999999995,0.07418856259659969,0.06946688206785137,824,36,0.6944,0.2778,568,5,,,0.2778,,0.043689320388349516,0.008802816901408451
491,San Bernardino City Unified,3558.0,932.0,0.5611999999999999,0.28,3564.0,2453.0,0.43420000000000003,0.19079999999999997,0.2597,0.0017329999999999997,0.26194491287240024,0.6882716049382716,3590,723,0.5339,0.2503,3654,2370,0.36369999999999997,0.1869,0.22820000000000001,0.1603,0.20139275766016712,0.6486042692939245
492,San Diego Unified,9418.0,3369.0,0.713,0.49689999999999995,8612.0,3840.0,0.7890999999999999,0.6021,0.4714,0.0058260000000000004,0.3577192609895944,0.4458894565722248,9075,3213,0.7193,0.493,8763,672,0.9717,0.9092,0.47090000000000004,0.8987999999999999,0.3540495867768595,0.0766860664156111
493,San Dieguito Union High,2334.0,707.0,0.9505,0.8317,2183.0,1188.0,0.9722,0.9309999999999999,0.8204,0.009242,0.3029134532990574,0.5442052221713238,2215,675,0.9259000000000001,0.8563,2233,671,0.9925,0.9762000000000001,0.8311,0.9717,0.3047404063205418,0.30049261083743845
494,Warner Unified,129.0,11.0,,,103.0,6.0,,,,,0.08527131782945736,0.05825242718446602,231,13,,,163,2,,,,,0.05627705627705628,0.012269938650306749
495,San Luis Coastal Unified,591.0,185.0,0.9243000000000001,0.7946,571.0,251.0,0.9243000000000001,0.8725,0.7784,0.008565999999999999,0.3130287648054145,0.4395796847635727,583,190,0.8946999999999999,0.8053,613,50,0.98,0.9,0.7842,0.9,0.3259005145797599,0.08156606851549755
496,Cabrillo Unified,251.0,77.0,0.7792,0.5714,267.0,70.0,0.9143000000000001,0.8143,0.5714,0.007857,0.30677290836653387,0.26217228464419473,290,81,0.7901,0.6049,266,13,,,0.5309,,0.2793103448275862,0.04887218045112782
497,Gilroy Unified,972.0,335.0,0.7403,0.5313,922.0,297.0,0.8384,0.7003,0.4955,0.0067,0.3446502057613169,0.32212581344902386,922,272,0.8125,0.6029,975,44,0.9545,0.9091,0.5809000000000001,0.8864,0.2950108459869848,0.04512820512820513
498,Fall River Joint Unified,86.0,13.0,,,86.0,18.0,0.7222,0.6111,,0.006111,0.1511627906976744,0.20930232558139536,76,8,,,86,0,,,,,0.10526315789473684,0.0
499,Redding Elementary,19.0,6.0,,,23.0,1.0,,,,,0.3157894736842105,0.043478260869565216,19,3,,,30,0,,,,,0.15789473684210525,0.0
500,Dixon Unified,310.0,94.0,0.7766,0.6596,298.0,81.0,0.8395,0.7406999999999999,0.6277,0.007037,0.3032258064516129,0.27181208053691275,302,87,0.7356,0.6207,283,12,,,0.5632,,0.28807947019867547,0.04240282685512368
501,Sonoma County Office of Education,185.0,0.0,,,70.0,0.0,,,,,0.0,0.0,174,0,,,60,0,,,,,0.0,0.0
502,Santa Rosa High,1968.0,413.0,0.8184,0.5981000000000001,1963.0,437.0,0.9176000000000001,0.8055,0.5884,0.007872,0.20985772357723578,0.22261844116148752,2033,363,0.8733,0.6942,1852,51,0.9216,0.8626999999999999,0.6777,0.8626999999999999,0.17855386128873585,0.0275377969762419
503,Newman-Crows Landing Unified,227.0,66.0,0.6667000000000001,0.34850000000000003,237.0,204.0,0.5196000000000001,0.25,0.3182,0.002353,0.2907488986784141,0.8607594936708861,228,74,0.5405,0.3243,266,228,0.4474,0.2061,0.2973,0.1974,0.32456140350877194,0.8571428571428571
504,Tehama County Department of Education,47.0,1.0,,,32.0,0.0,,,,,0.02127659574468085,0.0,38,0,,,30,0,,,,,0.0,0.0
505,Trinity County Office of Education,36.0,0.0,,,22.0,0.0,,,,,0.0,0.0,30,0,,,26,0,,,,,0.0,0.0
506,Cutler-Orosi Joint Unified,292.0,122.0,0.3361,0.1475,303.0,113.0,0.37170000000000003,0.177,0.1393,0.0015039999999999997,0.4178082191780822,0.37293729372937295,295,111,0.3514,0.1532,299,2,,,0.1261,,0.376271186440678,0.006688963210702341
507,Tulare Joint Union High,1284.0,397.0,0.5893999999999999,0.40049999999999997,1404.0,318.0,0.7106999999999999,0.5535,0.35009999999999997,0.0049369999999999995,0.309190031152648,0.2264957264957265,1328,409,0.5819,0.3912,1388,19,0.8421,0.7895,0.33740000000000003,0.7368000000000001,0.3079819277108434,0.013688760806916427
508,Winters Joint Unified,119.0,31.0,0.7742,0.5161,124.0,25.0,0.76,0.6,0.5161,0.005600000000000001,0.2605042016806723,0.20161290322580644,143,29,0.7241,0.37929999999999997,134,0,,,0.3448,,0.20279720279720279,0.0
509,Alameda County Office of Education,170.0,67.0,0.4179,0.1642,175.0,76.0,0.4474,0.2237,0.1642,0.001711,0.3941176470588235,0.4342857142857143,216,51,0.4118,0.25489999999999996,178,0,,,0.25489999999999996,,0.2361111111111111,0.0
510,Selma Unified,499.0,142.0,0.5915,0.3873,501.0,124.0,0.7097,0.4113,0.34509999999999996,0.003952000000000001,0.2845691382765531,0.24750499001996007,472,137,0.5036,0.3285,521,32,0.7813,0.5938,0.2774,0.5625,0.2902542372881356,0.061420345489443376
511,Sierra Sands Unified,353.0,86.0,0.8837,0.7326,376.0,98.0,0.9490000000000001,0.8162999999999999,0.7209,0.008162999999999998,0.24362606232294617,0.26063829787234044,360,57,0.8421,0.7193,393,40,0.9,0.725,0.6842,0.725,0.15833333333333333,0.10178117048346055
512,Bassett Unified,285.0,91.0,0.6154,0.3846,246.0,57.0,0.6667000000000001,0.4035,0.3187,0.0036840000000000006,0.3192982456140351,0.23170731707317074,252,77,0.5195000000000001,0.31170000000000003,253,0,,,0.2987,,0.3055555555555556,0.0
513,Lennox,296.0,233.0,0.5751,0.31329999999999997,293.0,265.0,0.6225999999999999,0.3547,0.2961,0.003396,0.7871621621621622,0.9044368600682594,289,232,0.5517,0.3276,292,1,,,0.2888,,0.8027681660899654,0.003424657534246575
514,Manhattan Beach Unified,610.0,205.0,0.9854,0.8732,692.0,292.0,0.9897,0.976,0.8732,0.009692000000000001,0.3360655737704918,0.42196531791907516,691,266,0.9662000000000001,0.8759,648,96,1.0,0.9895999999999999,0.8722,0.9895999999999999,0.3849493487698987,0.14814814814814814
515,SBE - Los Angeles College Prep Academy,,,,,,,,,,,,,41,26,0.42310000000000003,0.15380000000000002,24,0,,,0.15380000000000002,,0.6341463414634146,0.0
516,Chowchilla Union High,276.0,86.0,0.5581,0.23260000000000003,270.0,65.0,0.7846,0.4462,0.20929999999999999,0.004154,0.3115942028985507,0.24074074074074073,267,89,0.6404000000000001,0.2921,271,49,0.7551000000000001,0.6531,0.2697,0.5918,0.3333333333333333,0.18081180811808117
517,Monterey County Office of Education,214.0,5.0,,,153.0,3.0,,,,,0.02336448598130841,0.0196078431372549,177,4,,,118,0,,,,,0.022598870056497175,0.0
518,Nevada County Office of Education,1163.0,10.0,,,235.0,3.0,,,,,0.008598452278589854,0.01276595744680851,628,5,,,309,2,,,,,0.007961783439490446,0.006472491909385114
519,Elverta Joint Elementary,10.0,7.0,,,14.0,4.0,,,,,0.7,0.2857142857142857,20,8,,,20,0,,,,,0.4,0.0
520,Natomas Unified,1130.0,527.0,0.6983,0.4213,1244.0,997.0,0.5567,0.33399999999999996,0.3985,0.0032,0.4663716814159292,0.8014469453376206,1250,459,0.732,0.451,1191,809,0.5352,0.3214,0.44229999999999997,0.3016,0.3672,0.6792611251049538
521,Needles Unified,69.0,17.0,0.5882000000000001,0.29410000000000003,64.0,11.0,,,0.2353,,0.2463768115942029,0.171875,63,12,,,71,1,,,,,0.19047619047619047,0.014084507042253521
522,Atascadero Unified,355.0,45.0,0.8889,0.6444,376.0,82.0,0.9268000000000001,0.7195,0.6444,0.007073,0.1267605633802817,0.21808510638297873,384,57,0.8245999999999999,0.5614,373,5,,,0.5614,,0.1484375,0.013404825737265416
523,Templeton Unified,203.0,54.0,0.9074,0.6296,213.0,69.0,0.9420000000000001,0.8261,0.6296,0.008261,0.2660098522167488,0.323943661971831,228,53,0.8868,0.7170000000000001,213,11,,,0.6792,,0.2324561403508772,0.051643192488262914
524,Santa Maria Joint Union High,1949.0,417.0,0.6859000000000001,0.494,1908.0,388.0,0.6701,0.5593,0.4604,0.0048200000000000005,0.21395587480759365,0.20335429769392033,1993,457,0.6520999999999999,0.512,2015,23,1.0,1.0,0.43329999999999996,1.0,0.2293025589563472,0.01141439205955335
525,Santa Barbara Unified,1669.0,540.0,0.8815000000000001,0.7019,1560.0,642.0,0.9018999999999999,0.8131,0.687,0.00796,0.32354703415218694,0.4115384615384615,1631,502,0.8327,0.6853,1570,232,0.9483,0.9095,0.6594,0.8966,0.3077866339668915,0.14777070063694267
526,SBE - Olive Grove Charter - Buellton,23.0,0.0,,,16.0,0.0,,,,,0.0,0.0,17,0,,,10,0,,,,,0.0,0.0
527,SBE - Olive Grove Charter - Santa Barbara,53.0,0.0,,,60.0,1.0,,,,,0.0,0.016666666666666666,68,2,,,37,0,,,,,0.029411764705882353,0.0
528,Cloverdale Unified,85.0,21.0,0.47619999999999996,0.1905,96.0,23.0,0.8695999999999999,0.5652,0.09519999999999999,0.005652000000000001,0.24705882352941178,0.23958333333333334,106,18,0.8332999999999999,0.44439999999999996,111,0,,,0.44439999999999996,,0.16981132075471697,0.0
529,Harmony Union Elementary,64.0,3.0,,,52.0,1.0,,,,,0.046875,0.019230769230769232,55,3,,,50,0,,,,,0.05454545454545454,0.0
530,Sonoma Valley Unified,293.0,91.0,0.7802,0.5824,361.0,123.0,0.748,0.6098,0.5495,0.005447,0.310580204778157,0.3407202216066482,320,112,0.7589,0.5625,333,22,0.9545,0.8636,0.4911,0.8636,0.35,0.06606606606606606
531,Lindsay Unified,293.0,100.0,0.55,0.15,288.0,96.0,0.625,0.22920000000000001,0.12,0.002188,0.3412969283276451,0.3333333333333333,264,56,0.5714,0.2143,318,2,,,0.19640000000000002,,0.21212121212121213,0.006289308176100629
532,Ventura County Office of Education,323.0,10.0,,,386.0,14.0,,,,,0.030959752321981424,0.03626943005181347,334,5,,,441,0,,,,,0.014970059880239521,0.0
533,Pleasant Valley,,,,,,,,,,,,,109,0,,,54,0,,,,,0.0,0.0
