,district,students_in_grade_12_19,sat_19_grade_12_takers,sat_19_grade_12_at_erwb_benchmark,sat_19_grade_12_at_math_benchmark,students_in_grade_11_19,sat_19_grade_11_takers,sat_19_grade_11_at_erwb_benchmark,sat_19_grade_11_at_math_benchmark,sat_19_grade_12_at_both_benchmarks,sat_19_grade_11_at_both_benchmarks,sat_19_g12_participation,sat_19_g11_participation,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation
378,Aromas - San Juan Unified,75.0,21.0,0.7619,0.5714,85.0,13.0,,,0.47619999999999996,,0.28,0.15294117647058825,76,12,,,89,3,,,,,0.15789473684210525,0.033707865168539325
379,Chino Valley Unified,2434.0,1788.0,0.6616,0.462,2295.0,1949.0,0.6890999999999999,0.4592,0.4362,0.0043560000000000005,0.7345932621199671,0.8492374727668845,2337,1635,0.6361,0.42200000000000004,2346,1974,0.6403,0.4509,0.3945,0.4174,0.699614890885751,0.8414322250639387
380,Upland Unified,867.0,296.0,0.7736,0.4932,884.0,301.0,0.8671,0.7076,0.4797,0.006844,0.3414071510957324,0.3404977375565611,912,332,0.6958,0.4819,777,22,0.9545,0.9091,0.4669,0.9091,0.36403508771929827,0.028314028314028315
381,Shasta Union High,1308.0,263.0,0.9011,0.7490000000000001,1271.0,274.0,0.927,0.8832,0.73,0.008577,0.20107033639143732,0.2155782848151062,1273,198,0.9192,0.8029999999999999,1285,54,0.9444,0.9074,0.7778,0.9074,0.15553809897879026,0.04202334630350195
382,Sierra-Plumas Joint Unified,23.0,5.0,,,31.0,14.0,,,,,0.21739130434782608,0.45161290322580644,36,12,,,38,4,,,,,0.3333333333333333,0.10526315789473684
383,Siskiyou Union High,150.0,39.0,0.8462000000000001,0.5128,121.0,33.0,0.8181999999999999,0.5758,0.5128,0.005758,0.26,0.2727272727272727,105,31,0.8387,0.5484,149,1,,,0.5484,,0.29523809523809524,0.006711409395973154
384,Solano County Office of Education,181.0,0.0,,,29.0,0.0,,,,,0.0,0.0,147,0,,,47,0,,,,,0.0,0.0
385,Vallejo City Unified,994.0,277.0,0.5992999999999999,0.2527,982.0,208.0,0.726,0.4808,0.23829999999999998,0.004327,0.27867203219315895,0.21181262729124237,1032,278,0.6403,0.3237,1000,127,0.4961,0.19690000000000002,0.30219999999999997,0.1732,0.2693798449612403,0.127
386,Modesto City Elementary,3.0,3.0,,,8.0,2.0,,,,,1.0,0.25,18,1,,,32,0,,,,,0.05555555555555555,0.0
387,Ventura Unified,1301.0,348.0,0.8420000000000001,0.6264,1252.0,425.0,0.9106000000000001,0.7434999999999999,0.6149,0.007387999999999999,0.2674865488086088,0.33945686900958466,1185,317,0.8801000000000001,0.7319,1329,155,0.9548000000000001,0.8323,0.7066,0.8194,0.26751054852320677,0.11662904439428141
