,school_district,score,expenditures_for_public_elementary_and_secondary_schools_per_pupil,income_by_school_district
162,Mcswain Union Elementary,10.98,"$10,811","$102,138"
693,Meadows Union Elementary,49.88,"$14,715","$37,543"
433,Mendocino Unified,30.42,"$21,599","$62,563"
830,Mendota Unified,72.64,"$12,746","$30,542"
443,Menifee Union Elementary,30.93,"$10,434","$72,993"
905,Menlo Park City Elementary,187.34,"$18,728","$193,119"
683,Merced City Elementary,49.26,"$12,653","$48,316"
631,Merced River Union Elementary,45.02,"$11,757","$55,938"
501,Merced Union High,34.48,"$14,146","$51,793"
542,Meridian Elementary,37.81,"$22,455","$63,750"
842,Mesa Union Elementary,79.14,"$10,283","$155,250"
455,Middletown Unified,31.71,"$11,671","$66,223"
138,Midway Elementary,9.75,"$22,050","$45,000"
884,Mill Valley Elementary,119.53,"$16,270","$155,203"
572,Millbrae Elementary,40.48,"$11,437","$120,850"
633,Miller Creek Elementary,45.24,"$13,072","$116,192"
561,Millville Elementary,39.41,"$10,297","$67,396"
784,Milpitas Unified,61.17,"$12,280","$131,954"
712,Mission Union Elementary,52.37,"$11,481","$51,875"
779,Modoc Joint Unified,60.77,"$11,378","$46,169"
718,Mojave Unified,53.01,"$12,854","$44,535"
333,Monroe Elementary,23.45,"$15,867","$51,346"
20,Monrovia Unified,1.61,"$13,518","$79,271"
749,Monson-Sultana Joint Union Elementary,55.82,"$12,769","$42,875"
735,Montague Elementary,55.02,"$11,681","$48,911"
265,Monte Rio Union Elementary,18.99,"$20,690","$58,642"
499,Montebello Unified,34.43,"$13,993","$52,592"
910,Montecito Union Elementary,222.05,"$30,213","$161,360"
245,Monterey Peninsula Unified,17.6,"$12,472","$72,666"
306,Montgomery Elementary,21.88,"$24,273","$42,857"
273,Moorpark Unified,19.36,"$10,939","$107,703"
834,Moraga Elementary,74.9,"$12,431","$141,366"
616,Moreland,43.69,"$12,870","$116,056"
264,Moreno Valley Unified,18.89,"$14,013","$64,003"
658,Morgan Hill Unified,47.47,"$11,628","$125,073"
730,Morongo Unified,54.3,"$13,105","$42,323"
402,Mother Lode Union Elementary,28.4,"$11,335","$70,359"
703,Mount Pleasant Elementary,50.8,"$15,161","$109,861"
388,Mountain Elementary,26.84,"$12,336","$106,250"
299,Mountain Empire Unified,21.28,"$14,510","$59,746"
891,Mountain House Elementary,138.99,"$30,059","$100,625"
267,Mountain Union Elementary,19.1,"$18,863","$39,583"
419,Mountain Valley Unified,29.45,"$18,953","$31,467"
325,Mountain View Elementary - El Monte,22.98,"$16,305","$49,503"
194,Mountain View Elementary - Ontario,13.39,"$11,227","$82,010"
857,Mountain View Whisman,94.97,"$16,350","$136,619"
901,Mountain View-Los Altos Union High,168.4,"$23,203","$156,702"
406,Mt. Baldy Joint Elementary,28.62,"$13,872","$57,500"
329,Mt. Diablo Unified,23.19,"$13,284","$98,809"
750,Mt. Shasta Union Elementary,55.9,"$11,849","$47,425"
7,Mulberry Elementary,0.54,"$13,781","$78,750"
102,Mupu Elementary,7.05,"$9,669","$94,500"
597,Muroc Joint Unified,42.49,"$11,889","$57,151"
63,Murrieta Valley Unified,4.33,"$11,338","$94,577"
47,Napa Valley Unified,3.2,"$12,313","$88,859"
541,National Elementary,37.64,"$14,824","$46,062"
133,Natomas Unified,9.3,"$12,033","$81,010"
793,Needles Unified,62.79,"$13,413","$34,498"
458,Nevada City Elementary,31.83,"$11,351","$67,733"
173,Nevada Joint Union High,11.64,"$15,562","$61,621"
505,New Haven Unified,34.82,"$12,269","$112,496"
763,New Hope Elementary,58.14,"$14,000","$35,000"
520,New Jerusalem Elementary,36.39,"$12,139","$60,417"
621,Newark Unified,44.09,"$12,769","$116,856"
16,Newcastle Elementary,1.04,"$13,709","$80,278"
95,Newhall,6.65,"$11,279","$96,590"
352,Newman-Crows Landing Unified,24.47,"$13,285","$63,512"
557,Newport-Mesa Unified,39.11,"$15,125","$101,383"
899,Nicasio,162.87,"$25,641","$140,417"
253,Norris Elementary,18.28,"$8,683","$118,190"
171,North County Joint Union Elementary,11.51,"$10,336","$104,904"
104,North Cow Creek Elementary,7.16,"$10,364","$90,938"
53,North Monterey County Unified,3.83,"$13,821","$81,786"
560,Northern Humboldt Union High,39.33,"$14,340","$47,230"
6,Norwalk-La Mirada Unified,0.39,"$13,962","$77,957"
471,Novato Unified,32.56,"$13,101","$106,657"
385,Nuestro Elementary,26.64,"$8,918","$83,750"
425,Nuview Union,30,"$12,193","$64,877"
595,Oak Grove Elementary,42.24,"$12,806","$115,302"
641,Oak Grove Union Elementary,45.96,"$13,911","$112,527"
685,Oak Park Unified,49.39,"$10,394","$132,665"
538,Oak Run Elementary,37.42,"$13,456","$53,068"
798,Oak Valley Union Elementary,63.84,"$11,407","$43,750"
316,Oak View Union Elementary,22.39,"$11,285","$75,054"
384,Oakdale Joint Unified,26.58,"$11,208","$72,342"
75,Oakland Unified,5.1,"$15,652","$73,561"
197,Oakley Union Elementary,13.51,"$10,720","$104,464"
44,Ocean View - Huntington Beach,3.12,"$11,812","$91,312"
514,Ocean View - Oxnard,35.78,"$11,925","$61,940"
340,Oceanside Unified,23.89,"$13,154","$64,597"
160,Ojai Unified,10.9,"$12,123","$79,371"
339,Old Adobe Union,23.86,"$13,559","$97,929"
282,Ontario-Montclair,20,"$14,721","$59,635"
646,Orange Center,46.54,"$15,286","$37,159"
177,Orange Unified,11.98,"$11,918","$97,336"
803,Orchard Elementary,64.46,"$13,586","$127,854"
77,Orcutt Union Elementary,5.45,"$11,083","$88,607"
219,Orick Elementary,15.47,"$24,708","$35,938"
906,Orinda Union Elementary,192.87,"$13,473","$223,504"
702,Orland Joint Unified,50.8,"$12,312","$48,881"
819,Oro Grande,68.37,"$13,285","$31,000"
709,Oroville City Elementary,51.5,"$12,884","$45,501"
675,Oroville Union High,48.88,"$13,883","$42,445"
432,Outside Creek Elementary,30.34,"$10,883","$71,181"
603,Owens Valley Unified,42.83,"$27,205","$43,702"
145,Oxnard,10.24,"$13,885","$71,043"
69,Oxnard Union High,4.77,"$13,175","$78,649"
429,Pacheco Union Elementary,30.14,"$11,172","$69,886"
368,Pacific Elementary,25.44,"$12,547","$66,484"
588,Pacific Grove Unified,41.87,"$17,672","$90,683"
836,Pacific Union Elementary - Arcata,75.61,"$9,756","$43,299"
257,Pacific Union Elementary - Fresno,18.59,"$16,106","$53,750"
653,Pacifica,46.98,"$11,417","$125,760"
10,Pajaro Valley Unified,0.74,"$15,343","$71,880"
766,Palermo Union Elementary,58.42,"$12,492","$42,336"
497,Palm Springs Unified,34.32,"$14,904","$48,120"
449,Palmdale Elementary,31.19,"$13,697","$56,472"
896,Palo Alto Unified,160.36,"$23,038","$151,578"
701,Palo Verde Unified,50.71,"$13,196","$44,527"
813,Palo Verde Union Elementary,67.29,"$11,515","$40,658"
848,Palos Verdes Peninsula Unified,89.27,"$12,484","$151,740"
337,Panama-Buena Vista Union,23.69,"$11,864","$71,198"
916,Panoche Elementary,279.12,"$63,667","$36,250"
681,Paradise Unified,49.16,"$12,089","$51,214"
372,Paramount Unified,25.66,"$13,949","$59,304"
751,Parlier Unified,56.01,"$14,179","$35,680"
191,Pasadena Unified,12.96,"$14,190","$86,695"
377,Paso Robles Joint Unified,26.04,"$12,352","$67,018"
207,Patterson Joint Unified,14.39,"$13,614","$69,330"
94,Peninsula Union,6.62,"$20,229","$41,985"
547,Penn Valley Union Elementary,38.66,"$11,570","$61,581"
556,Perris Elementary,39.08,"$13,221","$53,010"
564,Perris Union High,39.82,"$13,112","$53,010"
911,Piedmont City Unified,222.24,"$17,680","$224,205"
586,Pierce Joint Unified,41.82,"$11,147","$61,359"
855,Pine Ridge Elementary,93.83,"$25,874","$88,125"
517,Piner-Olivet Union Elementary,36.23,"$15,122","$99,269"
774,Pioneer Union Elementary - Berry Creek,59.3,"$13,972","$34,279"
565,Pioneer Union Elementary - Somerset,39.93,"$12,265","$57,169"
274,Pittsburg Unified,19.4,"$13,431","$66,535"
667,Pixley Union Elementary,48.07,"$15,740","$33,750"
202,Placentia-Yorba Linda Unified,13.79,"$11,385","$101,349"
82,Placer Hills Union Elementary,5.95,"$10,567","$90,825"
52,Placer Union High,3.76,"$12,944","$80,554"
596,Placerville Union Elementary,42.43,"$10,953","$61,880"
821,Plainsburg Union Elementary,68.73,"$11,045","$41,944"
671,Planada Elementary,48.48,"$14,174","$41,285"
765,Plaza Elementary,58.31,"$8,729","$61,250"
546,Pleasant Grove Joint Union,38.24,"$10,731","$66,094"
301,Pleasant Ridge Union Elementary,21.54,"$11,061","$76,804"
43,Pleasant Valley,3.11,"$10,729","$96,721"
535,Pleasant Valley Joint Union Elementary,37.23,"$19,074","$80,238"
762,Pleasant View Elementary,58.01,"$14,270","$33,750"
854,Pleasanton Unified,92.66,"$12,065","$156,342"
155,Plumas Lake Elementary,10.68,"$10,599","$102,979"
276,Plumas Unified,19.63,"$15,511","$55,955"
185,Pollock Pines Elementary,12.67,"$12,522","$76,066"
159,Pomona Unified,10.84,"$15,089","$64,578"
692,Pond Union Elementary,49.76,"$15,015","$36,125"
858,Pope Valley Union Elementary,95.82,"$32,340","$57,250"
744,Porterville Unified,55.27,"$13,584","$39,205"
918,Portola Valley Elementary,312.91,"$27,751","$240,956"
84,Potter Valley Community Unified,6.11,"$17,008","$58,478"
583,Poway Unified,41.41,"$12,266","$117,394"
39,Princeton Joint Unified,2.84,"$17,143","$64,432"
126,Ramona City Unified,9.03,"$11,309","$98,201"
897,Rancho Santa Fe Elementary,161.67,"$22,025","$157,617"
778,Ravendale-Termo Elementary,60.29,"$31,778","$33,750"
215,Ravenswood City Elementary,15.22,"$18,622","$66,201"
396,Raymond-Knowles Union Elementary,27.62,"$14,395","$55,625"
637,Red Bluff Joint Union High,45.64,"$14,141","$43,553"
785,Red Bluff Union Elementary,61.26,"$12,455","$40,419"
618,Redding Elementary,43.93,"$12,853","$51,265"
223,Redlands Unified,15.89,"$11,919","$76,699"
398,Redondo Beach Unified,28.28,"$11,081","$113,596"
666,Redwood City Elementary,48.02,"$14,232","$112,451"
890,Reed Union Elementary,135.91,"$17,357","$161,892"
696,Reeds Creek Elementary,50.17,"$10,047","$60,682"
682,Reef-Sunset Unified,49.21,"$13,896","$42,136"
351,Rescue Union Elementary,24.46,"$10,836","$111,996"
319,Rialto Unified,22.65,"$14,090","$60,828"
816,Richfield Elementary,67.55,"$10,484","$45,625"
726,Richgrove Elementary,53.81,"$17,168","$22,356"
522,Richland Union Elementary,36.53,"$15,082","$45,592"
251,Richmond Elementary,18.18,"$9,358","$87,813"
525,Rim Of The World Unified,36.64,"$11,977","$61,039"
148,Rincon Valley Union Elementary,10.42,"$13,945","$86,045"
106,Rio Bravo-Greeley Union Elementary,7.5,"$10,043","$103,403"
754,Rio Dell Elementary,56.36,"$12,889","$41,875"
2,Rio Elementary,0.09,"$12,410","$85,938"
230,Ripon Unified,16.34,"$10,147","$85,233"
344,River Delta Joint Unified,24.19,"$13,088","$64,701"
326,Riverbank Unified,23.02,"$14,467","$58,671"
533,Riverdale Joint Unified,37.01,"$14,576","$47,768"
168,Riverside Unified,11.41,"$13,303","$73,093"
593,Roberts Ferry Union Elementary,42.03,"$13,068","$51,591"
260,Robla Elementary,18.7,"$15,105","$58,676"
822,Rockford Elementary,69.32,"$11,640","$38,529"
174,Rocklin Unified,11.71,"$11,360","$99,933"
376,Romoland Elementary,25.86,"$11,805","$69,886"
116,Rosedale Union Elementary,8.29,"$10,852","$99,938"
634,Roseland,45.44,"$24,306","$60,140"
208,Rosemead Elementary,14.46,"$14,367","$65,509"
56,Roseville City Elementary,3.95,"$11,431","$87,984"
139,Roseville Joint Union High,9.79,"$12,476","$92,924"
914,Ross Elementary,269.47,"$21,906","$238,036"
738,Ross Valley Elementary,55.2,"$13,256","$122,651"
18,Round Valley Joint Elementary,1.56,"$12,307","$87,679"
67,Round Valley Unified,4.68,"$21,257","$38,279"
64,Rowland Unified,4.33,"$13,586","$76,914"
285,Sacramento City Unified,20.35,"$14,667","$59,648"
217,Saddleback Valley Unified,15.39,"$11,797","$100,470"
878,Saint Helena Unified,114.47,"$28,073","$92,404"
134,Salida Union Elementary,9.32,"$12,999","$76,157"
457,Salinas City Elementary,31.83,"$12,690","$61,037"
349,Salinas Union High,24.34,"$12,953","$65,268"
198,San Antonio Union Elementary,13.52,"$17,092","$52,569"
27,San Benito High,2,"$12,664","$86,216"
436,San Bernardino City Unified,30.7,"$15,714","$46,743"
527,San Bruno Park Elementary,36.73,"$12,992","$110,290"
893,San Carlos Elementary,142.62,"$14,466","$181,324"
15,San Diego Unified,1.01,"$14,457","$75,020"
796,San Dieguito Union High,63.35,"$11,865","$135,646"
818,San Francisco Unified,68.26,"$17,228","$112,449"
193,San Gabriel Unified,13.16,"$13,559","$70,511"
608,San Jacinto Unified,43.23,"$13,377","$49,159"
445,San Jose Unified,30.93,"$12,414","$108,893"
365,San Juan Unified,25.22,"$13,148","$63,640"
97,San Leandro Unified,6.72,"$12,979","$78,181"
5,San Lorenzo Unified,0.31,"$13,748","$79,082"
98,San Lorenzo Valley Unified,6.77,"$11,012","$98,013"
279,San Lucas Union Elementary,19.82,"$15,356","$56,591"
295,San Luis Coastal Unified,20.9,"$13,356","$65,800"
61,San Marcos Unified,4.26,"$11,775","$86,027"
869,San Marino Unified,108.59,"$14,406","$156,429"
865,San Mateo Union High,107.2,"$19,357","$130,632"
823,San Mateo-Foster City,69.49,"$12,968","$134,671"
405,San Miguel Joint Union,28.61,"$11,782","$67,962"
771,San Pasqual Union Elementary,58.68,"$11,627","$133,375"
182,San Pasqual Valley Unified,12.53,"$23,300","$22,250"
183,San Rafael City Elementary,12.6,"$13,385","$90,462"
454,San Rafael City High,31.7,"$14,820","$97,421"
870,San Ramon Valley Unified,108.78,"$11,378","$171,717"
248,San Ysidro Elementary,17.72,"$15,000","$59,926"
308,Sanger Unified,21.93,"$12,337","$70,134"
122,Santa Ana Unified,8.8,"$14,679","$68,140"
70,Santa Barbara Unified,4.81,"$13,495","$77,021"
154,Santa Clara Elementary,10.67,"$11,068","$100,625"
864,Santa Clara Unified,105.7,"$19,279","$129,906"
649,Santa Cruz City High,46.82,$287,"$111,992"
247,Santa Maria Joint Union High,17.71,"$13,174","$69,070"
297,Santa Maria-Bonita,21.21,"$13,843","$63,134"
677,Santa Monica-Malibu Unified,48.97,"$16,566","$101,476"
362,Santa Paula Unified,25.05,"$14,021","$59,397"
496,Santa Rita Union Elementary,34.13,"$10,775","$68,918"
237,Santa Ynez Valley Union High,16.91,"$13,573","$92,708"
89,Santee,6.38,"$11,103","$87,821"
908,Saratoga Union Elementary,197.94,"$19,764","$195,784"
360,Saucelito Elementary,24.87,"$16,051","$49,375"
490,Saugus Union,33.73,"$11,447","$115,801"
913,Sausalito Marin City,254.86,"$47,176","$100,792"
275,Savanna Elementary,19.5,"$12,462","$71,306"
723,Scotia Union Elementary,53.5,"$14,188","$37,500"
423,Scott Valley Unified,29.7,"$14,705","$52,536"
407,Scotts Valley Unified,28.71,"$10,448","$117,083"
373,Sebastopol Union Elementary,25.72,"$17,013","$82,027"
622,Seeley Union Elementary,44.23,"$14,477","$42,917"
232,Seiad Elementary,16.42,"$22,444","$47,969"
644,Selma Unified,46.32,"$14,374","$41,884"
829,Semitropic Elementary,72.44,"$12,383","$32,500"
529,Sequoia Union Elementary,36.76,"$10,145","$70,119"
873,Sequoia Union High,112.2,"$19,367","$134,282"
648,Shaffer Union Elementary,46.76,"$11,182","$57,526"
216,Shandon Joint Unified,15.31,"$16,148","$55,972"
481,Shasta Union Elementary,33.29,"$13,974","$53,529"
526,Shasta Union High,36.66,"$12,856","$56,631"
691,Shiloh Elementary,49.68,"$11,754","$52,500"
886,Shoreline Unified,127.23,"$29,722","$93,608"
356,Sierra Sands Unified,24.73,"$12,280","$68,347"
66,Sierra Unified,4.58,"$14,484","$72,239"
395,Sierra-Plumas Joint Unified,27.34,"$15,673","$49,435"
874,Silver Fork Elementary,113.84,"$34,769","$58,438"
341,Silver Valley Unified,24.01,"$15,275","$53,898"
176,Simi Valley Unified,11.95,"$11,607","$98,876"
431,Siskiyou Union High,30.26,"$16,023","$45,524"
324,Snelling-Merced Falls Union Elementary,22.91,"$15,667","$52,750"
393,Snowline Joint Unified,27.26,"$12,695","$64,394"
882,Solana Beach Elementary,116.43,"$18,531","$141,600"
335,Soledad Unified,23.53,"$13,498","$63,142"
233,Solvang Elementary,16.65,"$9,326","$89,104"
380,Somis Union,26.36,"$13,273","$101,205"
167,Sonoma Valley Unified,11.35,"$14,357","$84,669"
792,Sonora Elementary,62.52,"$10,336","$50,089"
495,Sonora Union High,34.07,"$13,365","$56,001"
165,Soquel Union Elementary,11.24,"$11,436","$82,557"
379,Soulsbyville Elementary,26.13,"$9,512","$81,161"
453,South Bay Union,31.4,"$14,442","$52,588"
314,South Bay Union Elementary,22.22,"$12,869","$67,258"
786,South Fork Union,61.76,"$13,885","$32,894"
482,South Monterey County Joint Union High,33.31,"$13,241","$57,181"
241,South Pasadena Unified,17.16,"$11,279","$104,370"
468,South San Francisco Unified,32.51,"$13,184","$106,209"
214,South Whittier Elementary,15.16,"$14,200","$65,829"
606,Southern Humboldt Joint Unified,43.06,"$13,693","$47,706"
442,Southern Kern Unified,30.92,"$12,983","$60,247"
303,Southern Trinity Joint Unified,21.7,"$27,516","$26,500"
146,Southside Elementary,10.31,"$9,512","$108,143"
920,Spencer Valley Elementary,342.11,"$64,341","$79,519"
776,Spreckels Union Elementary,59.78,"$9,622","$144,219"
782,Springville Union Elementary,61.03,"$10,600","$49,871"
801,Standard Elementary,64.18,"$11,448","$43,297"
539,Stanislaus Union Elementary,37.48,"$11,994","$60,337"
544,Stockton Unified,37.98,"$15,106","$44,393"
752,Stone Corral Elementary,56.04,"$13,062","$41,250"
802,Stony Creek Joint Unified,64.34,"$31,129","$40,000"
794,Strathmore Union Elementary,63.05,"$13,644","$33,145"
55,Sulphur Springs Union,3.9,"$11,201","$89,165"
543,Summerville Elementary,37.92,"$11,330","$63,333"
584,Summerville Union High,41.53,"$9,016","$72,238"
635,Sundale Union Elementary,45.58,"$10,770","$60,461"
805,Sunnyside Union Elementary,65.28,"$13,443","$32,500"
856,Sunnyvale,93.87,"$15,758","$138,762"
797,Sunol Glen Unified,63.7,"$12,795","$131,250"
469,Surprise Valley Joint Unified,32.53,"$16,388","$42,019"
764,Susanville Elementary,58.2,"$10,272","$53,610"
392,Sutter Union High,27.03,"$11,227","$71,914"
271,Sweetwater Union High,19.34,"$12,831","$69,583"
370,Sylvan Union Elementary,25.58,"$11,605","$71,094"
800,Taft City,64.16,"$12,272","$39,190"
127,Taft Union High,9.03,"$23,039","$39,520"
510,Tahoe-Truckee Unified,35.42,"$18,822","$80,154"
877,Tamalpais Union High,114.04,"$19,565","$134,656"
571,Tehachapi Unified,40.44,"$10,710","$64,571"
113,Temecula Valley Unified,8.04,"$10,666","$100,688"
311,Temple City Unified,22.12,"$11,524","$74,057"
8,Templeton Unified,0.61,"$11,214","$91,541"
713,Terra Bella Union Elementary,52.41,"$14,635","$36,071"
753,Thermalito Union Elementary,56.18,"$14,142","$35,744"
439,Three Rivers Union Elementary,30.77,"$10,618","$72,188"
775,Tipton Elementary,59.44,"$13,528","$36,398"
28,Torrance Unified,2.03,"$11,194","$93,597"
36,Tracy Joint Unified,2.58,"$12,026","$89,840"
630,Traver Joint Elementary,44.98,"$13,427","$47,614"
283,Travis Unified,20.01,"$11,362","$106,068"
25,Tres Pinos Union Elementary,1.82,"$9,333","$102,750"
654,Trinidad Union Elementary,47.17,"$11,448","$55,893"
491,Trinity Alps Unified,33.82,"$15,289","$46,559"
236,Trinity Center Elementary,16.8,"$24,143","$39,750"
574,Trona Joint Unified,40.51,"$28,066","$37,679"
569,Tulare City,40.28,"$12,773","$54,367"
506,Tulare Joint Union High,34.98,"$14,165","$51,324"
609,Tulelake Basin Joint Unified,43.31,"$16,216","$34,896"
540,Turlock Unified,37.52,"$12,863","$55,962"
21,Tustin Unified,1.66,"$11,031","$91,676"
156,Twain Harte,10.69,"$15,813","$76,895"
142,Twin Hills Union Elementary,9.99,"$11,000","$100,457"
12,Twin Ridges Elementary,0.85,"$19,969","$48,819"
473,Twin Rivers Unified,32.63,"$14,648","$50,649"
3,Two Rock Union,0.19,"$13,355","$81,136"
507,Ukiah Unified,35.05,"$13,764","$53,277"
850,Union Elementary,90.59,"$12,126","$154,506"
492,Union Hill Elementary,33.92,"$10,575","$70,074"
240,Upland Unified,17.12,"$12,066","$75,048"
612,Upper Lake Unified,43.49,"$13,171","$50,000"
111,Vacaville Unified,7.69,"$11,479","$84,968"
199,Val Verde Unified,13.54,"$13,534","$70,358"
382,Valle Lindo Elementary,26.39,"$13,121","$62,911"
277,Vallecito Union,19.8,"$15,430","$56,234"
269,Vallecitos Elementary,19.26,"$13,634","$65,625"
235,Vallejo City Unified,16.77,"$13,268","$69,300"
48,Valley Center-Pauma Unified,3.49,"$12,289","$89,200"
119,Valley Home Joint Elementary,8.39,"$11,440","$97,072"
188,Ventura Unified,12.82,"$12,006","$78,534"
720,Victor Elementary,53.29,"$11,626","$50,470"
489,Victor Valley Union High,33.7,"$13,948","$53,356"
827,Vineland Elementary,72.19,"$12,788","$30,665"
511,Visalia Unified,35.48,"$12,279","$60,393"
902,Vista Del Mar Union,168.71,"$29,961","$123,125"
14,Vista Unified,0.97,"$14,041","$78,566"
124,Walnut Creek Elementary,8.83,"$11,373","$97,735"
229,Walnut Valley Unified,16.19,"$11,162","$104,237"
300,Warner Unified,21.33,"$22,897","$49,333"
768,Wasco Union Elementary,58.61,"$12,982","$39,750"
795,Wasco Union High,63.09,"$12,441","$39,137"
600,Washington Colony Elementary,42.67,"$11,570","$58,611"
619,Washington Unified - Fresno,43.96,"$14,509","$42,956"
244,Washington Unified - West Sacramento,17.32,"$12,907","$70,699"
697,Washington Union Elementary,50.41,"$10,214","$134,323"
346,Waterford Unified,24.2,"$13,966","$60,304"
386,Waugh Elementary,26.75,"$10,715","$114,297"
772,Waukena Joint Union Elementary,58.85,"$12,725","$40,855"
626,Weaver Union,44.75,"$12,707","$51,382"
617,Weed Union Elementary,43.76,"$16,802","$31,633"
34,West Contra Costa Unified,2.49,"$14,231","$78,737"
239,West Covina Unified,17.01,"$14,780","$86,748"
688,West Park Elementary,49.49,"$12,661","$48,105"
11,West Side Union Elementary,0.83,"$11,556","$89,667"
54,West Sonoma County Union High,3.87,"$14,139","$80,223"
99,Western Placer Unified,6.81,"$11,111","$87,463"
450,Westminster,31.29,"$12,293","$63,422"
598,Westmorland Union Elementary,42.62,"$15,898","$37,000"
231,Westside Elementary,16.4,"$19,128","$40,250"
60,Westside Union Elementary,4.11,"$10,765","$91,196"
552,Westwood Unified,38.89,"$15,578","$41,364"
157,Wheatland,10.8,"$13,517","$72,473"
90,Wheatland Union High,6.49,"$12,833","$88,694"
578,Whitmore Union Elementary,41.12,"$25,300","$51,964"
289,Whittier City Elementary,20.57,"$12,453","$70,564"
135,Whittier Union High,9.45,"$15,862","$75,733"
305,William S. Hart Union High,21.78,"$11,989","$104,240"
343,Williams Unified,24.07,"$12,780","$66,333"
519,Willits Unified,36.31,"$14,219","$50,068"
321,Willow Creek Elementary,22.68,"$23,742","$46,111"
860,Willow Grove Union Elementary,99.14,"$25,077","$96,042"
814,Willows Unified,67.34,"$10,083","$47,785"
76,Wilmar Union Elementary,5.17,"$10,527","$91,597"
734,Wilsona Elementary,54.7,"$13,105","$42,025"
363,Windsor Unified,25.15,"$12,148","$105,938"
302,Winship-Robbins,21.63,"$16,441","$49,821"
42,Winters Joint Unified,2.93,"$12,967","$85,389"
733,Winton,54.55,"$12,348","$45,925"
427,Wiseburn Unified,30.05,"$12,098","$109,818"
625,Woodlake Unified,44.62,"$14,047","$44,776"
336,Woodland Joint Unified,23.57,"$12,383","$68,687"
919,Woodside Elementary,339.88,"$29,985","$249,750"
759,Woodville Union Elementary,57.54,"$14,889","$31,000"
143,Wright Elementary,10.14,"$14,541","$82,851"
290,Yosemite Unified,20.74,"$12,509","$70,156"
757,Yreka Union Elementary,57.24,"$12,083","$45,257"
474,Yreka Union High,32.74,"$15,302","$47,294"
472,Yuba City Unified,32.6,"$13,243","$57,703"
391,Yucaipa-Calimesa Joint Unified,26.99,"$11,758","$69,281"
