,district,students_in_grade_12_19,act_test_takers_19,act_read_19,act_eng_19,act_math_19,act_sci_19,act_comp_over_21_19,act_19_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
193,Chowchilla Union High,276.0,18.0,21.0,20.0,20.0,21.0,0.5,0.06521739130434782,40.67,12769.0,54094.0,0.006999999999999999,0.005,0.026000000000000002,0.003,0.659,0.001,0.28,0.02,0.0
194,Madera Unified,1296.0,271.0,18.0,17.0,18.0,18.0,0.24,0.20910493827160495,43.45,13001.0,50878.0,0.013000000000000001,0.005,0.012,0.002,0.9059999999999999,0.0,0.051,0.006999999999999999,0.005
195,Golden Valley Unified,172.0,17.0,23.0,24.0,22.0,22.0,0.71,0.09883720930232558,13.44,11241.0,81907.0,0.013999999999999999,0.01,0.037000000000000005,0.003,0.46399999999999997,0.0,0.441,0.025,0.004
196,Chawanakee Unified,154.0,32.0,22.0,20.0,20.0,20.0,0.53,0.2077922077922078,37.27,11561.0,62656.0,0.006,0.065,0.015,0.0,0.22899999999999998,0.001,0.603,0.055999999999999994,0.027000000000000003
197,Yosemite Unified,202.0,37.0,22.0,21.0,22.0,22.0,0.59,0.18316831683168316,20.74,12509.0,70156.0,0.005,0.033,0.02,0.003,0.21100000000000002,0.001,0.6579999999999999,0.065,0.004
199,Novato Unified,667.0,197.0,25.0,24.0,24.0,23.0,0.7,0.29535232383808097,32.56,13101.0,106657.0,0.023,0.008,0.052000000000000005,0.01,0.402,0.003,0.431,0.07,0.001
200,San Rafael City High,634.0,140.0,24.0,23.0,23.0,23.0,0.65,0.22082018927444794,31.7,14820.0,97421.0,0.013000000000000001,0.003,0.042,0.005,0.5770000000000001,0.002,0.33,0.026000000000000002,0.002
201,Tamalpais Union High,1233.0,412.0,29.0,29.0,26.0,26.0,0.91,0.33414436334144365,114.04,19565.0,134656.0,0.019,0.003,0.047,0.006,0.142,0.004,0.6990000000000001,0.043,0.037000000000000005
203,Mariposa County Unified,149.0,16.0,24.0,22.0,23.0,22.0,0.5,0.10738255033557047,41.92,13686.0,48586.0,0.005,0.039,0.009000000000000001,0.006,0.22,0.0,0.638,0.068,0.016
206,Fort Bragg Unified,119.0,24.0,25.0,24.0,22.0,23.0,0.71,0.20168067226890757,36.4,14147.0,50363.0,0.004,0.008,0.008,0.0,0.447,0.0,0.44299999999999995,0.057,0.031
210,Ukiah Unified,525.0,23.0,25.0,23.0,23.0,23.0,0.7,0.04380952380952381,35.05,13764.0,53277.0,0.006,0.051,0.009000000000000001,0.006,0.5329999999999999,0.0,0.35,0.04,0.004
215,Hilmar Unified,166.0,26.0,22.0,20.0,20.0,20.0,0.42,0.1566265060240964,33.48,12340.0,61569.0,0.003,0.006999999999999999,0.006999999999999999,0.001,0.444,0.001,0.526,0.008,0.002
216,Le Grand Union High,102.0,33.0,17.0,15.0,17.0,17.0,0.12,0.3235294117647059,36.75,15548.0,43096.0,0.004,0.002,0.0,0.002,0.94,0.0,0.045,0.002,0.006
217,Los Banos Unified,815.0,58.0,21.0,20.0,19.0,20.0,0.43,0.07116564417177915,35.68,11990.0,61691.0,0.015,0.003,0.009000000000000001,0.006999999999999999,0.8440000000000001,0.006,0.102,0.008,0.006
218,Merced Union High,2577.0,379.0,20.0,18.0,19.0,19.0,0.31,0.14707023670935196,34.48,14146.0,51793.0,0.037000000000000005,0.005,0.078,0.008,0.706,0.003,0.146,0.009000000000000001,0.008
219,Gustine Unified,155.0,28.0,20.0,19.0,17.0,19.0,0.29,0.18064516129032257,30.73,12810.0,61250.0,0.005,0.004,0.006,0.004,0.853,0.001,0.10400000000000001,0.013999999999999999,0.01
221,Delhi Unified,167.0,68.0,18.0,17.0,17.0,18.0,0.22,0.40718562874251496,27.32,13804.0,58800.0,0.001,0.002,0.025,0.001,0.9109999999999999,0.002,0.052000000000000005,0.004,0.003
222,Modoc Joint Unified,57.0,40.0,17.0,15.0,17.0,18.0,0.25,0.7017543859649122,60.77,11378.0,46169.0,0.011000000000000001,0.07200000000000001,0.006999999999999999,0.006999999999999999,0.184,0.005,0.6629999999999999,0.042,0.006999999999999999
223,Tulelake Basin Joint Unified,25.0,15.0,18.0,15.0,17.0,18.0,0.07,0.6,43.31,16216.0,34896.0,0.005,0.002,0.002,0.0,0.799,0.0,0.15,0.015,0.027000000000000003
226,Mammoth Unified,107.0,19.0,26.0,25.0,23.0,24.0,0.79,0.17757009345794392,28.89,12805.0,62639.0,0.002,0.002,0.009000000000000001,0.002,0.607,0.0,0.35600000000000004,0.022000000000000002,0.001
229,Carmel Unified,215.0,121.0,26.0,26.0,25.0,25.0,0.77,0.5627906976744186,88.29,24026.0,93269.0,0.005,0.001,0.047,0.005,0.195,0.001,0.628,0.10099999999999999,0.017
230,South Monterey County Joint Union High,557.0,88.0,18.0,17.0,17.0,17.0,0.16,0.15798922800718132,33.31,13241.0,57181.0,0.003,0.006999999999999999,0.003,0.006,0.941,0.002,0.038,0.002,0.0
231,Monterey Peninsula Unified,854.0,90.0,22.0,21.0,22.0,21.0,0.56,0.1053864168618267,17.6,12472.0,72666.0,0.055,0.005,0.046,0.045,0.614,0.022000000000000002,0.183,0.027999999999999997,0.003
232,Pacific Grove Unified,151.0,31.0,26.0,27.0,26.0,26.0,0.84,0.2052980132450331,41.87,17672.0,90683.0,0.024,0.011000000000000001,0.09300000000000001,0.022000000000000002,0.213,0.008,0.5870000000000001,0.03,0.011000000000000001
233,Salinas Union High,2683.0,516.0,19.0,18.0,19.0,19.0,0.33,0.19232202758106598,24.34,12953.0,65268.0,0.006999999999999999,0.001,0.009000000000000001,0.016,0.898,0.001,0.06,0.006,0.001
234,North Monterey County Unified,369.0,42.0,19.0,17.0,18.0,20.0,0.24,0.11382113821138211,3.83,13821.0,81786.0,0.002,0.002,0.003,0.006,0.8909999999999999,0.002,0.08900000000000001,0.004,0.002
235,Soledad Unified,403.0,69.0,18.0,16.0,17.0,18.0,0.2,0.17121588089330025,23.53,13498.0,63142.0,0.004,0.001,0.01,0.01,0.9490000000000001,0.001,0.021,0.003,0.0
236,Gonzales Unified,191.0,63.0,17.0,17.0,17.0,17.0,0.17,0.3298429319371728,15.46,14013.0,66543.0,0.002,0.004,0.0,0.004,0.9740000000000001,0.001,0.013000000000000001,0.002,0.0
239,Napa Valley Unified,1513.0,168.0,22.0,22.0,22.0,22.0,0.63,0.11103767349636484,3.2,12313.0,88859.0,0.021,0.002,0.024,0.068,0.564,0.002,0.27399999999999997,0.043,0.001
240,Saint Helena Unified,121.0,28.0,25.0,26.0,22.0,23.0,0.86,0.23140495867768596,114.47,28073.0,92404.0,0.004,0.003,0.011000000000000001,0.002,0.53,0.0,0.43700000000000006,0.013000000000000001,0.0
242,Nevada Joint Union High,700.0,63.0,25.0,24.0,25.0,24.0,0.76,0.09,11.64,15562.0,61621.0,0.009000000000000001,0.013999999999999999,0.011000000000000001,0.003,0.139,0.0,0.75,0.071,0.003
244,Anaheim Union High,5479.0,458.0,23.0,22.0,22.0,22.0,0.56,0.08359189633144734,14.19,13449.0,70303.0,0.021,0.001,0.135,0.040999999999999995,0.688,0.004,0.087,0.018000000000000002,0.003
245,Brea-Olinda Unified,506.0,121.0,26.0,26.0,26.0,26.0,0.9,0.2391304347826087,2.23,10352.0,94654.0,0.015,0.001,0.247,0.034,0.382,0.003,0.27699999999999997,0.04,0.002
246,Capistrano Unified,4805.0,1455.0,26.0,26.0,26.0,25.0,0.85,0.3028095733610822,28.42,10665.0,115783.0,0.013999999999999999,0.002,0.066,0.019,0.27399999999999997,0.001,0.524,0.076,0.024
247,Fullerton Joint Union High,3550.0,519.0,26.0,26.0,26.0,25.0,0.81,0.14619718309859156,8.97,12063.0,81100.0,0.018000000000000002,0.002,0.185,0.035,0.584,0.003,0.135,0.037000000000000005,0.001
248,Garden Grove Unified,3627.0,615.0,22.0,22.0,22.0,21.0,0.57,0.1695616211745244,15.49,13564.0,68762.0,0.006,0.001,0.354,0.011000000000000001,0.53,0.004,0.067,0.015,0.012
249,Huntington Beach Union High,4150.0,584.0,25.0,25.0,25.0,24.0,0.79,0.14072289156626505,5.65,12816.0,88159.0,0.009000000000000001,0.003,0.28,0.013000000000000001,0.289,0.004,0.349,0.045,0.008
250,Laguna Beach Unified,295.0,165.0,26.0,27.0,26.0,26.0,0.9,0.559322033898305,115.79,20919.0,129175.0,0.009000000000000001,0.002,0.049,0.01,0.12,0.0,0.715,0.08199999999999999,0.013999999999999999
251,Newport-Mesa Unified,1817.0,628.0,26.0,26.0,25.0,25.0,0.77,0.3456246560264172,39.11,15125.0,101383.0,0.008,0.001,0.048,0.008,0.46299999999999997,0.005,0.41200000000000003,0.05,0.005
252,Orange Unified,2261.0,255.0,25.0,25.0,24.0,24.0,0.77,0.11278195488721804,11.98,11918.0,97336.0,0.013000000000000001,0.002,0.099,0.019,0.5660000000000001,0.003,0.255,0.032,0.011000000000000001
253,Placentia-Yorba Linda Unified,2162.0,436.0,24.0,23.0,24.0,23.0,0.68,0.20166512488436633,13.79,11385.0,101349.0,0.012,0.002,0.172,0.024,0.442,0.002,0.307,0.039,0.0
254,Santa Ana Unified,4128.0,1162.0,20.0,19.0,20.0,19.0,0.35,0.2814922480620155,8.8,14679.0,68140.0,0.002,0.003,0.02,0.002,0.9590000000000001,0.002,0.009000000000000001,0.003,0.001
255,Saddleback Valley Unified,2410.0,479.0,25.0,25.0,25.0,25.0,0.78,0.1987551867219917,15.39,11797.0,100470.0,0.012,0.001,0.087,0.035,0.373,0.002,0.40399999999999997,0.07400000000000001,0.012
256,Tustin Unified,1992.0,544.0,25.0,25.0,25.0,24.0,0.74,0.27309236947791166,1.66,11031.0,91676.0,0.016,0.001,0.207,0.023,0.466,0.003,0.22899999999999998,0.05,0.005
257,Irvine Unified,2552.0,780.0,28.0,29.0,29.0,28.0,0.92,0.3056426332288401,21.74,11451.0,106905.0,0.019,0.001,0.48100000000000004,0.027999999999999997,0.11699999999999999,0.002,0.256,0.09,0.005
258,Los Alamitos Unified,759.0,262.0,26.0,27.0,26.0,25.0,0.82,0.3451910408432148,4.91,11866.0,85092.0,0.025,0.001,0.14,0.027999999999999997,0.27699999999999997,0.006999999999999999,0.43,0.08800000000000001,0.005
262,Placer Union High,1002.0,213.0,24.0,23.0,24.0,24.0,0.71,0.2125748502994012,3.76,12944.0,80554.0,0.006999999999999999,0.008,0.013999999999999999,0.006,0.15,0.001,0.7509999999999999,0.049,0.013000000000000001
263,Roseville Joint Union High,2555.0,611.0,25.0,24.0,24.0,24.0,0.78,0.2391389432485323,9.79,12476.0,92924.0,0.035,0.006999999999999999,0.095,0.039,0.201,0.006,0.555,0.046,0.016
264,Tahoe-Truckee Unified,303.0,78.0,26.0,25.0,25.0,25.0,0.85,0.25742574257425743,35.42,18822.0,80154.0,0.003,0.002,0.005,0.0,0.36,0.001,0.585,0.036000000000000004,0.006999999999999999
265,Western Placer Unified,745.0,65.0,24.0,23.0,21.0,23.0,0.63,0.087248322147651,6.81,11111.0,87463.0,0.022000000000000002,0.006999999999999999,0.025,0.021,0.275,0.005,0.578,0.052000000000000005,0.013000000000000001
266,Rocklin Unified,1171.0,311.0,25.0,25.0,24.0,24.0,0.8,0.2655849701110162,11.71,11360.0,99933.0,0.015,0.003,0.102,0.035,0.16699999999999998,0.003,0.5770000000000001,0.083,0.015
269,Alvord Unified,1517.0,141.0,19.0,18.0,19.0,19.0,0.31,0.09294660514172709,11.26,13771.0,70862.0,0.038,0.002,0.037000000000000005,0.015,0.8,0.005,0.087,0.013999999999999999,0.002
270,Banning Unified,358.0,51.0,18.0,17.0,18.0,18.0,0.25,0.1424581005586592,48.09,13707.0,43906.0,0.073,0.026000000000000002,0.040999999999999995,0.01,0.711,0.001,0.109,0.027999999999999997,0.0
271,Beaumont Unified,735.0,48.0,22.0,20.0,20.0,21.0,0.48,0.0653061224489796,18.8,11807.0,75103.0,0.055999999999999994,0.005,0.024,0.023,0.513,0.002,0.317,0.051,0.009000000000000001
272,Corona-Norco Unified,4488.0,757.0,22.0,21.0,21.0,21.0,0.54,0.16867201426024955,6.54,11658.0,94613.0,0.057999999999999996,0.003,0.113,0.032,0.536,0.004,0.225,0.021,0.006999999999999999
273,Desert Sands Unified,2493.0,226.0,22.0,21.0,20.0,21.0,0.48,0.09065383072603289,31.78,13157.0,58738.0,0.015,0.002,0.02,0.006999999999999999,0.746,0.001,0.171,0.02,0.019
274,Hemet Unified,1858.0,142.0,21.0,19.0,19.0,20.0,0.44,0.07642626480086114,37.2,14843.0,46293.0,0.086,0.008,0.01,0.009000000000000001,0.632,0.003,0.21100000000000002,0.040999999999999995,0.0
275,Jurupa Unified,1486.0,210.0,19.0,18.0,18.0,19.0,0.27,0.14131897711978467,18.66,12873.0,69873.0,0.02,0.001,0.013000000000000001,0.005,0.865,0.002,0.073,0.008,0.012
276,Menifee Union Elementary,113.0,18.0,24.0,24.0,23.0,23.0,0.72,0.1592920353982301,30.93,10434.0,72993.0,0.059000000000000004,0.002,0.021,0.038,0.47,0.005,0.32799999999999996,0.066,0.011000000000000001
277,Moreno Valley Unified,2481.0,227.0,20.0,19.0,19.0,19.0,0.32,0.09149536477226924,18.89,14013.0,64003.0,0.13,0.002,0.013999999999999999,0.012,0.738,0.006999999999999999,0.063,0.03,0.005
279,Palm Springs Unified,1777.0,232.0,19.0,18.0,18.0,19.0,0.27,0.1305571187394485,34.32,14904.0,48120.0,0.045,0.005,0.008,0.019,0.799,0.001,0.099,0.025,0.0
281,Perris Union High,2224.0,383.0,19.0,18.0,18.0,18.0,0.28,0.17221223021582735,39.82,13112.0,53010.0,0.053,0.002,0.013000000000000001,0.024,0.7120000000000001,0.004,0.147,0.044000000000000004,0.001
282,Riverside Unified,3434.0,583.0,21.0,20.0,21.0,21.0,0.47,0.16977285963890507,11.41,13303.0,73093.0,0.062,0.003,0.035,0.012,0.659,0.003,0.191,0.021,0.013000000000000001
283,San Jacinto Unified,859.0,34.0,19.0,19.0,18.0,18.0,0.24,0.03958090803259604,43.23,13377.0,49159.0,0.079,0.016,0.009000000000000001,0.008,0.738,0.006,0.115,0.027000000000000003,0.001
284,Coachella Valley Unified,1244.0,204.0,18.0,16.0,18.0,18.0,0.18,0.1639871382636656,50.09,14846.0,36729.0,0.002,0.005,0.001,0.0,0.9790000000000001,0.0,0.01,0.002,0.002
285,Lake Elsinore Unified,1608.0,169.0,20.0,19.0,19.0,20.0,0.4,0.10509950248756218,12.08,13176.0,73231.0,0.039,0.003,0.018000000000000002,0.015,0.633,0.003,0.239,0.047,0.003
286,Temecula Valley Unified,2453.0,629.0,23.0,23.0,22.0,23.0,0.66,0.25642070933550754,8.04,10666.0,100688.0,0.035,0.006999999999999999,0.046,0.051,0.353,0.003,0.405,0.099,0.001
287,Murrieta Valley Unified,2168.0,459.0,23.0,22.0,22.0,22.0,0.63,0.21171586715867158,4.33,11338.0,94577.0,0.054000000000000006,0.003,0.040999999999999995,0.037000000000000005,0.39899999999999997,0.006,0.369,0.081,0.01
288,Val Verde Unified,1641.0,41.0,20.0,19.0,19.0,19.0,0.34,0.024984765386959172,13.54,13534.0,70358.0,0.11699999999999999,0.003,0.015,0.012,0.784,0.002,0.042,0.018000000000000002,0.006
290,Elk Grove Unified,5228.0,919.0,23.0,22.0,23.0,22.0,0.62,0.17578423871461363,7.49,12557.0,79728.0,0.109,0.004,0.265,0.059000000000000004,0.276,0.018000000000000002,0.175,0.09300000000000001,0.0
291,Folsom-Cordova Unified,1617.0,259.0,27.0,26.0,26.0,26.0,0.85,0.16017316017316016,1.13,11775.0,88346.0,0.047,0.003,0.183,0.023,0.22699999999999998,0.008,0.41600000000000004,0.092,0.002
292,Galt Joint Union High,567.0,58.0,21.0,20.0,21.0,20.0,0.5,0.10229276895943562,2.08,14169.0,75670.0,0.013999999999999999,0.0,0.021,0.004,0.57,0.001,0.33399999999999996,0.046,0.008
293,River Delta Joint Unified,173.0,27.0,20.0,19.0,19.0,19.0,0.37,0.15606936416184972,24.19,13088.0,64701.0,0.025,0.003,0.006,0.008,0.53,0.004,0.342,0.055,0.027000000000000003
295,Sacramento City Unified,3244.0,468.0,21.0,20.0,20.0,20.0,0.42,0.1442663378545006,20.35,14667.0,59648.0,0.139,0.005,0.17,0.013999999999999999,0.41,0.02,0.16399999999999998,0.07400000000000001,0.004
296,San Juan Unified,4487.0,456.0,24.0,23.0,23.0,23.0,0.65,0.10162692221974594,25.22,13148.0,63640.0,0.07,0.006,0.078,0.01,0.254,0.006,0.49700000000000005,0.07200000000000001,0.006
298,Natomas Unified,1130.0,772.0,17.0,16.0,17.0,17.0,0.21,0.6831858407079646,9.3,12033.0,81010.0,0.163,0.005,0.17600000000000002,0.047,0.32,0.017,0.16,0.11,0.002
299,Twin Rivers Unified,2234.0,91.0,20.0,18.0,19.0,19.0,0.38,0.04073410922112802,32.63,14648.0,50649.0,0.11900000000000001,0.006999999999999999,0.11,0.009000000000000001,0.41600000000000004,0.013999999999999999,0.262,0.045,0.018000000000000002
300,San Benito High,807.0,118.0,21.0,20.0,21.0,21.0,0.44,0.14622057001239158,2.0,12664.0,86216.0,0.005,0.003,0.013000000000000001,0.013000000000000001,0.755,0.001,0.17600000000000002,0.016,0.017
304,Barstow Unified,394.0,26.0,18.0,17.0,19.0,19.0,0.31,0.06598984771573604,55.26,12804.0,43117.0,0.196,0.006999999999999999,0.006,0.005,0.5379999999999999,0.012,0.18,0.055,0.0
306,Chaffey Joint Union High,6046.0,796.0,21.0,20.0,21.0,21.0,0.46,0.13165729407872973,6.2,13298.0,76972.0,0.07400000000000001,0.004,0.068,0.021,0.647,0.005,0.153,0.024,0.004
307,Chino Valley Unified,2434.0,250.0,25.0,24.0,24.0,24.0,0.73,0.10271158586688578,0.05,10931.0,93442.0,0.037000000000000005,0.002,0.184,0.048,0.5579999999999999,0.003,0.13699999999999998,0.026000000000000002,0.006
308,Colton Joint Unified,1621.0,126.0,19.0,19.0,19.0,20.0,0.37,0.07772979642196175,31.33,12720.0,61254.0,0.052000000000000005,0.001,0.013999999999999999,0.006999999999999999,0.865,0.002,0.05,0.009000000000000001,0.0
309,Fontana Unified,2941.0,2562.0,16.0,14.0,16.0,16.0,0.11,0.8711322679360761,12.93,15045.0,63253.0,0.049,0.001,0.015,0.011000000000000001,0.8740000000000001,0.002,0.038,0.011000000000000001,0.0
311,Morongo Unified,565.0,16.0,25.0,24.0,25.0,23.0,0.81,0.02831858407079646,54.3,13105.0,42323.0,0.085,0.01,0.017,0.02,0.35,0.012,0.5,0.0,0.006999999999999999
313,Oro Grande,647.0,17.0,18.0,18.0,17.0,19.0,0.29,0.02627511591962906,68.37,13285.0,31000.0,0.12,0.009000000000000001,0.005,0.003,0.596,0.004,0.20600000000000002,0.051,0.006
314,Redlands Unified,1842.0,174.0,24.0,24.0,24.0,23.0,0.69,0.09446254071661238,15.89,11919.0,76699.0,0.062,0.003,0.084,0.025,0.519,0.004,0.252,0.048,0.003
315,Rialto Unified,1973.0,190.0,19.0,18.0,19.0,19.0,0.31,0.0963000506842372,22.65,14090.0,60828.0,0.083,0.002,0.006,0.004,0.861,0.004,0.027999999999999997,0.012,0.0
317,San Bernardino City Unified,3558.0,480.0,19.0,17.0,18.0,19.0,0.26,0.13490725126475547,30.7,15714.0,46743.0,0.11,0.003,0.013000000000000001,0.004,0.7929999999999999,0.004,0.048,0.016,0.01
319,Victor Valley Union High,1911.0,200.0,20.0,18.0,19.0,19.0,0.32,0.10465724751439037,33.7,13948.0,53356.0,0.16699999999999998,0.004,0.017,0.01,0.677,0.006,0.07400000000000001,0.035,0.01
320,Yucaipa-Calimesa Joint Unified,739.0,61.0,24.0,22.0,22.0,22.0,0.66,0.08254397834912043,26.99,11758.0,69281.0,0.015,0.004,0.013999999999999999,0.006,0.45399999999999996,0.002,0.488,0.016,0.002
322,Snowline Joint Unified,560.0,57.0,22.0,21.0,23.0,22.0,0.6,0.10178571428571428,27.26,12695.0,64394.0,0.047,0.005,0.011000000000000001,0.004,0.528,0.002,0.317,0.013000000000000001,0.073
323,Hesperia Unified,1986.0,255.0,20.0,18.0,19.0,19.0,0.36,0.1283987915407855,38.91,12694.0,55778.0,0.07200000000000001,0.003,0.01,0.004,0.703,0.003,0.18899999999999997,0.015,0.001
325,Upland Unified,867.0,62.0,21.0,21.0,21.0,21.0,0.48,0.07151095732410612,17.12,12066.0,75048.0,0.076,0.001,0.054000000000000006,0.017,0.585,0.004,0.225,0.021,0.017
326,Apple Valley Unified,1086.0,82.0,23.0,22.0,20.0,21.0,0.51,0.07550644567219153,55.27,10396.0,55159.0,0.077,0.005,0.019,0.005,0.511,0.005,0.34700000000000003,0.032,0.0
329,Chula Vista Elementary,228.0,21.0,20.0,20.0,18.0,19.0,0.29,0.09210526315789473,16.09,10900.0,81646.0,0.037000000000000005,0.002,0.024,0.092,0.7040000000000001,0.003,0.096,0.037000000000000005,0.005
330,Coronado Unified,294.0,128.0,26.0,25.0,25.0,25.0,0.78,0.43537414965986393,41.4,13948.0,108967.0,0.01,0.003,0.013999999999999999,0.018000000000000002,0.22699999999999998,0.005,0.581,0.08199999999999999,0.06
331,Dehesa Elementary,469.0,18.0,21.0,21.0,20.0,20.0,0.33,0.03837953091684435,135.2,28138.0,107429.0,0.03,0.006,0.048,0.01,0.27899999999999997,0.003,0.516,0.083,0.025
332,Escondido Union High,2532.0,497.0,21.0,20.0,21.0,21.0,0.46,0.19628751974723538,6.72,14895.0,68598.0,0.016,0.003,0.027999999999999997,0.019,0.659,0.001,0.242,0.023,0.009000000000000001
333,Fallbrook Union High,557.0,42.0,23.0,22.0,22.0,21.0,0.62,0.07540394973070018,6.36,14957.0,68553.0,0.013000000000000001,0.002,0.011000000000000001,0.006,0.6779999999999999,0.003,0.255,0.023,0.009000000000000001
334,Grossmont Union High,5541.0,940.0,22.0,21.0,22.0,22.0,0.6,0.16964446850748963,4.98,14539.0,71670.0,0.062,0.008,0.023,0.017,0.402,0.006999999999999999,0.423,0.054000000000000006,0.004
338,Mountain Empire Unified,342.0,20.0,25.0,21.0,21.0,23.0,0.6,0.05847953216374269,21.28,14510.0,59746.0,0.025,0.025,0.013000000000000001,0.005,0.494,0.002,0.368,0.059000000000000004,0.009000000000000001
339,Poway Unified,2918.0,941.0,27.0,26.0,26.0,25.0,0.82,0.32248115147361206,41.41,12266.0,117394.0,0.017,0.001,0.22699999999999998,0.059000000000000004,0.17300000000000001,0.002,0.406,0.113,0.001
340,Ramona City Unified,476.0,81.0,23.0,22.0,23.0,23.0,0.67,0.17016806722689076,9.03,11309.0,98201.0,0.006999999999999999,0.005,0.005,0.003,0.41,0.002,0.508,0.059000000000000004,0.0
341,San Diego Unified,9418.0,1944.0,23.0,22.0,22.0,22.0,0.56,0.20641325122106605,1.01,14457.0,75020.0,0.077,0.003,0.087,0.046,0.467,0.004,0.225,0.08,0.012
342,San Dieguito Union High,2334.0,1234.0,28.0,28.0,27.0,27.0,0.9,0.5287060839760068,63.35,11865.0,135646.0,0.006999999999999999,0.002,0.174,0.008,0.157,0.001,0.584,0.066,0.001
344,Sweetwater Union High,7934.0,952.0,21.0,20.0,20.0,21.0,0.46,0.11998991681371313,19.34,12831.0,69583.0,0.03,0.004,0.018000000000000002,0.087,0.7090000000000001,0.004,0.10400000000000001,0.04,0.005
345,Vista Unified,2363.0,231.0,25.0,23.0,24.0,23.0,0.71,0.09775708844688955,0.97,14041.0,78566.0,0.022000000000000002,0.003,0.02,0.013999999999999999,0.655,0.006,0.225,0.055,0.001
346,Carlsbad Unified,913.0,258.0,25.0,25.0,25.0,25.0,0.79,0.28258488499452356,10.93,11270.0,99805.0,0.01,0.003,0.057999999999999996,0.008,0.276,0.002,0.5539999999999999,0.09,0.0
347,Oceanside Unified,1628.0,207.0,21.0,20.0,21.0,20.0,0.48,0.12714987714987716,23.89,13154.0,64597.0,0.039,0.003,0.017,0.024,0.564,0.017,0.254,0.07,0.013000000000000001
348,San Marcos Unified,1534.0,422.0,24.0,23.0,22.0,23.0,0.63,0.27509778357235987,4.26,11775.0,86027.0,0.001,0.016,0.055,0.023,0.45899999999999996,0.004,0.39299999999999996,0.049,0.0
350,Valley Center-Pauma Unified,314.0,50.0,22.0,21.0,21.0,22.0,0.5,0.1592356687898089,3.49,12289.0,89200.0,0.005,0.08800000000000001,0.009000000000000001,0.003,0.595,0.0,0.243,0.046,0.01
357,San Francisco Unified,4399.0,1077.0,22.0,21.0,22.0,21.0,0.52,0.24482837008411001,68.26,17228.0,112449.0,0.07400000000000001,0.003,0.298,0.038,0.319,0.008,0.14400000000000002,0.064,0.051
359,Escalon Unified,201.0,16.0,21.0,19.0,21.0,22.0,0.62,0.07960199004975124,31.86,10769.0,70625.0,0.006,0.002,0.012,0.004,0.478,0.001,0.469,0.02,0.006999999999999999
360,Lincoln Unified,721.0,59.0,23.0,22.0,23.0,23.0,0.73,0.08183079056865465,30.93,11860.0,65858.0,0.113,0.004,0.099,0.03,0.503,0.008,0.191,0.049,0.002
361,Linden Unified,177.0,33.0,22.0,21.0,20.0,21.0,0.39,0.1864406779661017,24.39,12259.0,68706.0,0.004,0.011000000000000001,0.015,0.003,0.639,0.005,0.309,0.013000000000000001,0.0
362,Lodi Unified,2471.0,474.0,22.0,21.0,22.0,22.0,0.55,0.19182517199514368,22.05,12898.0,67240.0,0.067,0.004,0.18,0.035,0.465,0.006999999999999999,0.187,0.03,0.024
363,Manteca Unified,1925.0,124.0,22.0,22.0,22.0,21.0,0.59,0.06441558441558441,18.79,12178.0,73257.0,0.059000000000000004,0.004,0.09699999999999999,0.052000000000000005,0.5710000000000001,0.01,0.168,0.038,0.0
365,Ripon Unified,405.0,46.0,26.0,24.0,23.0,24.0,0.8,0.11358024691358025,16.34,10147.0,85233.0,0.027999999999999997,0.003,0.051,0.02,0.344,0.003,0.457,0.091,0.004
366,Stockton Unified,2734.0,354.0,19.0,18.0,19.0,18.0,0.33,0.12948061448427212,37.98,15106.0,44393.0,0.1,0.01,0.087,0.036000000000000004,0.68,0.005,0.047,0.034,0.001
367,Tracy Joint Unified,1515.0,160.0,22.0,21.0,21.0,22.0,0.52,0.10561056105610561,2.58,12026.0,89840.0,0.055,0.003,0.124,0.054000000000000006,0.5329999999999999,0.012,0.174,0.045,0.0
370,Atascadero Unified,355.0,35.0,26.0,25.0,25.0,25.0,0.77,0.09859154929577464,14.5,11288.0,80884.0,0.012,0.008,0.01,0.011000000000000001,0.284,0.001,0.629,0.035,0.01
371,Lucia Mar Unified,865.0,194.0,23.0,22.0,22.0,22.0,0.62,0.22427745664739884,14.01,11770.0,78837.0,0.006,0.004,0.013999999999999999,0.011000000000000001,0.47700000000000004,0.001,0.435,0.042,0.01
372,San Luis Coastal Unified,591.0,174.0,26.0,25.0,25.0,24.0,0.8,0.29441624365482233,20.9,13356.0,65800.0,0.006999999999999999,0.003,0.033,0.019,0.294,0.002,0.583,0.057,0.001
374,Templeton Unified,203.0,69.0,24.0,24.0,22.0,23.0,0.72,0.3399014778325123,0.61,11214.0,91541.0,0.002,0.004,0.012,0.001,0.24,0.001,0.652,0.083,0.006
375,Paso Robles Joint Unified,578.0,89.0,23.0,22.0,22.0,22.0,0.6,0.15397923875432526,26.04,12352.0,67018.0,0.012,0.003,0.006,0.002,0.561,0.001,0.379,0.025,0.012
378,Cabrillo Unified,251.0,65.0,27.0,26.0,25.0,25.0,0.77,0.2589641434262948,67.45,12773.0,134138.0,0.003,0.0,0.013000000000000001,0.009000000000000001,0.522,0.001,0.401,0.05,0.0
