,district,students_in_grade_12_19,act_test_takers_19,act_read_19,act_eng_19,act_math_19,act_sci_19,act_comp_over_21_19,act_19_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
43,West Contra Costa Unified,2520.0,475.0,19.0,18.0,18.0,18.0,0.27,0.1884920634920635,2.49,14231.0,78737.0,0.134,0.002,0.1,0.048,0.562,0.005,0.10099999999999999,0.047,0.002
44,San Ramon Valley Unified,2652.0,1077.0,28.0,28.0,27.0,27.0,0.9,0.4061085972850679,108.78,11378.0,171717.0,0.017,0.003,0.40299999999999997,0.037000000000000005,0.08900000000000001,0.002,0.364,0.084,0.0
49,El Dorado Union High,1609.0,403.0,25.0,25.0,25.0,24.0,0.8,0.2504661280298322,5.97,12260.0,91182.0,0.01,0.009000000000000001,0.053,0.013999999999999999,0.17600000000000002,0.003,0.6759999999999999,0.055999999999999994,0.002
50,Lake Tahoe Unified,275.0,54.0,23.0,22.0,22.0,22.0,0.59,0.19636363636363635,33.54,13165.0,57396.0,0.004,0.003,0.013000000000000001,0.032,0.445,0.002,0.462,0.032,0.008
53,Clovis Unified,3305.0,479.0,25.0,24.0,24.0,24.0,0.75,0.1449319213313162,8.38,11404.0,84832.0,0.032,0.006,0.14800000000000002,0.022000000000000002,0.392,0.003,0.36200000000000004,0.035,0.0
56,Fresno Unified,4593.0,574.0,20.0,19.0,19.0,19.0,0.35,0.12497278467232746,44.87,14625.0,41704.0,0.08,0.006,0.107,0.004,0.687,0.004,0.08800000000000001,0.025,0.0
57,Kingsburg Joint Union High,276.0,41.0,23.0,21.0,22.0,21.0,0.63,0.14855072463768115,25.81,12350.0,67198.0,0.001,0.003,0.024,0.002,0.618,0.0,0.33399999999999996,0.018000000000000002,0.0
58,Kings Canyon Joint Unified,619.0,169.0,19.0,17.0,18.0,18.0,0.2,0.2730210016155089,49.5,13273.0,45038.0,0.002,0.003,0.006,0.005,0.8909999999999999,0.0,0.08199999999999999,0.01,0.0
61,Parlier Unified,232.0,33.0,18.0,16.0,18.0,18.0,0.24,0.14224137931034483,56.01,14179.0,35680.0,0.001,0.004,0.001,0.0,0.982,0.0,0.008,0.0,0.003
63,Sanger Unified,850.0,62.0,21.0,19.0,20.0,21.0,0.44,0.07294117647058823,21.93,12337.0,70134.0,0.011000000000000001,0.002,0.12,0.004,0.695,0.002,0.12300000000000001,0.027000000000000003,0.017
67,Firebaugh-Las Deltas Unified,170.0,31.0,16.0,15.0,16.0,17.0,0.1,0.18235294117647058,48.98,14738.0,38094.0,0.0,0.0,0.002,0.0,0.963,0.002,0.032,0.0,0.0
68,Central Unified,1096.0,37.0,22.0,21.0,20.0,22.0,0.54,0.03375912408759124,32.81,11995.0,63792.0,0.084,0.004,0.15,0.009000000000000001,0.607,0.002,0.127,0.017,0.0
69,Kerman Unified,416.0,38.0,22.0,21.0,21.0,23.0,0.47,0.09134615384615384,55.23,11744.0,48445.0,0.005,0.004,0.044000000000000004,0.0,0.872,0.0,0.071,0.004,0.0
70,Mendota Unified,234.0,82.0,16.0,15.0,17.0,16.0,0.09,0.3504273504273504,72.64,12746.0,30542.0,0.001,0.0,0.006999999999999999,0.0,0.975,0.0,0.015,0.001,0.002
71,Golden Plains Unified,125.0,19.0,15.0,14.0,15.0,15.0,0.0,0.152,36.14,16317.0,39702.0,0.006999999999999999,0.001,0.005,0.0,0.973,0.0,0.001,0.0,0.013000000000000001
73,Riverdale Joint Unified,127.0,50.0,16.0,15.0,18.0,18.0,0.14,0.3937007874015748,37.01,14576.0,47768.0,0.006,0.003,0.005,0.0,0.872,0.0,0.114,0.001,0.0
79,Orland Joint Unified,177.0,37.0,23.0,21.0,19.0,21.0,0.46,0.20903954802259886,50.8,12312.0,48881.0,0.004,0.009000000000000001,0.02,0.002,0.662,0.0,0.29100000000000004,0.009000000000000001,0.001
80,Hamilton Unified,90.0,30.0,18.0,18.0,18.0,19.0,0.23,0.3333333333333333,48.56,12535.0,49423.0,0.001,0.004,0.01,0.0,0.8690000000000001,0.0,0.076,0.006,0.034
82,Northern Humboldt Union High,424.0,49.0,27.0,26.0,25.0,26.0,0.88,0.11556603773584906,39.33,14340.0,47230.0,0.009000000000000001,0.049,0.015,0.001,0.139,0.005,0.665,0.091,0.026000000000000002
83,Fortuna Union High,274.0,24.0,24.0,22.0,23.0,22.0,0.54,0.08759124087591241,46.46,13320.0,47053.0,0.004,0.044000000000000004,0.011000000000000001,0.002,0.27,0.001,0.602,0.064,0.003
88,Eureka City Schools,347.0,23.0,24.0,22.0,23.0,22.0,0.7,0.06628242074927954,51.35,12986.0,45100.0,0.019,0.057,0.114,0.005,0.24100000000000002,0.013999999999999999,0.442,0.107,0.001
90,Brawley Union High,471.0,115.0,19.0,18.0,18.0,18.0,0.3,0.24416135881104034,47.62,14081.0,42384.0,0.009000000000000001,0.0,0.004,0.003,0.937,0.0,0.043,0.003,0.0
91,Calexico Unified,879.0,90.0,20.0,19.0,21.0,20.0,0.39,0.10238907849829351,46.92,13961.0,43504.0,0.001,0.0,0.002,0.0,0.991,0.0,0.004,0.0,0.002
92,Calipatria Unified,91.0,19.0,20.0,21.0,19.0,20.0,0.47,0.2087912087912088,53.92,15099.0,32625.0,0.02,0.0,0.001,0.004,0.895,0.0,0.073,0.006999999999999999,0.0
93,Central Union High,958.0,172.0,19.0,18.0,19.0,19.0,0.34,0.17954070981210857,41.9,13804.0,48005.0,0.006,0.002,0.006,0.001,0.953,0.0,0.028999999999999998,0.002,0.001
94,Holtville Unified,151.0,29.0,20.0,18.0,20.0,19.0,0.31,0.19205298013245034,39.27,13842.0,49766.0,0.002,0.001,0.0,0.001,0.868,0.001,0.11699999999999999,0.009000000000000001,0.001
95,Imperial Unified,279.0,65.0,23.0,22.0,21.0,22.0,0.54,0.23297491039426524,9.61,11762.0,82136.0,0.01,0.0,0.006999999999999999,0.008,0.866,0.0,0.096,0.006999999999999999,0.006
99,Bishop Unified,158.0,27.0,23.0,22.0,22.0,22.0,0.7,0.17088607594936708,33.45,11871.0,63934.0,0.004,0.157,0.008,0.001,0.395,0.001,0.35700000000000004,0.068,0.01
101,Delano Joint Union High,1004.0,194.0,19.0,18.0,20.0,19.0,0.36,0.19322709163346613,47.94,14460.0,40251.0,0.004,0.001,0.008,0.09,0.878,0.001,0.015,0.003,0.0
