,district,students_in_grade_12_19,act_test_takers_19,act_read_19,act_eng_19,act_math_19,act_sci_19,act_comp_over_21_19,act_19_participation,students_in_grade_12_20,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation
436,Vacaville Unified,975.0,97.0,23.0,22.0,23.0,22.0,0.64,0.09948717948717949,1021,95,23.0,23.0,23.0,22.0,0.72,0.0930460333006856
437,Vallejo City Unified,994.0,71.0,20.0,18.0,18.0,19.0,0.31,0.07142857142857142,1032,103,18.0,19.0,18.0,19.0,0.27,0.0998062015503876
438,Sonoma County Office of Education,185.0,0.0,,,,,,0.0,174,0,,,,,,0.0
439,West Sonoma County Union High,450.0,55.0,26.0,25.0,24.0,24.0,0.73,0.12222222222222222,439,37,25.0,25.0,23.0,24.0,0.78,0.08428246013667426
440,Cloverdale Unified,85.0,5.0,,,,,,0.058823529411764705,106,11,,,,,,0.10377358490566038
441,Guerneville Elementary,59.0,0.0,,,,,,0.0,24,0,,,,,,0.0
442,Harmony Union Elementary,64.0,1.0,,,,,,0.015625,55,0,,,,,,0.0
443,Liberty Elementary,70.0,4.0,,,,,,0.05714285714285714,90,1,,,,,,0.011111111111111112
444,Oak Grove Union Elementary,70.0,1.0,,,,,,0.014285714285714285,93,0,,,,,,0.0
445,Petaluma Joint Union High,889.0,134.0,25.0,24.0,23.0,23.0,0.75,0.15073115860517436,812,92,25.0,26.0,24.0,25.0,0.8,0.11330049261083744
446,Piner-Olivet Union Elementary,17.0,0.0,,,,,,0.0,15,0,,,,,,0.0
447,Roseland,147.0,89.0,17.0,16.0,18.0,18.0,0.22,0.6054421768707483,156,92,17.0,19.0,18.0,18.0,0.27,0.5897435897435898
448,Santa Rosa High,1968.0,275.0,25.0,24.0,24.0,24.0,0.76,0.13973577235772358,2033,242,25.0,25.0,25.0,24.0,0.79,0.11903590752582391
449,Sonoma Valley Unified,293.0,47.0,25.0,24.0,23.0,23.0,0.66,0.16040955631399317,320,42,22.0,24.0,22.0,23.0,0.6,0.13125
450,Twin Hills Union Elementary,25.0,0.0,,,,,,0.0,25,1,,,,,,0.04
451,Cotati-Rohnert Park Unified,529.0,73.0,24.0,23.0,22.0,22.0,0.6,0.13799621928166353,540,61,24.0,25.0,23.0,23.0,0.69,0.11296296296296296
452,Windsor Unified,466.0,116.0,23.0,22.0,21.0,22.0,0.6,0.24892703862660945,476,96,24.0,24.0,22.0,23.0,0.67,0.20168067226890757
453,Healdsburg Unified,158.0,36.0,24.0,25.0,22.0,22.0,0.81,0.22784810126582278,128,22,23.0,26.0,22.0,22.0,0.73,0.171875
454,Stanislaus County Office of Education,883.0,0.0,,,,,,0.0,976,0,,,,,,0.0
455,Ceres Unified,1073.0,34.0,20.0,18.0,18.0,19.0,0.24,0.03168685927306617,1100,25,20.0,21.0,21.0,20.0,0.48,0.022727272727272728
456,Denair Unified,143.0,3.0,,,,,,0.02097902097902098,149,2,,,,,,0.013422818791946308
457,Hart-Ransom Union Elementary,18.0,6.0,,,,,,0.3333333333333333,22,1,,,,,,0.045454545454545456
458,Keyes Union,25.0,2.0,,,,,,0.08,21,0,,,,,,0.0
459,Modesto City Elementary,,,,,,,,,18,1,,,,,,0.05555555555555555
460,Modesto City High,3858.0,511.0,22.0,21.0,21.0,21.0,0.51,0.13245204769310523,3794,390,20.0,22.0,21.0,21.0,0.47,0.10279388508170796
461,Patterson Joint Unified,458.0,15.0,24.0,22.0,21.0,21.0,0.47,0.03275109170305677,504,7,,,,,,0.013888888888888888
462,Newman-Crows Landing Unified,227.0,18.0,23.0,22.0,23.0,22.0,0.56,0.07929515418502203,228,5,,,,,,0.021929824561403508
463,Hughson Unified,168.0,12.0,,,,,,0.07142857142857142,184,7,,,,,,0.03804347826086957
464,Riverbank Unified,179.0,2.0,,,,,,0.0111731843575419,200,1,,,,,,0.005
465,Oakdale Joint Unified,437.0,38.0,24.0,24.0,23.0,23.0,0.68,0.08695652173913043,426,22,21.0,23.0,22.0,23.0,0.68,0.051643192488262914
466,Waterford Unified,359.0,7.0,,,,,,0.019498607242339833,313,4,,,,,,0.012779552715654952
467,Turlock Unified,1240.0,105.0,24.0,22.0,22.0,22.0,0.65,0.0846774193548387,1269,72,22.0,23.0,22.0,22.0,0.62,0.05673758865248227
468,Sutter County Office of Education,75.0,0.0,,,,,,0.0,81,0,,,,,,0.0
469,East Nicolaus Joint Union High,79.0,9.0,,,,,,0.11392405063291139,75,1,,,,,,0.013333333333333334
470,Live Oak Unified,143.0,33.0,19.0,20.0,20.0,20.0,0.36,0.23076923076923078,142,45,19.0,20.0,20.0,19.0,0.4,0.31690140845070425
471,Marcum-Illinois Union Elementary,140.0,6.0,,,,,,0.04285714285714286,157,4,,,,,,0.025477707006369428
472,Meridian Elementary,131.0,1.0,,,,,,0.007633587786259542,105,1,,,,,,0.009523809523809525
473,Nuestro Elementary,20.0,0.0,,,,,,0.0,19,1,,,,,,0.05263157894736842
474,Sutter Union High,189.0,22.0,25.0,22.0,24.0,23.0,0.77,0.1164021164021164,181,26,21.0,23.0,22.0,22.0,0.62,0.143646408839779
475,Winship-Robbins,78.0,9.0,,,,,,0.11538461538461539,97,6,,,,,,0.061855670103092786
476,Yuba City Unified,972.0,116.0,23.0,22.0,22.0,23.0,0.61,0.11934156378600823,988,87,22.0,23.0,23.0,22.0,0.63,0.08805668016194332
477,Tehama County Department of Education,47.0,0.0,,,,,,0.0,38,0,,,,,,0.0
478,Corning Union High,228.0,113.0,18.0,18.0,18.0,17.0,0.29,0.4956140350877193,255,86,17.0,19.0,17.0,17.0,0.22,0.33725490196078434
479,Los Molinos Unified,37.0,38.0,17.0,15.0,17.0,17.0,0.24,1.027027027027027,62,54,16.0,18.0,17.0,17.0,0.22,0.8709677419354839
480,Red Bluff Joint Union High,372.0,151.0,20.0,19.0,20.0,20.0,0.42,0.40591397849462363,425,215,18.0,20.0,19.0,19.0,0.35,0.5058823529411764
481,Trinity County Office of Education,36.0,0.0,,,,,,0.0,30,0,,,,,,0.0
482,Mountain Valley Unified,19.0,0.0,,,,,,0.0,22,0,,,,,,0.0
483,Trinity Alps Unified,93.0,15.0,24.0,24.0,23.0,23.0,0.73,0.16129032258064516,67,7,,,,,,0.1044776119402985
484,Tulare County Office of Education,465.0,14.0,,,,,,0.030107526881720432,448,0,,,,,,0.0
485,Alpaugh Unified,80.0,1.0,,,,,,0.0125,84,1,,,,,,0.011904761904761904
486,Burton Elementary,81.0,5.0,,,,,,0.06172839506172839,79,4,,,,,,0.05063291139240506
487,Cutler-Orosi Joint Unified,292.0,85.0,17.0,15.0,17.0,17.0,0.12,0.2910958904109589,295,86,15.0,16.0,17.0,17.0,0.1,0.29152542372881357
488,Lindsay Unified,293.0,9.0,,,,,,0.030716723549488054,264,4,,,,,,0.015151515151515152
