CDS,RType,SName,DName,CName,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,Year
01100170112607,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,85,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01316170131763,S,California School for the Deaf-Fremont,California School for the Deaf-Fremont (State Special Schl),Alameda,85,26,13,15,16,16,2,7.69,2019-20
01611190106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,49,3,*,*,*,*,*,*,2019-20
01611190119222,S,Nea Community Learning Center,Alameda Unified,Alameda,34,2,*,*,*,*,*,*,2019-20
01611190130229,S,Alameda High,Alameda Unified,Alameda,462,71,27,27,26,25,64,90.14,2019-20
01611190130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,51,5,*,*,*,*,*,*,2019-20
01611190130625,S,Alternatives in Action,Alameda Unified,Alameda,38,1,*,*,*,*,*,*,2019-20
01611190132142,S,Encinal Junior/Senior High,Alameda Unified,Alameda,222,21,24,26,25,24,17,80.95,2019-20
01611270130450,S,Albany High,Albany City Unified,Alameda,253,29,28,29,26,26,27,93.10,2019-20
01611430131177,S,Berkeley High,Berkeley Unified,Alameda,775,182,26,26,24,25,132,72.53,2019-20
01611500132225,S,Castro Valley High,Castro Valley Unified,Alameda,669,99,25,26,25,25,82,82.83,2019-20
01611680132746,S,Emery Secondary,Emery Unified,Alameda,57,4,*,*,*,*,*,*,2019-20
01611760130062,S,American High,Fremont Unified,Alameda,537,112,29,29,29,28,100,89.29,2019-20
01611760130534,S,Circle of Independent Learning,Fremont Unified,Alameda,69,4,*,*,*,*,*,*,2019-20
01611760134270,S,Irvington High,Fremont Unified,Alameda,524,119,31,31,31,30,114,95.80,2019-20
01611760134452,S,John F. Kennedy High,Fremont Unified,Alameda,346,24,27,27,27,27,18,75.00,2019-20
01611760135244,S,Mission San Jose High,Fremont Unified,Alameda,479,147,32,32,32,31,143,97.28,2019-20
01611760138693,S,Washington High,Fremont Unified,Alameda,472,65,30,30,29,28,61,93.85,2019-20
01611920108670,S,Leadership Public Schools - Hayward,Hayward Unified,Alameda,141,128,19,19,18,19,42,32.81,2019-20
01611920127944,S,Silver Oak High Public Montessori Charter,Hayward Unified,Alameda,40,3,*,*,*,*,*,*,2019-20
01611920133629,S,Hayward High,Hayward Unified,Alameda,330,29,20,22,22,21,16,55.17,2019-20
01611920135319,S,Mt. Eden High,Hayward Unified,Alameda,470,43,20,22,20,21,24,55.81,2019-20
01611920137646,S,Impact Academy of Arts & Technology,Hayward Unified,Alameda,113,10,*,*,*,*,*,*,2019-20
01611920138339,S,Tennyson High,Hayward Unified,Alameda,362,12,*,*,*,*,*,*,2019-20
01612000130393,S,Vineyard Alternative,Livermore Valley Joint Unified,Alameda,38,1,*,*,*,*,*,*,2019-20
01612000133397,S,Granada High,Livermore Valley Joint Unified,Alameda,563,104,25,26,25,25,89,85.58,2019-20
01612000134536,S,Livermore High,Livermore Valley Joint Unified,Alameda,461,68,26,27,26,26,58,85.29,2019-20
01612340130054,S,Newark Memorial High,Newark Unified,Alameda,398,29,24,24,23,23,20,68.97,2019-20
01612420126763,S,Decoto School for Independent Study,New Haven Unified,Alameda,51,1,*,*,*,*,*,*,2019-20
01612420134668,S,James Logan High,New Haven Unified,Alameda,908,113,24,25,25,24,86,76.11,2019-20
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,83,67,15,17,18,17,7,10.45,2019-20
01612590100701,S,MetWest High,Oakland Unified,Alameda,40,8,*,*,*,*,*,*,2019-20
01612590106906,S,Bay Area Technology,Oakland Unified,Alameda,25,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01612590108944,S,Lighthouse Community Charter High,Oakland Unified,Alameda,62,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01612590110189,S,McClymonds High,Oakland Unified,Alameda,89,34,12,14,14,13,0,0.00,2019-20
01612590111856,S,American Indian Public High,Oakland Unified,Alameda,56,4,*,*,*,*,*,*,2019-20
01612590112797,S,Coliseum College Prep Academy,Oakland Unified,Alameda,64,8,*,*,*,*,*,*,2019-20
01612590114868,S,Oakland Charter High,Oakland Unified,Alameda,109,23,23,23,24,23,16,69.57,2019-20
01612590115238,S,ARISE High,Oakland Unified,Alameda,68,2,*,*,*,*,*,*,2019-20
01612590115386,S,Civicorps Corpsmember Academy,Oakland Unified,Alameda,51,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01612590115667,S,Oakland International High,Oakland Unified,Alameda,94,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01612590118224,S,Aspire Golden State College Preparatory Academy,Oakland Unified,Alameda,71,95,14,14,16,15,4,4.21,2019-20
01612590119859,S,Gateway to College at Laney College,Oakland Unified,Alameda,65,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01612590125161,S,Castlemont High,Oakland Unified,Alameda,187,14,*,*,*,*,*,*,2019-20
01612590125716,S,Fremont High,Oakland Unified,Alameda,172,28,13,16,15,16,2,7.14,2019-20
01612590126748,S,LPS Oakland R & D Campus,Oakland Unified,Alameda,98,88,14,15,15,15,8,9.09,2019-20
01612590129932,S,East Bay Innovation Academy,Oakland Unified,Alameda,36,1,*,*,*,*,*,*,2019-20
01612590130179,S,Street Academy (Alternative),Oakland Unified,Alameda,32,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01612590130575,S,LIFE Academy,Oakland Unified,Alameda,63,44,14,15,16,17,2,4.55,2019-20
01612590130617,S,"Oakland Military Institute, College Preparatory Academy",Oakland Unified,Alameda,93,4,*,*,*,*,*,*,2019-20
01612590130666,S,Aspire Lionel Wilson College Preparatory Academy,Oakland Unified,Alameda,60,87,15,16,18,17,17,19.54,2019-20
01612590132555,S,Conservatory of Vocal/Instrumental Arts High,Oakland Unified,Alameda,21,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
01612590135905,S,Oakland High,Oakland Unified,Alameda,356,32,21,23,21,21,18,56.25,2019-20
01612590136051,S,Oakland Technical High,Oakland Unified,Alameda,462,100,24,25,23,23,70,70.00,2019-20
01612590137943,S,Skyline High,Oakland Unified,Alameda,329,86,17,19,19,19,21,24.42,2019-20
01612593030772,S,Oakland School for the Arts,Oakland Unified,Alameda,118,30,27,28,22,24,26,86.67,2019-20
01612596066450,S,Madison Park Academy 6-12,Oakland Unified,Alameda,103,2,*,*,*,*,*,*,2019-20
01612596114011,S,"Independent Study, Sojourner Truth",Oakland Unified,Alameda,80,5,*,*,*,*,*,*,2019-20
01612750130286,S,Millennium High Alternative,Piedmont City Unified,Alameda,24,7,*,*,*,*,*,*,2019-20
01612750136515,S,Piedmont High,Piedmont City Unified,Alameda,182,92,31,31,28,29,89,96.74,2019-20
01612910137588,S,San Leandro High,San Leandro Unified,Alameda,638,64,20,22,20,21,31,48.44,2019-20
01613090111799,S,East Bay Arts High,San Lorenzo Unified,Alameda,32,2,*,*,*,*,*,*,2019-20
01613090114421,S,KIPP King Collegiate High,San Lorenzo Unified,Alameda,153,128,22,21,21,21,67,52.34,2019-20
01613090130849,S,Arroyo High,San Lorenzo Unified,Alameda,438,26,23,24,25,24,17,65.38,2019-20
01613090137810,S,San Lorenzo High,San Lorenzo Unified,Alameda,322,40,19,21,20,20,16,40.00,2019-20
01750930132704,S,Dublin High,Dublin Unified,Alameda,700,203,27,27,27,27,170,83.74,2019-20
01751010130096,S,Foothill High,Pleasanton Unified,Alameda,549,206,29,29,29,28,187,90.78,2019-20
01751010130583,S,Amador Valley High,Pleasanton Unified,Alameda,620,205,29,29,28,28,190,92.68,2019-20
03739810330050,S,North Star Independent Study,Amador County Unified,Amador,23,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
03739810330753,S,Amador High,Amador County Unified,Amador,169,21,22,24,23,23,15,71.43,2019-20
03739810334755,S,Argonaut High,Amador County Unified,Amador,96,14,*,*,*,*,*,*,2019-20
04100410114991,S,CORE Butte Charter,Butte County Office of Education,Butte,100,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
04100410134213,S,Come Back Butte Charter,Butte County Office of Education,Butte,34,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
04100410430090,S,Hearthstone,Butte County Office of Education,Butte,31,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
04614080430827,S,Biggs High,Biggs Unified,Butte,47,1,*,*,*,*,*,*,2019-20
04614240120394,S,Inspire School of Arts and Sciences,Chico Unified,Butte,106,1,*,*,*,*,*,*,2019-20
04614240137828,S,Pivot Charter School North Valley II,Chico Unified,Butte,26,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
04614240430199,S,Oakdale,Chico Unified,Butte,42,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
04614240431676,S,Chico High,Chico Unified,Butte,451,35,26,28,26,25,30,85.71,2019-20
04614240437558,S,Pleasant Valley High,Chico Unified,Butte,432,40,25,26,27,26,32,80.00,2019-20
04614320433201,S,Durham High,Durham Unified,Butte,72,6,*,*,*,*,*,*,2019-20
04615150434803,S,Las Plumas High,Oroville Union High,Butte,211,6,*,*,*,*,*,*,2019-20
04615150435602,S,Oroville High,Oroville Union High,Butte,261,8,*,*,*,*,*,*,2019-20
04615310121715,S,Paradise eLearning Academy,Paradise Unified,Butte,18,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
04615310437350,S,Paradise Senior High,Paradise Unified,Butte,126,7,*,*,*,*,*,*,2019-20
04615316112585,S,HomeTech Charter,Paradise Unified,Butte,17,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
04755070433953,S,Gridley High,Gridley Unified,Butte,141,21,21,23,22,21,13,61.90,2019-20
05100580530154,S,Mountain Oaks,Calaveras County Office of Education,Calaveras,41,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
05615560532507,S,Bret Harte Union High,Bret Harte Union High,Calaveras,125,8,*,*,*,*,*,*,2019-20
05615640531509,S,Calaveras High,Calaveras Unified,Calaveras,190,18,23,23,23,23,14,77.78,2019-20
06615980630046,S,Colusa Alternative Home,Colusa Unified,Colusa,17,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
06615980631259,S,Colusa High,Colusa Unified,Colusa,99,8,*,*,*,*,*,*,2019-20
06616060634758,S,Maxwell Sr High,Maxwell Unified,Colusa,26,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
06616140635250,S,Pierce High,Pierce Joint Unified,Colusa,99,13,*,*,*,*,*,*,2019-20
06616220637504,S,Williams Junior/Senior High,Williams Unified,Colusa,85,2,*,*,*,*,*,*,2019-20
07100740114470,S,Making Waves Academy,Contra Costa County Office of Education,Contra Costa,87,84,17,18,18,17,20,23.81,2019-20
07100740129684,S,Summit Public School K2,Contra Costa County Office of Education,Contra Costa,83,18,23,25,20,21,12,66.67,2019-20
07100740134114,S,Contra Costa School of Performing Arts,Contra Costa County Office of Education,Contra Costa,28,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
07100740731380,S,Clayton Valley Charter High,Contra Costa County Office of Education,Contra Costa,581,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
07616300107524,S,Acalanes Center for Independent Study,Acalanes Union High,Contra Costa,20,1,*,*,*,*,*,*,2019-20
07616300730283,S,Acalanes High,Acalanes Union High,Contra Costa,340,97,28,29,27,27,91,93.81,2019-20
07616300731125,S,Campolindo High,Acalanes Union High,Contra Costa,307,132,29,30,27,28,126,95.45,2019-20
07616300733725,S,Las Lomas High,Acalanes Union High,Contra Costa,388,124,27,28,25,26,103,83.06,2019-20
07616300734244,S,Miramonte High,Acalanes Union High,Contra Costa,320,150,29,29,28,27,137,91.33,2019-20
07616480117218,S,Dozier-Libbey Medical High,Antioch Unified,Contra Costa,141,17,22,22,21,22,10,58.82,2019-20
07616480730101,S,Live Oak High (Continuation),Antioch Unified,Contra Costa,105,1,*,*,*,*,*,*,2019-20
07616480730259,S,Prospects High (Alternative),Antioch Unified,Contra Costa,138,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
07616480730465,S,Deer Valley High,Antioch Unified,Contra Costa,459,18,21,22,21,21,10,55.56,2019-20
07616480730861,S,Antioch High,Antioch Unified,Contra Costa,444,30,21,21,19,21,13,43.33,2019-20
07616630130930,S,Vista Oaks Charter,Byron Union Elementary,Contra Costa,77,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
07616970737023,S,John Swett High,John Swett Unified,Contra Costa,124,12,*,*,*,*,*,*,2019-20
07617210107797,S,Heritage High,Liberty Union High,Contra Costa,588,115,23,25,24,23,87,75.65,2019-20
07617210730457,S,Freedom High,Liberty Union High,Contra Costa,612,54,20,22,21,21,27,50.00,2019-20
07617210730572,S,Independence High,Liberty Union High,Contra Costa,128,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
07617210733980,S,Liberty High,Liberty Union High,Contra Costa,672,76,23,24,22,22,52,68.42,2019-20
07617390730473,S,Briones (Alternative),Martinez Unified,Contra Costa,23,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
07617390730549,S,Alhambra Senior High,Martinez Unified,Contra Costa,264,28,24,25,24,24,24,85.71,2019-20
07617540138115,S,Crossroads High,Mt. Diablo Unified,Contra Costa,17,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
07617540730044,S,Northgate High,Mt. Diablo Unified,Contra Costa,347,141,27,28,26,26,122,86.52,2019-20
07617540730317,S,Horizons School: Independent Study,Mt. Diablo Unified,Contra Costa,89,1,*,*,*,*,*,*,2019-20
07617540731646,S,College Park High,Mt. Diablo Unified,Contra Costa,440,61,26,28,25,26,54,88.52,2019-20
07617540731836,S,Concord High,Mt. Diablo Unified,Contra Costa,306,23,22,23,22,23,14,60.87,2019-20
07617540734566,S,Mt. Diablo High,Mt. Diablo Unified,Contra Costa,327,42,16,17,18,17,6,14.29,2019-20
07617540737809,S,Ygnacio Valley High,Mt. Diablo Unified,Contra Costa,295,22,18,22,19,20,10,45.45,2019-20
07617880735407,S,Pittsburg Senior High,Pittsburg Unified,Contra Costa,774,137,19,20,19,20,52,37.96,2019-20
07617960101477,S,Leadership Public Schools: Richmond,West Contra Costa Unified,Contra Costa,148,106,17,19,18,18,25,23.58,2019-20
07617960132100,S,Aspire Richmond Ca. College Preparatory Academy,West Contra Costa Unified,Contra Costa,49,52,16,16,16,17,8,15.38,2019-20
07617960132233,S,John Henry High,West Contra Costa Unified,Contra Costa,72,2,*,*,*,*,*,*,2019-20
07617960730291,S,Middle College High,West Contra Costa Unified,Contra Costa,68,21,23,26,23,22,15,71.43,2019-20
07617960730325,S,Vista High (Alternative),West Contra Costa Unified,Contra Costa,162,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
07617960730598,S,Hercules High,West Contra Costa Unified,Contra Costa,226,19,23,25,23,23,12,63.16,2019-20
07617960732164,S,De Anza High,West Contra Costa Unified,Contra Costa,350,42,18,21,18,19,12,28.57,2019-20
07617960732941,S,El Cerrito High,West Contra Costa Unified,Contra Costa,365,74,26,27,23,23,55,74.32,2019-20
07617960733659,S,John F. Kennedy High,West Contra Costa Unified,Contra Costa,282,18,14,16,15,15,1,5.56,2019-20
07617960735316,S,Pinole Valley High,West Contra Costa Unified,Contra Costa,272,30,21,22,20,21,14,46.67,2019-20
07617960735902,S,Richmond High,West Contra Costa Unified,Contra Costa,313,58,15,16,17,16,6,10.34,2019-20
07618040113118,S,Dougherty Valley High,San Ramon Valley Unified,Contra Costa,809,285,31,30,30,29,268,94.04,2019-20
07618040730051,S,California High,San Ramon Valley Unified,Contra Costa,674,202,27,28,27,27,183,90.59,2019-20
07618040730218,S,Venture (Alternative),San Ramon Valley Unified,Contra Costa,54,6,*,*,*,*,*,*,2019-20
07618040734368,S,Monte Vista High,San Ramon Valley Unified,Contra Costa,601,251,27,28,27,27,224,89.24,2019-20
07618040736504,S,San Ramon Valley High,San Ramon Valley Unified,Contra Costa,512,218,28,28,26,26,199,91.28,2019-20
08100820830059,S,Castle Rock,Del Norte County Office of Education,Del Norte,93,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
08618200833004,S,Del Norte High,Del Norte County Unified,Del Norte,194,32,20,21,21,21,17,53.13,2019-20
09618380136200,S,Clarksville Charter,Buckeye Union Elementary,El Dorado,48,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
09618530930081,S,Oak Ridge High,El Dorado Union High,El Dorado,602,195,26,27,27,26,167,85.64,2019-20
09618530930164,S,Union Mine High,El Dorado Union High,El Dorado,249,24,24,25,24,24,18,75.00,2019-20
09618530930214,S,EDUHSD Virtual Academy at Shenandoah,El Dorado Union High,El Dorado,28,3,*,*,*,*,*,*,2019-20
09618530932756,S,El Dorado High,El Dorado Union High,El Dorado,264,51,22,22,22,22,29,56.86,2019-20
09618530936302,S,Ponderosa High,El Dorado Union High,El Dorado,433,91,23,25,25,24,65,71.43,2019-20
09619030937805,S,South Tahoe High,Lake Tahoe Unified,El Dorado,240,51,22,24,22,23,34,66.67,2019-20
09737830930073,S,Golden Sierra Junior Senior High,Black Oak Mine Unified,El Dorado,76,3,*,*,*,*,*,*,2019-20
10101080109991,S,Crescent View West Public Charter,Fresno County Office of Education,Fresno,110,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10621170113555,S,Clovis North High,Clovis Unified,Fresno,589,124,27,27,27,26,111,89.52,2019-20
10621170118018,S,Clovis Online Charter,Clovis Unified,Fresno,136,4,*,*,*,*,*,*,2019-20
10621171030196,S,Clovis West High,Clovis Unified,Fresno,464,55,24,24,24,23,39,70.91,2019-20
10621171030469,S,Enterprise Alternative,Clovis Unified,Fresno,18,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10621171030501,S,Buchanan High,Clovis Unified,Fresno,649,116,24,26,24,25,95,81.90,2019-20
10621171030683,S,Clovis East High,Clovis Unified,Fresno,614,42,23,25,24,23,32,76.19,2019-20
10621171031053,S,Clovis High,Clovis Unified,Fresno,756,76,23,24,24,24,52,68.42,2019-20
10621251031376,S,Coalinga High,Coalinga-Huron Unified,Fresno,265,5,*,*,*,*,*,*,2019-20
10621581032150,S,Fowler High,Fowler Unified,Fresno,160,4,*,*,*,*,*,*,2019-20
10621660108555,S,Design Science Middle College High,Fresno Unified,Fresno,67,60,20,21,22,20,32,53.33,2019-20
10621660114355,S,Sierra Charter,Fresno Unified,Fresno,77,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10621660114553,S,University High,Fresno Unified,Fresno,116,77,28,27,25,26,72,93.51,2019-20
10621660132134,S,Phillip J Patino School of Entrepreneurship,Fresno Unified,Fresno,53,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10621661030279,S,Bullard High,Fresno Unified,Fresno,574,25,21,22,21,22,13,52.00,2019-20
10621661030287,S,J. E. Young Academic Center,Fresno Unified,Fresno,119,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10621661030295,S,Erma Duncan Polytechnical High,Fresno Unified,Fresno,249,1,*,*,*,*,*,*,2019-20
10621661030642,S,School of Unlimited Learning,Fresno Unified,Fresno,78,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10621661030675,S,Sunnyside High,Fresno Unified,Fresno,625,115,17,19,17,18,26,22.61,2019-20
10621661030840,S,Carter G. Woodson Public Charter,Fresno Unified,Fresno,130,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10621661031897,S,Edison High,Fresno Unified,Fresno,563,81,22,24,21,21,50,61.73,2019-20
10621661032507,S,Fresno High,Fresno Unified,Fresno,423,23,18,19,17,18,6,26.09,2019-20
10621661032911,S,Herbert Hoover High,Fresno Unified,Fresno,393,19,18,21,19,19,8,42.11,2019-20
10621661034214,S,McLane High,Fresno Unified,Fresno,392,40,16,17,16,17,4,10.00,2019-20
10621661035831,S,Roosevelt High,Fresno Unified,Fresno,459,17,17,18,16,16,2,11.76,2019-20
10622570124727,S,Kingsburg Independent Study High,Kingsburg Joint Union High,Fresno,15,1,*,*,*,*,*,*,2019-20
10622571033695,S,Kingsburg High,Kingsburg Joint Union High,Fresno,247,32,23,25,24,24,23,71.88,2019-20
10622571033729,S,Oasis Continuation High,Kingsburg Joint Union High,Fresno,13,1,*,*,*,*,*,*,2019-20
10622650108092,S,Orange Cove High,Kings Canyon Joint Unified,Fresno,130,48,15,16,16,17,2,4.17,2019-20
10622650116640,S,Dunlap Leadership Academy,Kings Canyon Joint Unified,Fresno,18,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10622650126292,S,Reedley Middle College High,Kings Canyon Joint Unified,Fresno,51,39,20,21,20,21,17,43.59,2019-20
10622651030378,S,Mountain View (Alternative),Kings Canyon Joint Unified,Fresno,76,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10622651035310,S,Reedley High,Kings Canyon Joint Unified,Fresno,411,118,17,19,18,19,33,27.97,2019-20
10622811033950,S,Laton High,Laton Joint Unified,Fresno,44,8,*,*,*,*,*,*,2019-20
10623310137661,S,California Virtual Academy at Fresno,Orange Center,Fresno,68,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10623641034990,S,Parlier High,Parlier Unified,Fresno,221,38,15,18,17,18,7,18.42,2019-20
10623800136499,S,Ambassador Phillip V. Sanchez II Public Charter,Raisin City Elementary,Fresno,20,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10624141030451,S,Taft High,Sanger Unified,Fresno,24,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10624141030766,S,Hallmark Charter,Sanger Unified,Fresno,42,1,*,*,*,*,*,*,2019-20
10624141036094,S,Sanger High,Sanger Unified,Fresno,738,70,19,20,20,20,29,41.43,2019-20
10624301030758,S,Selma Independent,Selma Unified,Fresno,35,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10624301036672,S,Selma High,Selma Unified,Fresno,406,32,19,20,20,19,14,43.75,2019-20
10625396112387,S,West Park Charter Academy,West Park Elementary,Fresno,68,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10625470135103,S,Yosemite Valley Charter,Westside Elementary,Fresno,62,1,*,*,*,*,*,*,2019-20
10625470136523,S,Crescent View South II,Westside Elementary,Fresno,61,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10738091030121,S,Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,158,36,17,19,16,18,6,16.67,2019-20
10739651030386,S,Central Unified Alternative/Opportunity,Central Unified,Fresno,84,1,*,*,*,*,*,*,2019-20
10739651030626,S,Central High East Campus,Central Unified,Fresno,970,23,17,20,19,19,9,39.13,2019-20
10739991033430,S,Kerman High,Kerman Unified,Fresno,345,42,17,18,18,19,13,30.95,2019-20
10751271030493,S,Mendota High,Mendota Unified,Fresno,177,82,15,17,17,18,9,10.98,2019-20
10752341037456,S,Tranquillity High,Golden Plains Unified,Fresno,103,5,*,*,*,*,*,*,2019-20
10752751036938,S,Sierra High,Sierra Unified,Fresno,79,9,*,*,*,*,*,*,2019-20
10754081035575,S,Riverdale High,Riverdale Joint Unified,Fresno,135,27,18,20,19,20,8,29.63,2019-20
10755981030535,S,Caruthers High,Caruthers Unified,Fresno,159,14,*,*,*,*,*,*,2019-20
10767780122473,S,Elm High,Washington Unified,Fresno,18,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10767781030774,S,W.E.B. DuBois Public Charter,Washington Unified,Fresno,55,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
10767781038306,S,Washington High,Washington Unified,Fresno,258,144,16,18,17,18,23,15.97,2019-20
11101160130724,S,Success One!,Glenn County Office of Education,Glenn,63,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
11626461136209,S,Princeton Junior-Senior High,Princeton Joint Unified,Glenn,15,1,*,*,*,*,*,*,2019-20
11626611132851,S,Willows High,Willows Unified,Glenn,107,9,*,*,*,*,*,*,2019-20
11754811135656,S,Orland High,Orland Joint Unified,Glenn,181,8,*,*,*,*,*,*,2019-20
11765621133701,S,Hamilton High,Hamilton Unified,Glenn,48,4,*,*,*,*,*,*,2019-20
12101240134163,S,Northcoast Preparatory and Performing Arts Academy,Humboldt County Office of Education,Humboldt,26,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
12101240137364,S,Northern United - Humboldt Charter,Humboldt County Office of Education,Humboldt,27,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
12626870107110,S,Six Rivers Charter High,Northern Humboldt Union High,Humboldt,27,4,*,*,*,*,*,*,2019-20
12626871230705,S,Arcata High,Northern Humboldt Union High,Humboldt,220,25,24,26,24,25,18,72.00,2019-20
12626871235209,S,McKinleyville High,Northern Humboldt Union High,Humboldt,117,3,*,*,*,*,*,*,2019-20
12628100108688,S,Academy of the Redwoods,Fortuna Union High,Humboldt,38,1,*,*,*,*,*,*,2019-20
12628101233402,S,Fortuna Union High,Fortuna Union High,Humboldt,148,7,*,*,*,*,*,*,2019-20
12629011234004,S,Hoopa Valley High,Klamath-Trinity Joint Unified,Humboldt,54,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
12630320111203,S,Alder Grove Charter School 2,South Bay Union Elementary,Humboldt,45,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
12630401237007,S,South Fork Junior - Senior High,Southern Humboldt Joint Unified,Humboldt,45,3,*,*,*,*,*,*,2019-20
12753741232909,S,Ferndale High,Ferndale Unified,Humboldt,36,2,*,*,*,*,*,*,2019-20
12755151232206,S,Eureka Senior High,Eureka City Schools,Humboldt,231,13,*,*,*,*,*,*,2019-20
13101320134379,S,Imperial Pathways Charter,Imperial County Office of Education,Imperial,202,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
13630811331404,S,Brawley Union High,Brawley Union High,Imperial,369,119,18,20,19,18,35,29.41,2019-20
13630991332204,S,Calexico High,Calexico Unified,Imperial,694,29,21,22,23,21,20,68.97,2019-20
13631071332501,S,Calipatria High,Calipatria Unified,Imperial,84,13,*,*,*,*,*,*,2019-20
13631151330133,S,Southwest High,Central Union High,Imperial,505,74,18,20,20,19,31,41.89,2019-20
13631151333004,S,Central Union High,Central Union High,Imperial,424,24,18,20,20,19,8,33.33,2019-20
13631491335306,S,Holtville High,Holtville Unified,Imperial,121,9,*,*,*,*,*,*,2019-20
13631641335900,S,Imperial High,Imperial Unified,Imperial,276,41,22,23,23,23,30,73.17,2019-20
13632141337609,S,San Pasqual Valley High,San Pasqual Valley Unified,Imperial,42,11,*,*,*,*,*,*,2019-20
14101400117994,S,YouthBuild Charter School of California,Inyo County Office of Education,Inyo,147,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
14101400128447,S,The Education Corps,Inyo County Office of Education,Inyo,108,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
14101400128454,S,College Bridge Academy,Inyo County Office of Education,Inyo,71,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
14632891434901,S,Lone Pine High,Lone Pine Unified,Inyo,18,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
14766871431600,S,Bishop Union High,Bishop Unified,Inyo,112,17,23,26,23,24,15,88.24,2019-20
15101570119669,S,Wonderful College Prep Academy,Kern County Office of Education,Kern,113,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
15101571530492,S,Valley Oaks Charter,Kern County Office of Education,Kern,72,0,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
15634120100529,S,Cesar E. Chavez High,Delano Joint Union High,Kern,363,29,21,22,24,21,18,62.07,2019-20
15634120116384,S,Robert F. Kennedy High,Delano Joint Union High,Kern,281,27,21,22,22,21,13,48.15,2019-20
15634121531672,S,Delano High,Delano Joint Union High,Kern,342,129,17,19,18,17,34,26.36,2019-20
15635290100198,S,Golden Valley High,Kern High,Kern,608,20,20,23,20,22,11,55.00,2019-20
