,district,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
36,Auburn Union Elementary,25.28,12385,67410,0.013000000000000001,0.013999999999999999,0.013000000000000001,0.009000000000000001,0.335,0.002,0.40700000000000003,0.051,0.157
37,Azusa Unified,2.08,15088,71068,0.01,0.001,0.013999999999999999,0.013000000000000001,0.922,0.0,0.028999999999999998,0.005,0.006
38,Baker Valley Unified,8.35,22888,27404,0.0,0.008,0.0,0.0,0.843,0.0,0.142,0.0,0.008
39,Bakersfield City,45.61,14646,41047,0.079,0.005,0.008,0.004,0.802,0.001,0.087,0.015,0.0
40,Baldwin Park Unified,12.64,14543,65978,0.036000000000000004,0.002,0.053,0.013999999999999999,0.845,0.002,0.031,0.008,0.009000000000000001
41,Ballard Elementary,104.24,18061,134924,0.016,0.0,0.008,0.0,0.156,0.0,0.7809999999999999,0.039,0.0
42,Ballico-Cressey Elementary,19.19,12180,72946,0.006,0.026000000000000002,0.013999999999999999,0.0,0.635,0.003,0.313,0.0,0.003
43,Bangor Union Elementary,46.12,14520,41304,0.0,0.019,0.0,0.0,0.215,0.0,0.6920000000000001,0.065,0.009000000000000001
44,Banning Unified,48.09,13707,43906,0.073,0.026000000000000002,0.040999999999999995,0.01,0.711,0.001,0.109,0.027999999999999997,0.0
45,Banta Elementary,44.36,17452,93631,0.06,0.006,0.177,0.11800000000000001,0.389,0.004,0.177,0.067,0.004
46,Barstow Unified,55.26,12804,43117,0.196,0.006999999999999999,0.006,0.005,0.5379999999999999,0.012,0.18,0.055,0.0
47,Bass Lake Joint Union Elementary,47.59,11191,56864,0.004,0.022000000000000002,0.019,0.004,0.237,0.002,0.6779999999999999,0.034,0.0
48,Bassett Unified,14.38,13621,69300,0.006,0.001,0.04,0.013999999999999999,0.93,0.0,0.008,0.0,0.0
49,Bayshore Elementary,34.34,16879,89074,0.033,0.0,0.188,0.21100000000000002,0.41,0.044000000000000004,0.027999999999999997,0.08,0.006
50,Bear Valley Unified,46.85,12197,52384,0.009000000000000001,0.003,0.009000000000000001,0.002,0.371,0.002,0.5589999999999999,0.044000000000000004,0.001
51,Beardsley Elementary,72.27,12820,30445,0.051,0.005,0.003,0.003,0.479,0.001,0.429,0.025,0.005
52,Beaumont Unified,18.8,11807,75103,0.055999999999999994,0.005,0.024,0.023,0.513,0.002,0.317,0.051,0.009000000000000001
53,Bella Vista Elementary,30.65,12127,64726,0.0,0.039,0.018000000000000002,0.009000000000000001,0.11900000000000001,0.0,0.76,0.055999999999999994,0.0
54,Belleview Elementary,29.45,13519,58654,0.0,0.018000000000000002,0.0,0.012,0.177,0.012,0.695,0.085,0.0
55,Bellevue Union,17.69,14071,64601,0.012,0.01,0.02,0.001,0.865,0.006,0.073,0.01,0.004
56,Bellflower Unified,20.42,13391,65982,0.125,0.004,0.038,0.044000000000000004,0.662,0.01,0.083,0.028999999999999998,0.006
57,Belmont-Redwood Shores Elementary,101.74,12393,161430,0.012,0.001,0.316,0.028999999999999998,0.11699999999999999,0.009000000000000001,0.344,0.138,0.034
58,Belridge Elementary,91.61,30667,62500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
59,Benicia Unified,13.06,10914,103163,0.064,0.004,0.048,0.071,0.203,0.002,0.446,0.14300000000000002,0.021
60,Bennett Valley Union Elementary,20.84,11660,105191,0.018000000000000002,0.004,0.046,0.011000000000000001,0.23600000000000002,0.011000000000000001,0.589,0.085,0.0
61,Berkeley Unified,32.14,17280,85444,0.127,0.003,0.083,0.008,0.221,0.001,0.413,0.141,0.001
62,Berryessa Union Elementary,50.56,12462,123184,0.012,0.001,0.536,0.11800000000000001,0.22899999999999998,0.006,0.045,0.053,0.0
63,Beverly Hills Unified,77.88,19769,106857,0.025,0.002,0.114,0.006,0.086,0.002,0.6890000000000001,0.054000000000000006,0.022000000000000002
64,Big Creek Elementary,90.05,28022,74583,0.0,0.02,0.0,0.0,0.235,0.0,0.627,0.11800000000000001,0.0
65,Big Lagoon Union Elementary,62.46,29316,47679,0.0,0.41700000000000004,0.0,0.0,0.16699999999999998,0.0,0.41700000000000004,0.0,0.0
66,Big Oak Flat-Groveland Unified,13.78,18352,66486,0.018000000000000002,0.032,0.011000000000000001,0.004,0.147,0.0,0.755,0.004,0.028999999999999998
67,Big Pine Unified,75.7,30066,53730,0.0,0.355,0.006,0.0,0.284,0.0,0.23199999999999998,0.12300000000000001,0.0
68,Big Springs Union Elementary,50.93,11379,53452,0.0,0.027999999999999997,0.163,0.0,0.124,0.0,0.551,0.11199999999999999,0.022000000000000002
69,Big Sur Unified,90.92,8233,39583,0.0,0.0,0.01,0.01,0.252,0.0,0.505,0.175,0.049
70,Big Valley Joint Unified,2.34,20402,44293,0.0,0.043,0.0,0.0,0.171,0.0,0.769,0.0,0.017
71,Biggs Unified,29.27,12218,65292,0.039,0.006999999999999999,0.018000000000000002,0.0,0.38,0.005,0.544,0.006999999999999999,0.0
72,Bishop Unified,33.45,11871,63934,0.004,0.157,0.008,0.001,0.395,0.001,0.35700000000000004,0.068,0.01
73,Bitterwater-Tully Elementary,19.36,10371,81875,0.0,0.0,0.0,0.0,0.294,0.0,0.647,0.059000000000000004,0.0
74,Black Butte Union Elementary,36.84,14148,50032,0.005,0.036000000000000004,0.005,0.0,0.18100000000000002,0.005,0.6970000000000001,0.054000000000000006,0.018000000000000002
75,Black Oak Mine Unified,24.32,11581,72146,0.006,0.023,0.009000000000000001,0.004,0.106,0.005,0.8170000000000001,0.03,0.0
76,Blake Elementary,24.19,16692,82500,0.0,0.0,0.0,0.0,0.364,0.0,0.636,0.0,0.0
