,district,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
188,Bishop Unified,154,37,0.7568,0.6215999999999999,157,24,0.75,0.7082999999999999,0.5676,0.5832999999999999,0.24025974025974026,0.15286624203821655,33.45,11871.0,63934.0,0.004,0.157,0.008,0.001,0.395,0.001,0.35700000000000004,0.068,0.01
189,Bonita Unified,868,271,0.8412999999999999,0.6273,872,565,0.8053,0.6726000000000001,0.5978,0.6301,0.3122119815668203,0.6479357798165137,5.69,11358.0,87054.0,0.024,0.001,0.066,0.023,0.546,0.001,0.245,0.062,0.031
191,Palos Verdes Peninsula Unified,972,385,0.9455,0.8623000000000001,1046,196,0.9898,0.9847,0.8416,0.9745,0.39609053497942387,0.18738049713193117,89.27,12484.0,151740.0,0.02,0.002,0.27899999999999997,0.021,0.141,0.002,0.42700000000000005,0.09699999999999999,0.012
192,Los Banos Unified,794,230,0.6043,0.3522,838,16,0.875,0.875,0.33039999999999997,0.8125,0.28967254408060455,0.01909307875894988,35.68,11990.0,61691.0,0.015,0.003,0.009000000000000001,0.006999999999999999,0.8440000000000001,0.006,0.102,0.008,0.006
194,Western Placer Unified,856,155,0.7613,0.5418999999999999,818,136,0.7940999999999999,0.5367999999999999,0.5032,0.5074000000000001,0.1810747663551402,0.16625916870415647,6.81,11111.0,87463.0,0.022000000000000002,0.006999999999999999,0.025,0.021,0.275,0.005,0.578,0.052000000000000005,0.013000000000000001
196,Perris Union High,2218,693,0.6392,0.33909999999999996,2313,24,1.0,0.7917000000000001,0.3146,0.7917000000000001,0.31244364292155097,0.010376134889753566,39.82,13112.0,53010.0,0.053,0.002,0.013000000000000001,0.024,0.7120000000000001,0.004,0.147,0.044000000000000004,0.001
199,Vista Unified,2324,531,0.7476,0.5706,2325,38,0.9211,0.8684000000000001,0.5347999999999999,0.8421,0.2284853700516351,0.016344086021505378,0.97,14041.0,78566.0,0.022000000000000002,0.003,0.02,0.013999999999999999,0.655,0.006,0.225,0.055,0.001
202,Linden Unified,166,34,0.6470999999999999,0.3235,177,67,0.6866,0.3582,0.3235,0.3582,0.20481927710843373,0.3785310734463277,24.39,12259.0,68706.0,0.004,0.011000000000000001,0.015,0.003,0.639,0.005,0.309,0.013000000000000001,0.0
203,Lodi Unified,2543,627,0.7798999999999999,0.6315999999999999,2348,91,0.9120999999999999,0.8351999999999999,0.5885,0.7912,0.24655918206842312,0.038756388415672915,22.05,12898.0,67240.0,0.067,0.004,0.18,0.035,0.465,0.006999999999999999,0.187,0.03,0.024
207,Campbell Union High,1992,614,0.8567,0.7345,2085,228,1.0,0.9649,0.7068000000000001,0.9649,0.30823293172690763,0.1093525179856115,52.01,13624.0,118447.0,0.027000000000000003,0.004,0.187,0.023,0.33799999999999997,0.005,0.359,0.042,0.015
