name,total_students,african_american,american_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two _or_more_races,not_reported
Pollock Pines Elementary,584,0.90%,2.10%,0.50%,0.30%,16.80%,0.20%,73.10%,6.20%,0.00%
Rescue Union Elementary,"3,426",0.90%,0.30%,5.70%,1.80%,16.70%,0.30%,69.90%,4.50%,0.00%
Silver Fork Elementary,18,0.00%,5.60%,0.00%,0.00%,5.60%,0.00%,88.90%,0.00%,0.00%
Alvina Elementary,185,0.00%,0.00%,1.60%,0.00%,85.90%,0.00%,12.40%,0.00%,0.00%
Big Creek Elementary,51,0.00%,2.00%,0.00%,0.00%,23.50%,0.00%,62.70%,11.80%,0.00%
Burrel Union Elementary,133,0.00%,0.00%,1.50%,0.00%,94.70%,0.00%,3.80%,0.00%,0.00%
Caruthers Unified,"1,568",0.30%,0.50%,3.80%,0.00%,85.30%,0.20%,9.20%,0.70%,0.00%
Central Unified,"15,742",8.40%,0.40%,15.00%,0.90%,60.70%,0.20%,12.70%,1.70%,0.00%
Clay Joint Elementary,215,0.00%,0.00%,2.30%,0.00%,30.70%,0.50%,63.30%,1.90%,1.40%
Clovis Unified,"42,790",3.20%,0.60%,14.80%,2.20%,39.20%,0.30%,36.20%,3.50%,0.00%
Coalinga-Huron Unified,"4,405",1.00%,0.30%,1.50%,0.40%,81.80%,0.00%,9.30%,0.80%,4.80%
Firebaugh-Las Deltas Unified,"2,178",0.00%,0.00%,0.20%,0.00%,96.30%,0.20%,3.20%,0.00%,0.00%
Fowler Unified,"2,582",0.70%,0.30%,9.00%,0.00%,81.00%,0.00%,8.10%,0.80%,0.00%
Fresno County Office of Education,"4,333",10.20%,0.80%,3.30%,0.30%,67.60%,0.10%,12.80%,2.50%,2.50%
Fresno Unified,"72,419",8.00%,0.60%,10.70%,0.40%,68.70%,0.40%,8.80%,2.50%,0.00%
Golden Plains Unified,"1,520",0.70%,0.10%,0.50%,0.00%,97.30%,0.00%,0.10%,0.00%,1.30%
Kerman Unified,"5,230",0.50%,0.40%,4.40%,0.00%,87.20%,0.00%,7.10%,0.40%,0.00%
Kings Canyon Joint Unified,"9,634",0.20%,0.30%,0.60%,0.50%,89.10%,0.00%,8.20%,1.00%,0.00%
Kingsburg Elementary Charter,"2,116",0.20%,0.20%,2.20%,0.00%,65.90%,0.00%,27.60%,3.20%,0.60%
Kingsburg Joint Union High,"1,191",0.10%,0.30%,2.40%,0.20%,61.80%,0.00%,33.40%,1.80%,0.00%
Laton Joint Unified,633,1.90%,0.00%,0.00%,0.00%,85.00%,0.00%,10.00%,0.00%,3.20%
Mendota Unified,"3,668",0.10%,0.00%,0.70%,0.00%,97.50%,0.00%,1.50%,0.10%,0.20%
Monroe Elementary,152,0.00%,0.00%,0.70%,0.00%,94.70%,0.00%,3.90%,0.70%,0.00%
Orange Center,"1,481",7.20%,1.40%,5.50%,0.50%,59.50%,0.10%,23.80%,1.80%,0.30%
Pacific Union Elementary,354,0.30%,0.00%,3.40%,0.00%,87.30%,0.00%,8.80%,0.00%,0.30%
Parlier Unified,"3,416",0.10%,0.40%,0.10%,0.00%,98.20%,0.00%,0.80%,0.00%,0.30%
Pine Ridge Elementary,90,2.20%,0.00%,2.20%,0.00%,17.80%,0.00%,77.80%,0.00%,0.00%
Raisin City Elementary,529,7.40%,0.40%,2.50%,0.00%,82.20%,0.00%,3.80%,0.90%,2.80%
Riverdale Joint Unified,"1,488",0.60%,0.30%,0.50%,0.00%,87.20%,0.00%,11.40%,0.10%,0.00%
Sanger Unified,"12,625",1.10%,0.20%,12.00%,0.40%,69.50%,0.20%,12.30%,2.70%,1.70%
Selma Unified,"6,050",0.20%,0.20%,3.30%,0.00%,91.20%,0.10%,4.70%,0.20%,0.00%
Sierra Unified,"1,204",0.80%,14.40%,0.60%,0.60%,18.70%,0.00%,61.00%,3.70%,0.20%
Washington Colony Elementary,446,1.30%,0.70%,1.80%,0.00%,89.70%,0.00%,5.60%,0.90%,0.00%
Washington Unified,"2,894",7.70%,0.40%,7.00%,0.10%,78.00%,0.10%,5.60%,0.60%,0.50%
West Park Elementary,635,1.70%,0.20%,6.10%,0.50%,79.40%,0.00%,10.40%,1.10%,0.60%
Westside Elementary,"3,523",3.60%,0.70%,2.00%,0.60%,47.10%,0.30%,39.30%,4.50%,2.00%
Capay Joint Union Elementary,179,0.00%,0.00%,0.00%,0.00%,37.40%,0.00%,60.90%,1.10%,0.60%
Glenn County Office of Education,537,0.40%,2.40%,1.10%,0.00%,40.20%,0.00%,50.30%,4.10%,1.50%
Hamilton Unified,709,0.10%,0.40%,1.00%,0.00%,86.90%,0.00%,7.60%,0.60%,3.40%
