,district,students_in_grade_12_20,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
49,Lake Tahoe Unified,276,51,22.0,24.0,22.0,23.0,0.67,0.18478260869565216,33.54,13165.0,57396.0,0.004,0.003,0.013000000000000001,0.032,0.445,0.002,0.462,0.032,0.008
52,Clovis Unified,3313,417,24.0,26.0,25.0,25.0,0.79,0.12586779354059766,8.38,11404.0,84832.0,0.032,0.006,0.14800000000000002,0.022000000000000002,0.392,0.003,0.36200000000000004,0.035,0.0
55,Fresno Unified,4948,458,20.0,21.0,20.0,20.0,0.47,0.0925626515763945,44.87,14625.0,41704.0,0.08,0.006,0.107,0.004,0.687,0.004,0.08800000000000001,0.025,0.0
56,Kingsburg Joint Union High,275,34,23.0,24.0,24.0,24.0,0.71,0.12363636363636364,25.81,12350.0,67198.0,0.001,0.003,0.024,0.002,0.618,0.0,0.33399999999999996,0.018000000000000002,0.0
57,Kings Canyon Joint Unified,762,205,17.0,19.0,18.0,19.0,0.25,0.2690288713910761,49.5,13273.0,45038.0,0.002,0.003,0.006,0.005,0.8909999999999999,0.0,0.08199999999999999,0.01,0.0
60,Parlier Unified,253,38,15.0,18.0,17.0,18.0,0.18,0.15019762845849802,56.01,14179.0,35680.0,0.001,0.004,0.001,0.0,0.982,0.0,0.008,0.0,0.003
62,Sanger Unified,857,71,18.0,20.0,20.0,20.0,0.41,0.08284714119019837,21.93,12337.0,70134.0,0.011000000000000001,0.002,0.12,0.004,0.695,0.002,0.12300000000000001,0.027000000000000003,0.017
63,Selma Unified,472,32,19.0,20.0,20.0,19.0,0.44,0.06779661016949153,46.32,14374.0,41884.0,0.002,0.002,0.033,0.0,0.912,0.001,0.047,0.002,0.0
66,Firebaugh-Las Deltas Unified,162,36,17.0,19.0,16.0,18.0,0.17,0.2222222222222222,48.98,14738.0,38094.0,0.0,0.0,0.002,0.0,0.963,0.002,0.032,0.0,0.0
67,Central Unified,1118,24,17.0,20.0,19.0,20.0,0.42,0.02146690518783542,32.81,11995.0,63792.0,0.084,0.004,0.15,0.009000000000000001,0.607,0.002,0.127,0.017,0.0
68,Kerman Unified,367,42,17.0,18.0,18.0,19.0,0.31,0.11444141689373297,55.23,11744.0,48445.0,0.005,0.004,0.044000000000000004,0.0,0.872,0.0,0.071,0.004,0.0
69,Mendota Unified,185,82,15.0,17.0,17.0,18.0,0.11,0.44324324324324327,72.64,12746.0,30542.0,0.001,0.0,0.006999999999999999,0.0,0.975,0.0,0.015,0.001,0.002
72,Riverdale Joint Unified,138,27,18.0,20.0,19.0,20.0,0.3,0.1956521739130435,37.01,14576.0,47768.0,0.006,0.003,0.005,0.0,0.872,0.0,0.114,0.001,0.0
81,Northern Humboldt Union High,408,32,24.0,26.0,24.0,24.0,0.72,0.0784313725490196,39.33,14340.0,47230.0,0.009000000000000001,0.049,0.015,0.001,0.139,0.005,0.665,0.091,0.026000000000000002
89,Brawley Union High,456,119,18.0,20.0,19.0,18.0,0.29,0.26096491228070173,47.62,14081.0,42384.0,0.009000000000000001,0.0,0.004,0.003,0.937,0.0,0.043,0.003,0.0
90,Calexico Unified,816,29,21.0,22.0,23.0,21.0,0.69,0.03553921568627451,46.92,13961.0,43504.0,0.001,0.0,0.002,0.0,0.991,0.0,0.004,0.0,0.002
92,Central Union High,958,98,18.0,20.0,20.0,19.0,0.4,0.1022964509394572,41.9,13804.0,48005.0,0.006,0.002,0.006,0.001,0.953,0.0,0.028999999999999998,0.002,0.001
94,Imperial Unified,279,41,22.0,23.0,23.0,23.0,0.73,0.14695340501792115,9.61,11762.0,82136.0,0.01,0.0,0.006999999999999999,0.008,0.866,0.0,0.096,0.006999999999999999,0.006
98,Bishop Unified,154,17,23.0,26.0,23.0,24.0,0.88,0.11038961038961038,33.45,11871.0,63934.0,0.004,0.157,0.008,0.001,0.395,0.001,0.35700000000000004,0.068,0.01
100,Delano Joint Union High,1022,185,18.0,20.0,20.0,18.0,0.35,0.18101761252446183,47.94,14460.0,40251.0,0.004,0.001,0.008,0.09,0.878,0.001,0.015,0.003,0.0
101,Kern High,10529,631,20.0,22.0,21.0,21.0,0.51,0.05992971792192991,31.89,14008.0,54398.0,0.055999999999999994,0.006,0.028999999999999998,0.012,0.69,0.003,0.185,0.011000000000000001,0.008
103,Mojave Unified,166,26,17.0,19.0,17.0,18.0,0.31,0.1566265060240964,53.01,12854.0,44535.0,0.306,0.003,0.006999999999999999,0.002,0.47600000000000003,0.003,0.146,0.052000000000000005,0.003
106,Taft Union High,259,51,18.0,20.0,18.0,18.0,0.33,0.1969111969111969,9.03,23039.0,39520.0,0.006,0.004,0.003,0.003,0.561,0.002,0.408,0.008,0.005
