,district,students_in_grade_12_20,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
228,South Monterey County Joint Union High,626,116,16.0,17.0,16.0,16.0,0.14,0.1853035143769968,33.31,13241.0,57181.0,0.003,0.006999999999999999,0.003,0.006,0.941,0.002,0.038,0.002,0.0
229,Monterey Peninsula Unified,844,42,22.0,23.0,22.0,21.0,0.62,0.04976303317535545,17.6,12472.0,72666.0,0.055,0.005,0.046,0.045,0.614,0.022000000000000002,0.183,0.027999999999999997,0.003
230,Pacific Grove Unified,146,31,27.0,27.0,26.0,25.0,0.87,0.21232876712328766,41.87,17672.0,90683.0,0.024,0.011000000000000001,0.09300000000000001,0.022000000000000002,0.213,0.008,0.5870000000000001,0.03,0.011000000000000001
231,Salinas Union High,2783,401,19.0,20.0,20.0,20.0,0.38,0.1440891124685591,24.34,12953.0,65268.0,0.006999999999999999,0.001,0.009000000000000001,0.016,0.898,0.001,0.06,0.006,0.001
232,North Monterey County Unified,330,39,16.0,18.0,17.0,17.0,0.23,0.11818181818181818,3.83,13821.0,81786.0,0.002,0.002,0.003,0.006,0.8909999999999999,0.002,0.08900000000000001,0.004,0.002
235,Gonzales Unified,196,51,16.0,17.0,16.0,17.0,0.14,0.2602040816326531,15.46,14013.0,66543.0,0.002,0.004,0.0,0.004,0.9740000000000001,0.001,0.013000000000000001,0.002,0.0
237,Calistoga Joint Unified,55,20,15.0,16.0,17.0,16.0,0.1,0.36363636363636365,53.13,20461.0,85067.0,0.002,0.001,0.002,0.009000000000000001,0.856,0.001,0.11,0.0,0.017
238,Napa Valley Unified,1530,137,22.0,23.0,23.0,23.0,0.63,0.08954248366013072,3.2,12313.0,88859.0,0.021,0.002,0.024,0.068,0.564,0.002,0.27399999999999997,0.043,0.001
241,Nevada Joint Union High,714,50,26.0,27.0,26.0,26.0,0.82,0.0700280112044818,11.64,15562.0,61621.0,0.009000000000000001,0.013999999999999999,0.011000000000000001,0.003,0.139,0.0,0.75,0.071,0.003
243,Anaheim Union High,5270,348,23.0,24.0,23.0,23.0,0.66,0.06603415559772297,14.19,13449.0,70303.0,0.021,0.001,0.135,0.040999999999999995,0.688,0.004,0.087,0.018000000000000002,0.003
244,Brea-Olinda Unified,450,79,24.0,24.0,25.0,25.0,0.72,0.17555555555555555,2.23,10352.0,94654.0,0.015,0.001,0.247,0.034,0.382,0.003,0.27699999999999997,0.04,0.002
245,Capistrano Unified,4799,1350,26.0,26.0,25.0,25.0,0.83,0.2813086059595749,28.42,10665.0,115783.0,0.013999999999999999,0.002,0.066,0.019,0.27399999999999997,0.001,0.524,0.076,0.024
246,Fullerton Joint Union High,3462,381,27.0,27.0,27.0,26.0,0.82,0.11005199306759099,8.97,12063.0,81100.0,0.018000000000000002,0.002,0.185,0.035,0.584,0.003,0.135,0.037000000000000005,0.001
247,Garden Grove Unified,3479,409,20.0,21.0,21.0,21.0,0.5,0.11756251796493246,15.49,13564.0,68762.0,0.006,0.001,0.354,0.011000000000000001,0.53,0.004,0.067,0.015,0.012
248,Huntington Beach Union High,4111,467,25.0,25.0,25.0,25.0,0.78,0.1135976648017514,5.65,12816.0,88159.0,0.009000000000000001,0.003,0.28,0.013000000000000001,0.289,0.004,0.349,0.045,0.008
249,Laguna Beach Unified,259,148,29.0,28.0,27.0,27.0,0.94,0.5714285714285714,115.79,20919.0,129175.0,0.009000000000000001,0.002,0.049,0.01,0.12,0.0,0.715,0.08199999999999999,0.013999999999999999
250,Newport-Mesa Unified,1740,613,26.0,26.0,25.0,25.0,0.8,0.35229885057471266,39.11,15125.0,101383.0,0.008,0.001,0.048,0.008,0.46299999999999997,0.005,0.41200000000000003,0.05,0.005
251,Orange Unified,2152,181,26.0,26.0,24.0,25.0,0.83,0.08410780669144981,11.98,11918.0,97336.0,0.013000000000000001,0.002,0.099,0.019,0.5660000000000001,0.003,0.255,0.032,0.011000000000000001
252,Placentia-Yorba Linda Unified,2172,320,26.0,26.0,26.0,25.0,0.82,0.14732965009208104,13.79,11385.0,101349.0,0.012,0.002,0.172,0.024,0.442,0.002,0.307,0.039,0.0
253,Santa Ana Unified,4240,1099,18.0,19.0,19.0,19.0,0.33,0.25919811320754715,8.8,14679.0,68140.0,0.002,0.003,0.02,0.002,0.9590000000000001,0.002,0.009000000000000001,0.003,0.001
254,Saddleback Valley Unified,2344,391,25.0,26.0,25.0,25.0,0.81,0.16680887372013653,15.39,11797.0,100470.0,0.012,0.001,0.087,0.035,0.373,0.002,0.40399999999999997,0.07400000000000001,0.012
255,Tustin Unified,1981,455,25.0,25.0,25.0,24.0,0.71,0.22968197879858657,1.66,11031.0,91676.0,0.016,0.001,0.207,0.023,0.466,0.003,0.22899999999999998,0.05,0.005
256,Irvine Unified,2687,729,29.0,29.0,29.0,28.0,0.94,0.2713062895422404,21.74,11451.0,106905.0,0.019,0.001,0.48100000000000004,0.027999999999999997,0.11699999999999999,0.002,0.256,0.09,0.005
257,Los Alamitos Unified,752,262,26.0,27.0,25.0,25.0,0.82,0.3484042553191489,4.91,11866.0,85092.0,0.025,0.001,0.14,0.027999999999999997,0.27699999999999997,0.006999999999999999,0.43,0.08800000000000001,0.005
260,Placer Union High,974,147,24.0,25.0,24.0,24.0,0.78,0.15092402464065707,3.76,12944.0,80554.0,0.006999999999999999,0.008,0.013999999999999999,0.006,0.15,0.001,0.7509999999999999,0.049,0.013000000000000001
261,Roseville Joint Union High,2637,506,24.0,26.0,24.0,24.0,0.77,0.1918847174819871,9.79,12476.0,92924.0,0.035,0.006999999999999999,0.095,0.039,0.201,0.006,0.555,0.046,0.016
262,Tahoe-Truckee Unified,315,65,24.0,25.0,24.0,24.0,0.88,0.20634920634920634,35.42,18822.0,80154.0,0.003,0.002,0.005,0.0,0.36,0.001,0.585,0.036000000000000004,0.006999999999999999
263,Western Placer Unified,856,61,22.0,24.0,21.0,23.0,0.64,0.07126168224299065,6.81,11111.0,87463.0,0.022000000000000002,0.006999999999999999,0.025,0.021,0.275,0.005,0.578,0.052000000000000005,0.013000000000000001
264,Rocklin Unified,1247,259,25.0,26.0,25.0,25.0,0.83,0.20769847634322375,11.71,11360.0,99933.0,0.015,0.003,0.102,0.035,0.16699999999999998,0.003,0.5770000000000001,0.083,0.015
267,Alvord Unified,1423,61,22.0,23.0,22.0,22.0,0.61,0.04286718200983837,11.26,13771.0,70862.0,0.038,0.002,0.037000000000000005,0.015,0.8,0.005,0.087,0.013999999999999999,0.002
268,Banning Unified,323,48,16.0,18.0,18.0,18.0,0.25,0.14860681114551083,48.09,13707.0,43906.0,0.073,0.026000000000000002,0.040999999999999995,0.01,0.711,0.001,0.109,0.027999999999999997,0.0
269,Beaumont Unified,758,17,23.0,24.0,23.0,23.0,0.59,0.022427440633245383,18.8,11807.0,75103.0,0.055999999999999994,0.005,0.024,0.023,0.513,0.002,0.317,0.051,0.009000000000000001
270,Corona-Norco Unified,4429,558,21.0,22.0,21.0,22.0,0.54,0.12598780763151954,6.54,11658.0,94613.0,0.057999999999999996,0.003,0.113,0.032,0.536,0.004,0.225,0.021,0.006999999999999999
271,Desert Sands Unified,2328,127,21.0,23.0,21.0,21.0,0.56,0.054553264604811,31.78,13157.0,58738.0,0.015,0.002,0.02,0.006999999999999999,0.746,0.001,0.171,0.02,0.019
272,Hemet Unified,1848,128,19.0,20.0,19.0,20.0,0.37,0.06926406926406926,37.2,14843.0,46293.0,0.086,0.008,0.01,0.009000000000000001,0.632,0.003,0.21100000000000002,0.040999999999999995,0.0
273,Jurupa Unified,1480,194,18.0,20.0,19.0,19.0,0.31,0.13108108108108107,18.66,12873.0,69873.0,0.02,0.001,0.013000000000000001,0.005,0.865,0.002,0.073,0.008,0.012
275,Moreno Valley Unified,2333,349,17.0,18.0,18.0,18.0,0.24,0.1495927989712816,18.89,14013.0,64003.0,0.13,0.002,0.013999999999999999,0.012,0.738,0.006999999999999999,0.063,0.03,0.005
276,Nuview Union,140,83,20.0,20.0,20.0,20.0,0.36,0.5928571428571429,30.0,12193.0,64877.0,0.022000000000000002,0.001,0.008,0.006,0.807,0.003,0.138,0.015,0.0
277,Palm Springs Unified,1842,209,18.0,20.0,19.0,19.0,0.37,0.11346362649294245,34.32,14904.0,48120.0,0.045,0.005,0.008,0.019,0.799,0.001,0.099,0.025,0.0
278,Palo Verde Unified,269,29,18.0,18.0,18.0,18.0,0.38,0.10780669144981413,50.71,13196.0,44527.0,0.122,0.006,0.013000000000000001,0.003,0.616,0.003,0.201,0.025,0.011000000000000001
279,Perris Union High,2218,296,17.0,18.0,18.0,18.0,0.24,0.13345356176735798,39.82,13112.0,53010.0,0.053,0.002,0.013000000000000001,0.024,0.7120000000000001,0.004,0.147,0.044000000000000004,0.001
280,Riverside Unified,3319,539,20.0,21.0,21.0,20.0,0.46,0.16239831274480265,11.41,13303.0,73093.0,0.062,0.003,0.035,0.012,0.659,0.003,0.191,0.021,0.013000000000000001
281,San Jacinto Unified,851,16,19.0,21.0,20.0,20.0,0.38,0.01880141010575793,43.23,13377.0,49159.0,0.079,0.016,0.009000000000000001,0.008,0.738,0.006,0.115,0.027000000000000003,0.001
282,Coachella Valley Unified,1318,288,16.0,18.0,18.0,17.0,0.17,0.21851289833080426,50.09,14846.0,36729.0,0.002,0.005,0.001,0.0,0.9790000000000001,0.0,0.01,0.002,0.002
283,Lake Elsinore Unified,1606,156,20.0,22.0,21.0,21.0,0.5,0.09713574097135741,12.08,13176.0,73231.0,0.039,0.003,0.018000000000000002,0.015,0.633,0.003,0.239,0.047,0.003
284,Temecula Valley Unified,2502,548,23.0,24.0,23.0,23.0,0.71,0.2190247801758593,8.04,10666.0,100688.0,0.035,0.006999999999999999,0.046,0.051,0.353,0.003,0.405,0.099,0.001
285,Murrieta Valley Unified,2120,347,22.0,24.0,22.0,22.0,0.62,0.16367924528301886,4.33,11338.0,94577.0,0.054000000000000006,0.003,0.040999999999999995,0.037000000000000005,0.39899999999999997,0.006,0.369,0.081,0.01
286,Val Verde Unified,1739,34,18.0,18.0,18.0,19.0,0.26,0.019551466359977,13.54,13534.0,70358.0,0.11699999999999999,0.003,0.015,0.012,0.784,0.002,0.042,0.018000000000000002,0.006
288,Elk Grove Unified,5307,795,23.0,24.0,24.0,23.0,0.67,0.14980214810627474,7.49,12557.0,79728.0,0.109,0.004,0.265,0.059000000000000004,0.276,0.018000000000000002,0.175,0.09300000000000001,0.0
290,Folsom-Cordova Unified,1688,313,25.0,25.0,25.0,24.0,0.7,0.1854265402843602,1.13,11775.0,88346.0,0.047,0.003,0.183,0.023,0.22699999999999998,0.008,0.41600000000000004,0.092,0.002
291,Galt Joint Union High,518,44,21.0,22.0,20.0,20.0,0.5,0.08494208494208494,2.08,14169.0,75670.0,0.013999999999999999,0.0,0.021,0.004,0.57,0.001,0.33399999999999996,0.046,0.008
292,River Delta Joint Unified,169,19,17.0,19.0,19.0,18.0,0.32,0.11242603550295859,24.19,13088.0,64701.0,0.025,0.003,0.006,0.008,0.53,0.004,0.342,0.055,0.027000000000000003
294,Sacramento City Unified,3219,395,20.0,21.0,20.0,21.0,0.46,0.1227089158123641,20.35,14667.0,59648.0,0.139,0.005,0.17,0.013999999999999999,0.41,0.02,0.16399999999999998,0.07400000000000001,0.004
295,San Juan Unified,4598,436,24.0,25.0,24.0,24.0,0.71,0.09482383645063071,25.22,13148.0,63640.0,0.07,0.006,0.078,0.01,0.254,0.006,0.49700000000000005,0.07200000000000001,0.006
296,Center Joint Unified,316,16,20.0,24.0,22.0,22.0,0.5,0.05063291139240506,9.48,12916.0,76455.0,0.11599999999999999,0.006999999999999999,0.075,0.027999999999999997,0.312,0.013000000000000001,0.37,0.078,0.001
297,Natomas Unified,1250,126,22.0,23.0,21.0,22.0,0.59,0.1008,9.3,12033.0,81010.0,0.163,0.005,0.17600000000000002,0.047,0.32,0.017,0.16,0.11,0.002
298,Twin Rivers Unified,2363,95,19.0,21.0,19.0,20.0,0.36,0.040203131612357175,32.63,14648.0,50649.0,0.11900000000000001,0.006999999999999999,0.11,0.009000000000000001,0.41600000000000004,0.013999999999999999,0.262,0.045,0.018000000000000002
299,San Benito High,765,121,20.0,20.0,20.0,21.0,0.45,0.15816993464052287,2.0,12664.0,86216.0,0.005,0.003,0.013000000000000001,0.013000000000000001,0.755,0.001,0.17600000000000002,0.016,0.017
303,Barstow Unified,370,22,17.0,18.0,19.0,19.0,0.36,0.05945945945945946,55.26,12804.0,43117.0,0.196,0.006999999999999999,0.006,0.005,0.5379999999999999,0.012,0.18,0.055,0.0
305,Chaffey Joint Union High,5973,655,21.0,22.0,22.0,21.0,0.53,0.10966013728444668,6.2,13298.0,76972.0,0.07400000000000001,0.004,0.068,0.021,0.647,0.005,0.153,0.024,0.004
306,Chino Valley Unified,2337,200,25.0,25.0,24.0,24.0,0.72,0.08557980316645272,0.05,10931.0,93442.0,0.037000000000000005,0.002,0.184,0.048,0.5579999999999999,0.003,0.13699999999999998,0.026000000000000002,0.006
307,Colton Joint Unified,1576,73,17.0,20.0,19.0,18.0,0.23,0.04631979695431472,31.33,12720.0,61254.0,0.052000000000000005,0.001,0.013999999999999999,0.006999999999999999,0.865,0.002,0.05,0.009000000000000001,0.0
308,Fontana Unified,2962,307,19.0,19.0,19.0,19.0,0.31,0.10364618501012829,12.93,15045.0,63253.0,0.049,0.001,0.015,0.011000000000000001,0.8740000000000001,0.002,0.038,0.011000000000000001,0.0
313,Redlands Unified,1734,166,23.0,23.0,23.0,23.0,0.64,0.09573241061130335,15.89,11919.0,76699.0,0.062,0.003,0.084,0.025,0.519,0.004,0.252,0.048,0.003
314,Rialto Unified,2046,157,17.0,18.0,19.0,18.0,0.34,0.07673509286412512,22.65,14090.0,60828.0,0.083,0.002,0.006,0.004,0.861,0.004,0.027999999999999997,0.012,0.0
316,San Bernardino City Unified,3590,394,17.0,18.0,18.0,18.0,0.25,0.10974930362116991,30.7,15714.0,46743.0,0.11,0.003,0.013000000000000001,0.004,0.7929999999999999,0.004,0.048,0.016,0.01
318,Victor Valley Union High,2063,212,19.0,20.0,19.0,20.0,0.36,0.10276296655356278,33.7,13948.0,53356.0,0.16699999999999998,0.004,0.017,0.01,0.677,0.006,0.07400000000000001,0.035,0.01
319,Yucaipa-Calimesa Joint Unified,735,34,22.0,24.0,23.0,22.0,0.62,0.04625850340136054,26.99,11758.0,69281.0,0.015,0.004,0.013999999999999999,0.006,0.45399999999999996,0.002,0.488,0.016,0.002
321,Snowline Joint Unified,544,37,21.0,23.0,22.0,22.0,0.65,0.06801470588235294,27.26,12695.0,64394.0,0.047,0.005,0.011000000000000001,0.004,0.528,0.002,0.317,0.013000000000000001,0.073
322,Hesperia Unified,1923,182,19.0,20.0,20.0,20.0,0.4,0.09464378575143005,38.91,12694.0,55778.0,0.07200000000000001,0.003,0.01,0.004,0.703,0.003,0.18899999999999997,0.015,0.001
324,Upland Unified,912,100,23.0,23.0,22.0,21.0,0.62,0.10964912280701754,17.12,12066.0,75048.0,0.076,0.001,0.054000000000000006,0.017,0.585,0.004,0.225,0.021,0.017
325,Apple Valley Unified,1014,65,23.0,24.0,21.0,23.0,0.62,0.0641025641025641,55.27,10396.0,55159.0,0.077,0.005,0.019,0.005,0.511,0.005,0.34700000000000003,0.032,0.0
329,Coronado Unified,289,115,25.0,26.0,25.0,25.0,0.78,0.39792387543252594,41.4,13948.0,108967.0,0.01,0.003,0.013999999999999999,0.018000000000000002,0.22699999999999998,0.005,0.581,0.08199999999999999,0.06
330,Dehesa Elementary,394,32,24.0,25.0,21.0,22.0,0.69,0.08121827411167512,135.2,28138.0,107429.0,0.03,0.006,0.048,0.01,0.27899999999999997,0.003,0.516,0.083,0.025
331,Escondido Union High,2436,449,20.0,22.0,20.0,21.0,0.46,0.18431855500821018,6.72,14895.0,68598.0,0.016,0.003,0.027999999999999997,0.019,0.659,0.001,0.242,0.023,0.009000000000000001
332,Fallbrook Union High,554,44,24.0,25.0,24.0,23.0,0.75,0.07942238267148015,6.36,14957.0,68553.0,0.013000000000000001,0.002,0.011000000000000001,0.006,0.6779999999999999,0.003,0.255,0.023,0.009000000000000001
333,Grossmont Union High,5396,756,22.0,23.0,23.0,22.0,0.63,0.14010378057820608,4.98,14539.0,71670.0,0.062,0.008,0.023,0.017,0.402,0.006999999999999999,0.423,0.054000000000000006,0.004
339,Poway Unified,2988,849,27.0,28.0,27.0,26.0,0.88,0.28413654618473894,41.41,12266.0,117394.0,0.017,0.001,0.22699999999999998,0.059000000000000004,0.17300000000000001,0.002,0.406,0.113,0.001
340,Ramona City Unified,474,75,23.0,24.0,22.0,23.0,0.73,0.15822784810126583,9.03,11309.0,98201.0,0.006999999999999999,0.005,0.005,0.003,0.41,0.002,0.508,0.059000000000000004,0.0
341,San Diego Unified,9075,1733,22.0,23.0,22.0,22.0,0.56,0.1909641873278237,1.01,14457.0,75020.0,0.077,0.003,0.087,0.046,0.467,0.004,0.225,0.08,0.012
342,San Dieguito Union High,2215,1001,28.0,28.0,27.0,27.0,0.88,0.4519187358916479,63.35,11865.0,135646.0,0.006999999999999999,0.002,0.174,0.008,0.157,0.001,0.584,0.066,0.001
344,Sweetwater Union High,7629,811,20.0,21.0,21.0,21.0,0.49,0.1063048892384323,19.34,12831.0,69583.0,0.03,0.004,0.018000000000000002,0.087,0.7090000000000001,0.004,0.10400000000000001,0.04,0.005
345,Vista Unified,2324,138,23.0,24.0,23.0,23.0,0.7,0.05938037865748709,0.97,14041.0,78566.0,0.022000000000000002,0.003,0.02,0.013999999999999999,0.655,0.006,0.225,0.055,0.001
346,Carlsbad Unified,919,221,26.0,27.0,26.0,26.0,0.86,0.24047878128400435,10.93,11270.0,99805.0,0.01,0.003,0.057999999999999996,0.008,0.276,0.002,0.5539999999999999,0.09,0.0
347,Oceanside Unified,1560,155,20.0,23.0,21.0,21.0,0.55,0.09935897435897435,23.89,13154.0,64597.0,0.039,0.003,0.017,0.024,0.564,0.017,0.254,0.07,0.013000000000000001
348,San Marcos Unified,1626,447,22.0,23.0,22.0,22.0,0.59,0.27490774907749077,4.26,11775.0,86027.0,0.001,0.016,0.055,0.023,0.45899999999999996,0.004,0.39299999999999996,0.049,0.0
350,Valley Center-Pauma Unified,296,31,22.0,23.0,21.0,21.0,0.55,0.10472972972972973,3.49,12289.0,89200.0,0.005,0.08800000000000001,0.009000000000000001,0.003,0.595,0.0,0.243,0.046,0.01
357,San Francisco Unified,4428,924,21.0,22.0,22.0,22.0,0.53,0.2086720867208672,68.26,17228.0,112449.0,0.07400000000000001,0.003,0.298,0.038,0.319,0.008,0.14400000000000002,0.064,0.051
359,Escalon Unified,196,17,21.0,22.0,22.0,21.0,0.59,0.08673469387755102,31.86,10769.0,70625.0,0.006,0.002,0.012,0.004,0.478,0.001,0.469,0.02,0.006999999999999999
360,Lincoln Unified,786,61,23.0,24.0,23.0,24.0,0.72,0.07760814249363868,30.93,11860.0,65858.0,0.113,0.004,0.099,0.03,0.503,0.008,0.191,0.049,0.002
361,Linden Unified,166,27,20.0,22.0,20.0,21.0,0.44,0.16265060240963855,24.39,12259.0,68706.0,0.004,0.011000000000000001,0.015,0.003,0.639,0.005,0.309,0.013000000000000001,0.0
362,Lodi Unified,2543,419,21.0,22.0,22.0,21.0,0.55,0.16476602438065277,22.05,12898.0,67240.0,0.067,0.004,0.18,0.035,0.465,0.006999999999999999,0.187,0.03,0.024
363,Manteca Unified,1929,83,21.0,23.0,21.0,21.0,0.57,0.04302747537584241,18.79,12178.0,73257.0,0.059000000000000004,0.004,0.09699999999999999,0.052000000000000005,0.5710000000000001,0.01,0.168,0.038,0.0
365,Ripon Unified,470,27,22.0,24.0,22.0,22.0,0.67,0.0574468085106383,16.34,10147.0,85233.0,0.027999999999999997,0.003,0.051,0.02,0.344,0.003,0.457,0.091,0.004
366,Stockton Unified,2760,199,19.0,20.0,20.0,19.0,0.41,0.07210144927536231,37.98,15106.0,44393.0,0.1,0.01,0.087,0.036000000000000004,0.68,0.005,0.047,0.034,0.001
367,Tracy Joint Unified,1643,191,22.0,23.0,22.0,22.0,0.57,0.1162507608034084,2.58,12026.0,89840.0,0.055,0.003,0.124,0.054000000000000006,0.5329999999999999,0.012,0.174,0.045,0.0
370,Atascadero Unified,384,34,23.0,24.0,23.0,23.0,0.71,0.08854166666666667,14.5,11288.0,80884.0,0.012,0.008,0.01,0.011000000000000001,0.284,0.001,0.629,0.035,0.01
371,Lucia Mar Unified,838,150,22.0,23.0,22.0,22.0,0.58,0.17899761336515513,14.01,11770.0,78837.0,0.006,0.004,0.013999999999999999,0.011000000000000001,0.47700000000000004,0.001,0.435,0.042,0.01
372,San Luis Coastal Unified,583,157,25.0,26.0,25.0,25.0,0.8,0.2692967409948542,20.9,13356.0,65800.0,0.006999999999999999,0.003,0.033,0.019,0.294,0.002,0.583,0.057,0.001
374,Templeton Unified,228,48,26.0,26.0,24.0,25.0,0.83,0.21052631578947367,0.61,11214.0,91541.0,0.002,0.004,0.012,0.001,0.24,0.001,0.652,0.083,0.006
375,Paso Robles Joint Unified,583,52,24.0,25.0,24.0,24.0,0.79,0.08919382504288165,26.04,12352.0,67018.0,0.012,0.003,0.006,0.002,0.561,0.001,0.379,0.025,0.012
378,Cabrillo Unified,290,63,25.0,26.0,24.0,24.0,0.71,0.21724137931034482,67.45,12773.0,134138.0,0.003,0.0,0.013000000000000001,0.009000000000000001,0.522,0.001,0.401,0.05,0.0
380,Jefferson Union High,1229,88,25.0,26.0,25.0,24.0,0.83,0.07160292921074043,30.15,13761.0,101575.0,0.013000000000000001,0.001,0.149,0.289,0.314,0.01,0.141,0.075,0.008
383,San Mateo Union High,2542,424,27.0,27.0,26.0,26.0,0.85,0.16679779701022818,107.2,19357.0,130632.0,0.008,0.001,0.226,0.052000000000000005,0.318,0.019,0.275,0.10099999999999999,0.0
384,Sequoia Union High,2518,432,25.0,26.0,25.0,25.0,0.76,0.1715647339158062,112.2,19367.0,134282.0,0.024,0.003,0.08900000000000001,0.013999999999999999,0.452,0.02,0.35,0.046,0.001
385,South San Francisco Unified,663,19,20.0,22.0,21.0,21.0,0.53,0.02865761689291101,32.51,13184.0,106209.0,0.011000000000000001,0.002,0.142,0.22699999999999998,0.47600000000000003,0.018000000000000002,0.064,0.06,0.001
389,Lompoc Unified,632,52,22.0,24.0,22.0,23.0,0.69,0.08227848101265822,31.11,12456.0,62740.0,0.022000000000000002,0.005,0.016,0.013000000000000001,0.688,0.002,0.207,0.046,0.001
390,Orcutt Union Elementary,128,25,24.0,24.0,24.0,23.0,0.88,0.1953125,5.45,11083.0,88607.0,0.006,0.006,0.013999999999999999,0.013000000000000001,0.51,0.002,0.363,0.06,0.025
391,Santa Maria Joint Union High,1993,286,18.0,19.0,20.0,19.0,0.37,0.1435022579026593,17.71,13174.0,69070.0,0.006,0.004,0.008,0.015,0.873,0.001,0.08,0.006999999999999999,0.005
392,Santa Ynez Valley Union High,218,29,24.0,25.0,23.0,24.0,0.76,0.13302752293577982,16.91,13573.0,92708.0,0.006,0.006,0.003,0.003,0.465,0.0,0.469,0.047,0.0
394,Santa Barbara Unified,1631,279,24.0,25.0,24.0,24.0,0.7,0.17106069895769466,4.81,13495.0,77021.0,0.006999999999999999,0.003,0.027999999999999997,0.005,0.595,0.001,0.326,0.026000000000000002,0.011000000000000001
400,Campbell Union High,1992,352,27.0,27.0,26.0,26.0,0.82,0.17670682730923695,52.01,13624.0,118447.0,0.027000000000000003,0.004,0.187,0.023,0.33799999999999997,0.005,0.359,0.042,0.015
401,East Side Union High,6739,712,22.0,23.0,23.0,22.0,0.58,0.10565365781273187,32.15,13317.0,105274.0,0.018000000000000002,0.002,0.33,0.061,0.509,0.006,0.047,0.024,0.003
402,Fremont Union High,2763,775,31.0,30.0,31.0,30.0,0.95,0.2804922186029678,117.22,15994.0,154876.0,0.008,0.002,0.58,0.026000000000000002,0.147,0.003,0.154,0.061,0.02
403,Gilroy Unified,922,91,22.0,24.0,23.0,22.0,0.64,0.09869848156182212,24.01,12490.0,103388.0,0.013999999999999999,0.004,0.042,0.027999999999999997,0.708,0.002,0.14800000000000002,0.031,0.023
404,Los Gatos-Saratoga Union High,892,323,30.0,30.0,29.0,29.0,0.94,0.36210762331838564,166.66,17307.0,184917.0,0.002,0.001,0.32,0.004,0.078,0.002,0.46299999999999997,0.091,0.039
405,Morgan Hill Unified,678,119,25.0,26.0,25.0,24.0,0.84,0.17551622418879056,47.47,11628.0,125073.0,0.013999999999999999,0.005,0.08900000000000001,0.026000000000000002,0.505,0.003,0.28600000000000003,0.049,0.022000000000000002
406,Mountain View-Los Altos Union High,1106,304,29.0,30.0,28.0,28.0,0.91,0.27486437613019893,168.4,23203.0,156702.0,0.012,0.001,0.249,0.019,0.256,0.004,0.376,0.081,0.003
407,Palo Alto Unified,1024,413,29.0,29.0,28.0,28.0,0.83,0.4033203125,160.36,23038.0,151578.0,0.017,0.001,0.375,0.009000000000000001,0.139,0.01,0.33899999999999997,0.11,0.0
408,San Jose Unified,2661,365,27.0,27.0,26.0,26.0,0.78,0.1371664787673807,30.93,12414.0,108893.0,0.025,0.002,0.13699999999999998,0.019,0.529,0.003,0.22399999999999998,0.057999999999999996,0.003
409,Santa Clara Unified,1154,205,24.0,25.0,24.0,23.0,0.67,0.17764298093587522,105.7,19279.0,129906.0,0.025,0.005,0.317,0.06,0.33799999999999997,0.005,0.19,0.053,0.006999999999999999
410,Milpitas Unified,842,64,28.0,29.0,30.0,28.0,0.94,0.07600950118764846,61.17,12280.0,131954.0,0.017,0.003,0.529,0.149,0.19699999999999998,0.004,0.042,0.055999999999999994,0.002
412,Pajaro Valley Unified,1331,241,19.0,21.0,20.0,20.0,0.41,0.18106686701728025,0.74,15343.0,71880.0,0.004,0.002,0.006999999999999999,0.006,0.84,0.001,0.13,0.009000000000000001,0.002
413,San Lorenzo Valley Unified,318,23,28.0,30.0,26.0,27.0,1.0,0.07232704402515723,6.77,11012.0,98013.0,0.006,0.002,0.049,0.01,0.198,0.003,0.589,0.087,0.057
414,Santa Cruz City High,837,141,23.0,24.0,23.0,23.0,0.69,0.16845878136200718,46.82,287.0,111992.0,0.019,0.004,0.028999999999999998,0.008,0.385,0.002,0.512,0.04,0.0
415,Scotts Valley Unified,230,53,25.0,26.0,24.0,25.0,0.85,0.23043478260869565,28.71,10448.0,117083.0,0.003,0.003,0.067,0.01,0.179,0.001,0.621,0.11199999999999999,0.003
417,Anderson Union High,402,23,24.0,25.0,24.0,25.0,0.87,0.05721393034825871,39.02,12566.0,56332.0,0.008,0.057,0.034,0.002,0.195,0.001,0.654,0.034,0.015
420,Shasta Union High,1273,96,25.0,26.0,25.0,25.0,0.86,0.07541241162608013,36.66,12856.0,56631.0,0.013000000000000001,0.028999999999999998,0.048,0.006,0.14400000000000002,0.005,0.682,0.067,0.006999999999999999
426,Siskiyou Union High,105,22,20.0,22.0,19.0,20.0,0.5,0.20952380952380953,30.26,16023.0,45524.0,0.02,0.037000000000000005,0.019,0.006999999999999999,0.177,0.002,0.583,0.121,0.034
427,Yreka Union High,141,30,19.0,20.0,19.0,20.0,0.43,0.2127659574468085,32.74,15302.0,47294.0,0.004,0.05,0.03,0.0,0.174,0.003,0.627,0.096,0.016
429,Scott Valley Unified,55,17,20.0,23.0,21.0,21.0,0.59,0.3090909090909091,29.7,14705.0,52536.0,0.005,0.09300000000000001,0.018000000000000002,0.0,0.11900000000000001,0.005,0.619,0.113,0.027999999999999997
